method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
AUR,140,-0.0680121879136456,-0.11907604616252743,0.1362203570082797,-0.8741428137300344,-1.155666893995249,-0.11495210255876265
QAUR,140,-0.1293026622721325,-0.22059894415971726,0.1472532029159991,-1.4980926716110778,-1.9650791735140276,-0.1737605796257342
