method,comparator,observations,mean_daily_difference,annualized_arithmetic_difference,ci_2_5,ci_97_5,pvalue_one_sided_positive
AUR,FULL_UNIVERSE_EW,140,-8.473706519653063e-05,-0.021353740429525717,-0.2935102723174171,0.22192450252064055,0.5812
QAUR,FULL_UNIVERSE_EW,140,-0.0005640552225312189,-0.14214191607786716,-0.5560970573206896,0.17373415359074745,0.7966
