config_id,fold,method,reduction_objective,candidate_mean_abs_correlation,candidate_turnover,portfolio_turnover,risk_on,candidate_jaccard
W_K8P4_CP30,0,AUR,3.983054052037888,0.08048057822059763,1.0,0.5000000000000001,True,1.0
W_K8P4_CP30,0,QAUR,3.983054052037888,0.08048057822059763,1.0,0.5000000000000001,True,1.0
W_K8P4_CP30,1,AUR,3.93412759106648,0.08976836037087366,1.0,1.0000000000000002,True,1.0
W_K8P4_CP30,1,QAUR,3.93412759106648,0.08976836037087366,1.0,1.0000000000000002,True,1.0
W_K8P4_CP30,2,AUR,4.027113133282344,0.08718105106926279,0.625,0.9000000000000005,True,0.6
W_K8P4_CP30,2,QAUR,4.10296045067503,0.07506310897175061,0.625,1.0,True,0.6
W_K8P4_CP30,3,AUR,4.0284244435214855,0.08684755734668555,0.5,0.9999999999999999,True,1.0
W_K8P4_CP30,3,QAUR,4.0284244435214855,0.08684755734668555,0.625,0.9999999999999999,True,1.0
W_K8P4_CP30,4,AUR,4.296854563117745,0.08266756819102199,0.375,0.656012471307446,True,0.7777777777777778
W_K8P4_CP30,4,QAUR,4.297312691479495,0.0672986509218817,0.375,0.9000000000000001,True,0.7777777777777778
W_K8P4_CP30,5,AUR,4.352352733933037,0.09118620211311093,0.375,0.7065208317746885,True,1.0
W_K8P4_CP30,5,QAUR,4.352352733933037,0.09118620211311093,0.5,1.0,True,1.0
W_K8P4_CP30,6,AUR,3.8816467463412234,0.10499351031767679,0.75,0.7176828721591724,True,0.6
W_K8P4_CP30,6,QAUR,4.023895616216567,0.07106882978466667,0.625,0.7000000000000013,True,0.6
W_K8P4_CP30,7,AUR,4.314632670446483,0.10112440469719397,0.625,0.8823171278408282,True,0.45454545454545453
W_K8P4_CP30,7,QAUR,4.33723285589043,0.10415512695710318,0.5,1.0,True,0.45454545454545453
W_K8P4_CP30,8,AUR,4.4256098817062135,0.12950614961372922,0.5,0.42763608256760477,True,0.7777777777777778
W_K8P4_CP30,8,QAUR,4.4312315775312285,0.1014216070704582,0.5,0.7000000000000001,True,0.7777777777777778
W_K8P4_CP30,9,AUR,4.11893069810926,0.1278736439073135,0.5,0.581028739355014,True,0.6
W_K8P4_CP30,9,QAUR,4.167678143806732,0.1226007867462519,0.375,0.5969099249648582,True,0.6
W_K8P4_CP30,10,AUR,4.291082194488247,0.0943156117672722,0.625,0.8810287393550141,True,0.45454545454545453
W_K8P4_CP30,10,QAUR,4.340451789604133,0.07641680375861161,0.625,0.7969099249648579,True,0.45454545454545453
W_K8P4_CP30,11,AUR,4.276786360695193,0.07713760801738621,0.625,0.7000000000000008,True,0.7777777777777778
W_K8P4_CP30,11,QAUR,4.345789746762515,0.0577545343201229,0.375,0.6999999999999998,True,0.7777777777777778
W_K8P4_CP30,12,AUR,4.261513184172179,0.07589128759855016,0.5,0.5675173050180686,True,0.7777777777777778
W_K8P4_CP30,12,QAUR,4.263361677674139,0.07388551456260259,0.5,0.5265710814382032,True,0.7777777777777778
W_K8P4_CP30,13,AUR,4.140553826915262,0.0889691559436719,0.375,0.6221353734610932,True,0.7777777777777778
W_K8P4_CP30,13,QAUR,4.221933263228941,0.07671220550532666,0.375,0.5503884491829333,True,0.7777777777777778
W_K8P4_CP30,14,AUR,3.9401936024278785,0.10704382139283107,0.75,1.0,True,0.3333333333333333
W_K8P4_CP30,14,QAUR,4.0078822657508155,0.07441624495874279,0.625,0.5426928303421678,True,0.3333333333333333
