fold,decision_time,ticker,xgb_signal,momentum_signal,liquidity_20d,volatility_20d,return_20d,return_60d
44,2025-12-01,AAM,0.6702127659574468,0.5904255319148937,31904600.0,0.01390883913665506,0.015105740181268867,-0.03724928366762181
44,2025-12-01,ASM,0.9148936170212766,0.473404255319149,2671500000.0,0.010969168641744569,0.005839416058394109,-0.07516778523489931
44,2025-12-01,ASP,0.3723404255319149,0.2712765957446809,174000000.0,0.010674449868857615,-0.05252525252525253,-0.06012024048096187
44,2025-12-01,AST,0.9893617021276596,0.7765957446808511,832500000.0,0.01385019881332252,0.01227604512276037,0.11942762795817274
44,2025-12-01,BKG,0.5851063829787234,0.6382978723404256,244500000.0,0.012401810693351644,0.010309278350515427,-0.01342281879194629
44,2025-12-01,BMP,0.5106382978723404,0.46808510638297873,18010500000.0,0.02167163630065569,-0.054965211891208066,0.07628583777553666
44,2025-12-01,BTP,0.20212765957446807,0.22872340425531915,649000000.0,0.005541850931220372,-0.016546018614270963,-0.13387978142076506
44,2025-12-01,BWE,0.7340425531914894,0.4946808510638298,4835500000.0,0.00798000230697354,-0.02903930131004362,-0.0053679266383359625
44,2025-12-01,CCI,0.010638297872340425,0.8297872340425532,72921700.0,0.04553999952199967,0.04588061174148983,0.1116937598321972
44,2025-12-01,CCL,0.1702127659574468,0.3617021276595745,916000000.0,0.014958832942726612,-0.0035149384885764245,-0.10849056603773588
44,2025-12-01,CIG,0.9787234042553191,0.7340425531914894,413500000.0,0.013166877301594902,0.018909899888765347,0.01327433628318575
44,2025-12-01,CLC,0.7553191489361702,0.824468085106383,100000000.0,0.023599119276042572,0.053696819496076076,0.08276740237691005
44,2025-12-01,CLL,0.7127659574468085,0.38829787234042556,335500000.0,0.003167265603808082,-0.0067161541180629225,-0.08617886178861789
44,2025-12-01,CSM,0.48936170212765956,0.10106382978723404,5623500000.0,0.013254475085277448,-0.07194244604316546,-0.1283783783783784
44,2025-12-01,CTI,0.5425531914893617,0.6170212765957447,8031500000.0,0.01761689068620126,0.078125,-0.06716092455298739
44,2025-12-01,DAH,0.9680851063829787,0.6276595744680851,423500000.0,0.008103530605243114,0.01608579088471851,-0.02570694087403602
44,2025-12-01,DCL,0.06382978723404255,0.9468085106382979,35189000000.0,0.02874554457426391,0.09971509971509973,0.6083333333333334
44,2025-12-01,DCM,0.574468085106383,0.2553191489361702,71589500000.0,0.01562695638239208,-0.02449479485609307,-0.10606060606060608
44,2025-12-01,DGW,0.3617021276595745,0.8191489361702128,88540000000.0,0.025132827780387113,0.08735632183908049,0.0558035714285714
44,2025-12-01,DHC,0.23404255319148937,0.3829787234042553,6717500000.0,0.01386251901850606,-0.06419354838709679,-0.008205128205128198
44,2025-12-01,DLG,0.7872340425531915,0.3404255319148936,4878000000.0,0.02264248108758939,-0.02135231316725983,-0.07407407407407407
44,2025-12-01,DQC,0.2127659574468085,0.38563829787234044,75252950.0,0.025515782401303255,0.0,-0.10344827586206895
44,2025-12-01,DSE,0.6170212765957447,0.4734042553191489,9495500000.0,0.01907339817170232,0.055889145496535786,-0.12980586220022838
44,2025-12-01,DSN,0.8085106382978723,0.601063829787234,221500000.0,0.007282366248256569,0.00326961770623746,-0.019178755839685313
44,2025-12-01,DTA,0.43617021276595747,0.4308510638297873,63956750.0,0.027196739248230944,0.017073170731707332,-0.12578616352201255
44,2025-12-01,DTL,0.4787234042553192,0.4521276595744681,121198000.0,0.026469421726513023,-0.08759124087591241,0.10619469026548667
44,2025-12-01,DXV,0.5212765957446809,0.6329787234042553,89018850.0,0.015543253567824683,0.02910052910052907,-0.03712871287128716
44,2025-12-01,EIB,0.6914893617021277,0.35638297872340424,123516000000.0,0.02583548634735574,0.011627906976744207,-0.1869158878504673
44,2025-12-01,GVR,0.40425531914893614,0.28723404255319146,75383000000.0,0.016986891027828483,-0.04472271914132375,-0.059859154929577496
44,2025-12-01,HAG,0.7659574468085106,0.8723404255319149,318129500000.0,0.034042849574855955,0.0607902735562309,0.1368078175895766
44,2025-12-01,HAR,0.30851063829787234,0.20212765957446807,902500000.0,0.016418089471262547,-0.014888337468982882,-0.22309197651663404
44,2025-12-01,HPX,0.6276595744680851,0.12765957446808512,4895500000.0,0.018056425870500808,-0.04831932773109249,-0.15327102803738313
44,2025-12-01,HQC,0.723404255319149,0.26063829787234044,17908000000.0,0.021372807591996418,-0.009493670886076,-0.16755319148936165
44,2025-12-01,HSG,0.776595744680851,0.22872340425531915,57643000000.0,0.009344528437747407,-0.014774494556765161,-0.17513020833333337
44,2025-12-01,HSL,0.09574468085106383,0.05851063829787234,7364000000.0,0.04390821885280092,-0.06263048016701467,-0.43522012578616354
44,2025-12-01,HTI,0.851063829787234,0.7446808510638298,922500000.0,0.007530593705282866,0.014678899082568808,0.07797270955165692
44,2025-12-01,HTL,0.3191489361702128,0.5372340425531914,333000000.0,0.02054776787174416,-0.012552301255230103,-0.010896898575020963
44,2025-12-01,HTV,0.26595744680851063,0.4734042553191489,54312500.0,0.029988957371374834,-0.004016064257028162,-0.04541955350269433
44,2025-12-01,ICT,0.02127659574468085,0.973404255319149,3570500000.0,0.05431712971544814,0.14018691588785037,0.5283714075165806
44,2025-12-01,ITC,0.5319148936170213,0.40691489361702127,2790000000.0,0.020214817253102417,0.0,-0.09090909090909094
44,2025-12-01,JVC,0.8617021276595744,0.4627659574468085,1744500000.0,0.0243826367370911,-0.18518518518518523,0.1578947368421053
44,2025-12-01,KMR,0.8723404255319149,0.473404255319149,36167150.0,0.0063974559379178396,-0.006688963210702337,-0.041935483870967794
44,2025-12-01,LDG,0.0425531914893617,0.2021276595744681,11599000000.0,0.026257845289428237,-0.08902691511387162,-0.0736842105263158
44,2025-12-01,LGL,0.11702127659574468,0.9734042553191489,2687500000.0,0.02718292582981749,0.27659574468085113,0.41176470588235303
44,2025-12-01,MHC,0.031914893617021274,0.6382978723404256,2132000000.0,0.027709533927605865,0.058970099667774,-0.04637247569184744
44,2025-12-01,NAF,0.1595744680851064,0.4521276595744681,16836500000.0,0.008499325493930635,-0.07317073170731703,0.10427350427350435
44,2025-12-01,NBB,0.2978723404255319,0.39893617021276595,1302000000.0,0.010368673002961784,0.010335917312661591,-0.12331838565022424
44,2025-12-01,NCT,0.3829787234042553,0.34574468085106386,3179000000.0,0.008992937556923404,-0.062018819503849465,-0.024140616308821916
44,2025-12-01,NVT,0.14893617021276595,0.6436170212765957,13268250.0,0.0278681938936439,0.10666666666666669,-0.06320541760722342
