policy_id,lookback,threshold,switching_cost_bps,worst_return,worst_sharpe,worst_drawdown,minimum_exposure,median_return,stable
MG_L30_T0_C0,30,0.0,0.0,0.10169911089059913,0.9412076095443156,-0.1522509558934403,0.5862068965517241,0.1817797841026043,True
MG_L30_T0_C25,30,0.0,25.0,0.0880051794050154,0.8714145515145547,-0.15767689819290243,0.5862068965517241,0.17000164665682804,True
MG_L20_T0_C0,20,0.0,0.0,0.0688411372421498,0.8218366614196507,-0.15534388497043927,0.5,0.1814361655415897,True
MG_L30_T0_C50,30,0.0,50.0,0.07444775824357963,0.8012571115304599,-0.16516749331579017,0.5862068965517241,0.1583117689185236,True
MG_L40_T0_C0,40,0.0,0.0,0.052991679988281915,0.7745009029609775,-0.16126787050494318,0.5,0.14006985210768352,True
MG_L20_T-2_C0,20,-0.02,0.0,0.0606044654009783,0.7572768726408716,-0.15534388497043927,0.6206896551724138,0.1905816692904143,True
MG_L30_T-2_C0,30,-0.02,0.0,0.0606044654009783,0.7572768726408716,-0.1522509558934403,0.6551724137931034,0.1817797841026043,True
MG_L20_T-2_C25,20,-0.02,25.0,0.05267709620101435,0.6564361779788421,-0.16374728273794914,0.6206896551724138,0.18167050694811393,True
MG_L30_T-2_C25,30,-0.02,25.0,0.05267709620101435,0.6564361779788421,-0.15767689819290243,0.6551724137931034,0.17000164665682804,True
MG_L20_T0_C25,20,0.0,25.0,0.05034538268642175,0.6472133909082938,-0.16374728273794914,0.5,0.14088419549059594,True
MG_L40_T0_C25,40,0.0,25.0,0.04242514529237029,0.6185399014093764,-0.16963346095223775,0.5,0.12873298848472736,True
MG_L90_T-2_C0,90,-0.02,0.0,0.12559520056602125,0.5699060919988975,-0.16337070388567632,0.5517241379310345,0.19814902744405272,True
MG_L20_T-2_C50,20,-0.02,50.0,0.04478932720036477,0.5556474845030835,-0.17208782065413353,0.6206896551724138,0.1728039209049682,True
MG_L30_T-2_C50,30,-0.02,50.0,0.04478932720036477,0.5556474845030835,-0.16516749331579017,0.6551724137931034,0.1583117689185236,True
MG_L30_T0_C100,30,0.0,100.0,0.047738359327016866,0.5435686306013392,-0.18177320417478782,0.5862068965517241,0.11985528712047966,True
MG_L90_T-2_C25,90,-0.02,25.0,0.10330060517668338,0.4713188940119948,-0.17171059584351056,0.5517241379310345,0.19071599432217234,True
MG_L20_T0_C50,20,0.0,50.0,0.03212464306795049,0.4712695038004558,-0.17208782065413353,0.5,0.10162790303008307,True
MG_L40_T0_C50,40,0.0,50.0,0.03193833387773504,0.4575490122980852,-0.1779363155804473,0.5,0.11748088575858773,True
MG_L90_T-2_C50,90,-0.02,50.0,0.08139335905931899,0.3724317424343083,-0.17998798027473428,0.5517241379310345,0.18331254279577702,True
MG_L20_T-2_C100,20,-0.02,100.0,0.029132193170007037,0.3563330894512599,-0.1885815731742827,0.6206896551724138,0.1407791504926752,True
MG_L30_T-2_C100,30,-0.02,100.0,0.029132193170007037,0.3563330894512599,-0.18177320417478782,0.6551724137931034,0.13519502558408913,True
MG_L40_T-2_C0,40,-0.02,0.0,0.025106336283936548,0.3255316618574231,-0.16126787050494318,0.5862068965517241,0.1817797841026043,True
MG_L40_T-2_C25,40,-0.02,25.0,0.017391500055436993,0.22371597159173026,-0.16963346095223775,0.5862068965517241,0.17000164665682804,True
MG_L90_T-2_C100,90,-0.02,100.0,0.038717855492415465,0.1768283575116211,-0.19635647821689506,0.5517241379310345,0.16859416329277366,True
MG_L40_T0_C100,40,0.0,100.0,0.011202273883150982,0.1537788761694941,-0.19435507432823962,0.5,0.0819381011847552,True
MG_L15_T0_C0,15,0.0,0.0,0.027839587542853206,0.13193640698821402,-0.1916491372514979,0.41379310344827586,0.0688411372421498,True
MG_L40_T-2_C50,40,-0.02,50.0,0.009715467216947493,0.12375917887918689,-0.1779363155804473,0.5862068965517241,0.1583117689185236,True
MG_L20_T2_C0,20,0.02,0.0,0.0,0.8571450446465462,-0.15534388497043927,0.0,0.10744090536645434,False
