policy_id,lookback,threshold,switching_cost_bps,sample,method,mean_exposure,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
MG_L5_T0_C25,5,0.0,25.0,development,AUR,0.6206896551724138,604,-0.10565882557372486,-0.045521288431309426,0.1393086083810829,-0.3267657968902006,-0.31001675729139905,-0.377780557928759
MG_L5_T0_C25,5,0.0,25.0,development,QAUR,0.6206896551724138,604,-0.10565882557372486,-0.045521288431309426,0.1393086083810829,-0.3267657968902006,-0.31001675729139905,-0.377780557928759
MG_L5_T0_C25,5,0.0,25.0,historical_holdout,AUR,0.8,312,0.2131967405575046,0.16893567390463549,0.09305524340758065,1.8154342272224213,2.8422556516432826,-0.07358473365463125
MG_L5_T0_C25,5,0.0,25.0,historical_holdout,QAUR,0.8,312,0.28184781066191156,0.22207731932237085,0.1029344926188121,2.15746261211749,3.366309219046215,-0.06738260805028184
MG_L5_T0_C25,5,0.0,25.0,observed_2026,AUR,0.75,160,0.08161471080351301,0.1315254383467468,0.14885078882599873,0.8836059209635453,1.1885015806663684,-0.11049221815333665
MG_L5_T0_C25,5,0.0,25.0,observed_2026,QAUR,0.75,160,0.08155137751584918,0.1314210872503241,0.14885790818059474,0.8828626497349656,1.1874662422337434,-0.11049221815333765
MG_L10_T0_C25,10,0.0,25.0,development,AUR,0.5172413793103449,604,0.04086490601507098,0.016850840764625064,0.09948013281632198,0.1693890054985964,0.1620577301596601,-0.24648869055168154
MG_L10_T0_C25,10,0.0,25.0,development,QAUR,0.5172413793103449,604,0.04086490601507098,0.016850840764625064,0.09948013281632198,0.1693890054985964,0.1620577301596601,-0.24648869055168154
MG_L10_T0_C25,10,0.0,25.0,historical_holdout,AUR,0.7333333333333333,312,0.28404194697683893,0.22376659424142242,0.09166888028621654,2.441031171568355,3.7237439618602144,-0.044996244595239654
MG_L10_T0_C25,10,0.0,25.0,historical_holdout,QAUR,0.7333333333333333,312,0.345784268393057,0.2710788039928942,0.10267887346635751,2.640064064217772,3.9839547530420254,-0.049575744522266096
MG_L10_T0_C25,10,0.0,25.0,observed_2026,AUR,0.5,160,0.12327520858030594,0.2009245520994487,0.1086531434321274,1.849229076607072,1.8923963495531153,-0.03739451144014039
MG_L10_T0_C25,10,0.0,25.0,observed_2026,QAUR,0.5,160,0.12320943588768452,0.2008138009051037,0.10866307892366314,1.8480407779184806,1.891004094879973,-0.0373945114401405
MG_L15_T0_C25,15,0.0,25.0,development,AUR,0.41379310344827586,604,-0.01731962302710932,-0.007262873254207158,0.08699267467409297,-0.08348833141889926,-0.07025007515717833,-0.199664153213699
MG_L15_T0_C25,15,0.0,25.0,development,QAUR,0.41379310344827586,604,-0.01731962302710932,-0.007262873254207158,0.08699267467409297,-0.08348833141889926,-0.07025007515717833,-0.199664153213699
MG_L15_T0_C25,15,0.0,25.0,historical_holdout,AUR,0.8,312,0.2570857654642398,0.20297408705773523,0.10041705246860853,2.021310943389691,2.896385908789837,-0.0896334375760478
MG_L15_T0_C25,15,0.0,25.0,historical_holdout,QAUR,0.8,312,0.31354206124921946,0.24642541197653878,0.10606749449012493,2.323288705565506,3.4808814898303817,-0.06571051517943849
MG_L15_T0_C25,15,0.0,25.0,observed_2026,AUR,0.5,160,0.05034538268642175,0.08043365981616835,0.104498933850519,0.7697079467932664,0.726133499769343,-0.07784495961642024
MG_L15_T0_C25,15,0.0,25.0,observed_2026,QAUR,0.5,160,0.05034538268642175,0.08043365981616835,0.104498933850519,0.7697079467932664,0.726133499769343,-0.07784495961642024
MG_L20_T0_C25,20,0.0,25.0,development,AUR,0.5172413793103449,604,0.14088419549059594,0.05653099409077256,0.08734521702562031,0.6472133909082938,0.5781729400676098,-0.16374728273794914
MG_L20_T0_C25,20,0.0,25.0,development,QAUR,0.5172413793103449,604,0.14088419549059594,0.05653099409077256,0.08734521702562031,0.6472133909082938,0.5781729400676098,-0.16374728273794914
MG_L20_T0_C25,20,0.0,25.0,historical_holdout,AUR,0.7333333333333333,312,0.22981990037909772,0.18185528508764714,0.09686766407485889,1.8773580102758565,2.527766498873296,-0.0896334375760478
MG_L20_T0_C25,20,0.0,25.0,historical_holdout,QAUR,0.7333333333333333,312,0.2850637717173996,0.22455311197795091,0.10266479894586815,2.187245426705122,3.0904915781493765,-0.06571051517943827
MG_L20_T0_C25,20,0.0,25.0,observed_2026,AUR,0.5,160,0.05034538268642175,0.08043365981616835,0.104498933850519,0.7697079467932664,0.726133499769343,-0.07784495961642024
MG_L20_T0_C25,20,0.0,25.0,observed_2026,QAUR,0.5,160,0.05034538268642175,0.08043365981616835,0.104498933850519,0.7697079467932664,0.726133499769343,-0.07784495961642024
MG_L30_T0_C25,30,0.0,25.0,development,AUR,0.5862068965517241,604,0.23625290605827032,0.09251871227757857,0.09427059854679225,0.9814164087613796,0.9657108623082789,-0.15767689819290243
MG_L30_T0_C25,30,0.0,25.0,development,QAUR,0.5862068965517241,604,0.23625290605827032,0.09251871227757857,0.09427059854679225,0.9814164087613796,0.9657108623082789,-0.15767689819290243
MG_L30_T0_C25,30,0.0,25.0,historical_holdout,AUR,0.8,312,0.1443004895215454,0.11501927590377314,0.13199145653910055,0.8714145515145547,0.9845646337478852,-0.13096078514839293
MG_L30_T0_C25,30,0.0,25.0,historical_holdout,QAUR,0.8,312,0.1957028037921107,0.15530246507473722,0.13635997573960013,1.1389153175805093,1.3270107975106833,-0.13096078514839293
MG_L30_T0_C25,30,0.0,25.0,observed_2026,AUR,0.625,160,0.08806889061322698,0.14217807583933983,0.12310319179318253,1.1549503613050403,1.4008467072596442,-0.0778449596164208
MG_L30_T0_C25,30,0.0,25.0,observed_2026,QAUR,0.625,160,0.0880051794050154,0.1420727423395527,0.12311181758897778,1.1540138479140811,1.3996270194316665,-0.07784495961642057
MG_L40_T0_C25,40,0.0,25.0,development,AUR,0.5172413793103449,604,0.18470425985207584,0.07327604472619509,0.09025173698499103,0.8119073069849169,0.7451038733698269,-0.16963346095223775
