fold,configuration,selector,solver,selected_tickers,objective,optimality_gap,feasibility_rate,turnover,transaction_cost,covariance_method,expected_return_source
7,adaptive_penalty_qaoa,adaptive,penalty_qaoa_ideal_statevector,GIL|HVN|HDG|ELC,-0.0027991220571362014,0.35989081621256896,0.484375,1.9999999999999987,0.004397009958062059,ewma,xgboost_calibrated
7,adaptive_xy_qaoa,adaptive,xy_qaoa_dicke_ideal_statevector,VIX|GIL|HDG|ELC,0.015054149466698034,4.442614908160989,1.0,1.9999999999999882,0.004392288391002871,ewma,xgboost_calibrated
7,adaptive_simulated_annealing,adaptive,simulated_annealing,GIL|HDG|CTS|ELC,-0.004372882202586288,0.0,1.0,1.9999999999999856,0.00439279501280545,ewma,xgboost_calibrated
8,liquidity_topk_exact,liquidity,exact,FPT|TCB|HPG|STB,-0.003851808953362484,0.0,1.0,1.1999999999991091,0.0027407779101016397,ewma,ewma
8,ewma_topk_exact,ewma,exact,VRC|CIG|HTL|MCP,-0.27318143570843295,0.0,1.0,2.0,0.004589772473769277,ewma,ewma
8,xgboost_topk_exact,xgboost,exact,CLC|DVP|PGC|SMB,0.013179743717248562,0.0,1.0,2.0,0.004511040210591913,ewma,xgboost_calibrated
8,adaptive_exact,adaptive,exact,VCB|ACB|VPI|LPB,0.016574837046280974,0.0,1.0,2.0,0.004347928732960501,ewma,xgboost_calibrated
8,xgboost_penalty_qaoa,xgboost,penalty_qaoa_ideal_statevector,HTG|CLC|PGC|SMB,0.015168091502669415,0.150863918747358,0.29248046875,2.0,0.004544776283498219,ewma,xgboost_calibrated
8,xgboost_xy_qaoa,xgboost,xy_qaoa_dicke_ideal_statevector,CLC|DVP|PGC|SMB,0.013179743717248562,0.0,1.0,2.0,0.004511040210591913,ewma,xgboost_calibrated
8,adaptive_penalty_qaoa,adaptive,penalty_qaoa_ideal_statevector,VCB|ACB|VPI|LPB,0.016574837046280974,0.0,0.48974609375,2.0,0.004348505649786314,ewma,xgboost_calibrated
8,adaptive_xy_qaoa,adaptive,xy_qaoa_dicke_ideal_statevector,VCB|ACB|VPI|LPB,0.016574837046280974,0.0,1.0,2.0,0.0043479690183774,ewma,xgboost_calibrated
