cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,positive_day_ratio,observations,strategy,regime
-0.2072760863203731,-0.867136828883177,0.546372976518437,-3.466912067919333,-2.533140842434298,-0.2140466170425125,-4.051158765620445,0.4827586206896552,29,adaptive_exact,bear_high_vol
-0.03559431554238146,-0.9998919910081346,,,,0.0,,0.0,1,adaptive_exact,bear_low_vol
0.035441108120126685,17.643774751704555,0.0779959631758436,37.373817705306834,,0.0,,1.0,3,adaptive_exact,bull_high_vol
0.059580390140300254,0.19209314614138617,0.17210692706413874,0.9343953477476306,1.3046804791269693,-0.08599997243543345,2.2336419501250973,0.5301204819277109,83,adaptive_exact,bull_low_vol
0.21057756185809318,3.1221308306113285,0.33351225587774164,4.329091548915919,19.899641791289657,-0.05231063332526886,59.684439513431975,0.5,34,adaptive_exact,sideway_high_vol
-0.22027800776135786,-0.4315737785365492,0.3095510525242774,-1.7629460180137684,-1.6700002600186725,-0.28090476745926696,-1.5363704305913222,0.45045045045045046,111,adaptive_exact,sideway_low_vol
-0.20059398909571524,-0.8570835180743827,0.5227493574878653,-3.5085247753954993,-2.332919922863149,-0.2140466170425125,-4.004190909049287,0.4482758620689655,29,adaptive_penalty_qaoa,bear_high_vol
-0.03454874904454652,-0.9998580785300247,,,,0.0,,0.0,1,adaptive_penalty_qaoa,bear_low_vol
0.034714468019403144,16.57615294774039,0.16779261266806003,17.06053613369828,,0.0,,1.0,3,adaptive_penalty_qaoa,bull_high_vol
0.04433002736698444,0.14075972315052354,0.17180443887016406,0.6793909643577676,0.8868879456774814,-0.09753696388588029,1.4431423487326767,0.5301204819277109,83,adaptive_penalty_qaoa,bull_low_vol
0.2726570293402424,4.971674330143931,0.31585054133482615,5.734317235742546,36.47563168636172,-0.0441449654670073,112.62154761134924,0.5,34,adaptive_penalty_qaoa,sideway_high_vol
-0.26629707616704534,-0.5048980679760924,0.3075576087025893,-2.224065615545495,-1.8973478919029505,-0.3093010026125719,-1.6323841943975976,0.46846846846846846,111,adaptive_penalty_qaoa,sideway_low_vol
-0.2072760863203731,-0.867136828883177,0.546372976518437,-3.466912067919333,-2.533140842434298,-0.2140466170425125,-4.051158765620445,0.4827586206896552,29,adaptive_simulated_annealing,bear_high_vol
-0.03559431554238146,-0.9998919910081346,,,,0.0,,0.0,1,adaptive_simulated_annealing,bear_low_vol
0.035441108120126685,17.643774751704555,0.0779959631758436,37.373817705306834,,0.0,,1.0,3,adaptive_simulated_annealing,bull_high_vol
0.059580390140300254,0.19209314614138617,0.17210692706413874,0.9343953477476306,1.3046804791269693,-0.08599997243543345,2.2336419501250973,0.5301204819277109,83,adaptive_simulated_annealing,bull_low_vol
0.21057756185809318,3.1221308306113285,0.33351225587774164,4.329091548915919,19.899641791289657,-0.05231063332526886,59.684439513431975,0.5,34,adaptive_simulated_annealing,sideway_high_vol
-0.22027800776135786,-0.4315737785365492,0.3095510525242774,-1.7629460180137684,-1.6700002600186725,-0.28090476745926696,-1.5363704305913222,0.45045045045045046,111,adaptive_simulated_annealing,sideway_low_vol
-0.20059398909571524,-0.8570835180743827,0.5227493574878653,-3.5085247753954993,-2.332919922863149,-0.2140466170425125,-4.004190909049287,0.4482758620689655,29,adaptive_xy_qaoa,bear_high_vol
-0.03559431554238146,-0.9998919910081346,,,,0.0,,0.0,1,adaptive_xy_qaoa,bear_low_vol
0.034714468019403144,16.57615294774039,0.16779261266806003,17.06053613369828,,0.0,,1.0,3,adaptive_xy_qaoa,bull_high_vol
-0.005482317896246758,-0.01655238271161885,0.167616750611953,-0.1933109024832861,-0.3971408949641186,-0.10218912996813956,-0.16197791992924823,0.4819277108433735,83,adaptive_xy_qaoa,bull_low_vol
0.2726570293402424,4.971674330143931,0.31585054133482615,5.734317235742546,36.47563168636172,-0.0441449654670073,112.62154761134924,0.5,34,adaptive_xy_qaoa,sideway_high_vol
-0.20484106278024272,-0.4057029837128814,0.30593443681436644,-1.6421006551730952,-1.5551698729167007,-0.2662655038598094,-1.523678350487665,0.45045045045045046,111,adaptive_xy_qaoa,sideway_low_vol
-0.1829656552642709,-0.8272577465763105,0.5216083030734784,-3.1564444642579943,-2.095430109659529,-0.21997435674101407,-3.7607008327351497,0.4482758620689655,29,equal_weight_candidates,bear_high_vol
-0.047606305119085146,-0.9999954105470673,,,,0.0,,0.0,1,equal_weight_candidates,bear_low_vol
0.017374989384975947,3.2501942995469344,0.17129515474929824,8.355629029042168,,-0.004295576797070488,756.6374559438706,0.6666666666666666,3,equal_weight_candidates,bull_high_vol
0.10888150379738604,0.3686038988719278,0.19356679048087883,1.5653887177765489,2.1911556137263704,-0.09359807239839357,3.938156945187839,0.4819277108433735,83,equal_weight_candidates,bull_low_vol
0.17486381800081952,2.301650498112332,0.29644487120480434,4.079776049083616,14.810141068385889,-0.05176312883666445,44.46505746155833,0.4411764705882353,34,equal_weight_candidates,sideway_high_vol
-0.17188247512413246,-0.34830161180877584,0.30066299985347134,-1.3710012348813632,-1.5329838715281816,-0.24489417058513696,-1.4222535839728756,0.42342342342342343,111,equal_weight_candidates,sideway_low_vol
-0.17773547981323867,-0.8174088653350329,0.39683856072579937,-4.150458792372226,-2.4380949777195124,-0.1715038420702617,-4.766125676649021,0.5517241379310345,29,equal_weight_universe,bear_high_vol
-0.025176559907356677,-0.9983806422997509,,,,0.0,,0.0,1,equal_weight_universe,bear_low_vol
0.032087475764686735,13.196675984738429,0.051864201885644584,50.87033762287796,,0.0,,1.0,3,equal_weight_universe,bull_high_vol
0.14583420936856317,0.5118276516587701,0.14088047790149819,2.7962923629560987,3.8754216444033376,-0.05364645116105171,9.540755084100812,0.6144578313253012,83,equal_weight_universe,bull_low_vol
0.18260432076790445,2.466322364802925,0.24052049845149087,5.172250329452805,20.04480039759483,-0.036981794030360726,66.69017632779423,0.5588235294117647,34,equal_weight_universe,sideway_high_vol
-0.2132006135821205,-0.41979273340977075,0.19862109714195628,-2.7863648050353156,-2.1324524378489365,-0.20666345075918424,-2.031286770194003,0.46846846846846846,111,equal_weight_universe,sideway_low_vol
-0.09845307853089358,-0.5936837889220767,0.5753705117836586,-1.3331634936976975,-1.6384159618319523,-0.17720546726754016,-3.3502566149708493,0.5862068965517241,29,ewma_topk_exact,bear_high_vol
-0.06685563066205336,-0.99999997326331,,,,0.0,,0.0,1,ewma_topk_exact,bear_low_vol
0.02878504524545944,9.846009405606068,0.22044731520181113,10.803840818330197,,-0.006449057124242374,1526.736267941302,0.6666666666666666,3,ewma_topk_exact,bull_high_vol
-0.015113488066914815,-0.04518437792300012,0.3442543392197411,-0.04972430246212885,-0.35640818981248473,-0.19702592041930334,-0.22933214993661943,0.4939759036144578,83,ewma_topk_exact,bull_low_vol
0.2989462142773922,5.948819228699185,0.4130216061373553,4.837746487696703,22.286703424854853,-0.09642851508204942,61.69149471644808,0.47058823529411764,34,ewma_topk_exact,sideway_high_vol
-0.4973378054569937,-0.7901947796886941,0.49035471030881234,-2.99147407917409,-2.5024721125759757,-0.5135655898226607,-1.538644323817638,0.34234234234234234,111,ewma_topk_exact,sideway_low_vol
-0.1908503575367897,-0.8412175894687227,0.5425570203159032,-3.1689902792580997,-2.342946321792251,-0.2140466170425125,-3.930067202611503,0.4827586206896552,29,full_pipeline_xy_qaoa,bear_high_vol
-0.03559431554238146,-0.9998919910081346,,,,0.0,,0.0,1,full_pipeline_xy_qaoa,bear_low_vol
0.035441108274933075,17.643774985845095,0.07799596434436051,37.37381730904753,,0.0,,1.0,3,full_pipeline_xy_qaoa,bull_high_vol
0.0552114175105034,0.17723195122862667,0.16874652936523954,0.8752450487700911,1.1560200159477334,-0.0715822965263253,2.475918765241729,0.5180722891566265,83,full_pipeline_xy_qaoa,bull_low_vol
