date,event,fold,observations,return_applied,ticker,window
,non_trading_mark_carry,0,1.0,,GEX,estimation
,non_trading_mark_carry,0,1.0,,PVD,estimation
,non_trading_mark_carry,0,1.0,,SZC,estimation
,non_trading_mark_carry,0,1.0,,KSB,estimation
,non_trading_mark_carry,0,1.0,,NKG,estimation
,non_trading_mark_carry,0,1.0,,VPB,estimation_liquidity_topk_exact
,non_trading_mark_carry,0,1.0,,HPG,estimation_liquidity_topk_exact
,non_trading_mark_carry,0,1.0,,GEX,estimation_liquidity_topk_exact
,non_trading_mark_carry,0,1.0,,DPM,estimation_liquidity_topk_exact
,non_trading_mark_carry,0,1.0,,DXG,estimation_liquidity_topk_exact
,non_trading_mark_carry,0,1.0,,DGC,estimation_liquidity_topk_exact
,non_trading_mark_carry,0,1.0,,MBB,estimation_liquidity_topk_exact
,non_trading_mark_carry,0,1.0,,HAH,estimation_ewma_topk_exact
,non_trading_mark_carry,0,1.0,,REE,estimation_ewma_topk_exact
,non_trading_mark_carry,0,1.0,,VHC,estimation_ewma_topk_exact
,non_trading_mark_carry,0,1.0,,FRT,estimation_ewma_topk_exact
,non_trading_mark_carry,0,1.0,,DGC,estimation_ewma_topk_exact
,non_trading_mark_carry,0,1.0,,OGC,estimation_ewma_topk_exact
,non_trading_mark_carry,0,1.0,,PTL,estimation_xgboost_topk_exact
,non_trading_mark_carry,0,1.0,,TIP,estimation_xgboost_topk_exact
,non_trading_mark_carry,0,1.0,,LGL,estimation_xgboost_topk_exact
,non_trading_mark_carry,0,1.0,,DQC,estimation_xgboost_topk_exact
,non_trading_mark_carry,0,1.0,,SZC,estimation_xgboost_topk_exact
,non_trading_mark_carry,0,1.0,,TDG,estimation_xgboost_topk_exact
,non_trading_mark_carry,0,1.0,,GEX,estimation_adaptive_exact
,non_trading_mark_carry,0,1.0,,PVD,estimation_adaptive_exact
,non_trading_mark_carry,0,1.0,,SZC,estimation_adaptive_exact
,non_trading_mark_carry,0,1.0,,KSB,estimation_adaptive_exact
,non_trading_mark_carry,0,1.0,,NKG,estimation_adaptive_exact
,non_trading_mark_carry,0,1.0,,PTL,estimation_xgboost_penalty_qaoa
,non_trading_mark_carry,0,1.0,,TIP,estimation_xgboost_penalty_qaoa
,non_trading_mark_carry,0,1.0,,LGL,estimation_xgboost_penalty_qaoa
,non_trading_mark_carry,0,1.0,,DQC,estimation_xgboost_penalty_qaoa
,non_trading_mark_carry,0,1.0,,SZC,estimation_xgboost_penalty_qaoa
,non_trading_mark_carry,0,1.0,,TDG,estimation_xgboost_penalty_qaoa
,non_trading_mark_carry,0,1.0,,PTL,estimation_xgboost_xy_qaoa
,non_trading_mark_carry,0,1.0,,TIP,estimation_xgboost_xy_qaoa
,non_trading_mark_carry,0,1.0,,LGL,estimation_xgboost_xy_qaoa
,non_trading_mark_carry,0,1.0,,DQC,estimation_xgboost_xy_qaoa
,non_trading_mark_carry,0,1.0,,SZC,estimation_xgboost_xy_qaoa
,non_trading_mark_carry,0,1.0,,TDG,estimation_xgboost_xy_qaoa
,non_trading_mark_carry,0,1.0,,GEX,estimation_adaptive_penalty_qaoa
,non_trading_mark_carry,0,1.0,,PVD,estimation_adaptive_penalty_qaoa
,non_trading_mark_carry,0,1.0,,SZC,estimation_adaptive_penalty_qaoa
,non_trading_mark_carry,0,1.0,,KSB,estimation_adaptive_penalty_qaoa
,non_trading_mark_carry,0,1.0,,NKG,estimation_adaptive_penalty_qaoa
,non_trading_mark_carry,0,1.0,,GEX,estimation_adaptive_xy_qaoa
,non_trading_mark_carry,0,1.0,,PVD,estimation_adaptive_xy_qaoa
,non_trading_mark_carry,0,1.0,,SZC,estimation_adaptive_xy_qaoa
,non_trading_mark_carry,0,1.0,,KSB,estimation_adaptive_xy_qaoa
,non_trading_mark_carry,0,1.0,,NKG,estimation_adaptive_xy_qaoa
,non_trading_mark_carry,0,1.0,,GEX,estimation_adaptive_simulated_annealing
,non_trading_mark_carry,0,1.0,,PVD,estimation_adaptive_simulated_annealing
,non_trading_mark_carry,0,1.0,,SZC,estimation_adaptive_simulated_annealing
,non_trading_mark_carry,0,1.0,,KSB,estimation_adaptive_simulated_annealing
,non_trading_mark_carry,0,1.0,,NKG,estimation_adaptive_simulated_annealing
,non_trading_mark_carry,0,1.0,,AAA,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,AAT,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,ACC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,ADG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,ADS,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,AGG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,AGR,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,APH,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,ASG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,ASM,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,ASP,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,AST,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,BFC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,BIC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,BID,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,BKG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,BMI,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,BMP,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,BTP,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,BWE,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,C32,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,CDC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,CII,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,CKG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,CLL,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,CMG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,CMX,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,CNG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,CRE,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,CSM,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,CSV,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,CTD,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,CTF,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,CTG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,CTI,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,CTS,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DBC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DBD,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DBT,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DCM,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DGC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DGW,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DHA,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DHC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DHG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DHM,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DLG,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DMC,estimation_classical_benchmark
,non_trading_mark_carry,0,1.0,,DPG,estimation_classical_benchmark
