fold,date,strategy,gross_return,net_return,return
0,2022-05-02,full_pipeline_xy_qaoa,0.04150893595911942,0.03989131184672989,0.03989131184672989
0,2022-05-03,full_pipeline_xy_qaoa,0.0,0.0,0.0
0,2022-05-04,full_pipeline_xy_qaoa,0.0,0.0,0.0
0,2022-05-05,full_pipeline_xy_qaoa,0.008776084951283014,0.008776084951283014,0.008776084951283014
0,2022-05-06,full_pipeline_xy_qaoa,-0.014165908728925758,-0.014165908728925536,-0.014165908728925536
0,2022-05-09,full_pipeline_xy_qaoa,-0.06220752505953209,-0.06220752505953231,-0.06220752505953231
0,2022-05-10,full_pipeline_xy_qaoa,-0.06885709286077668,-0.06885709286077668,-0.06885709286077668
0,2022-05-11,full_pipeline_xy_qaoa,0.0023067745157188124,0.0023067745157190345,0.0023067745157190345
0,2022-05-12,full_pipeline_xy_qaoa,0.008636455367982965,0.008636455367982743,0.008636455367982743
0,2022-05-13,full_pipeline_xy_qaoa,-0.06075069054760507,-0.06075069054760507,-0.06075069054760507
0,2022-05-16,full_pipeline_xy_qaoa,-0.05211097787307983,-0.05211097787307972,-0.05211097787307972
0,2022-05-17,full_pipeline_xy_qaoa,0.021578675194052988,0.021578675194052988,0.021578675194052988
0,2022-05-18,full_pipeline_xy_qaoa,0.0671710655040676,0.06717106550406737,0.06717106550406737
0,2022-05-19,full_pipeline_xy_qaoa,0.01287844213638012,0.012878442136379897,0.012878442136379897
0,2022-05-20,full_pipeline_xy_qaoa,0.0023473652111856147,0.0023473652111858367,0.0023473652111858367
0,2022-05-23,full_pipeline_xy_qaoa,0.004911262861713173,0.004911262861713173,0.004911262861713173
0,2022-05-24,full_pipeline_xy_qaoa,-0.010491573057357706,-0.010491573057357706,-0.010491573057357706
0,2022-05-25,full_pipeline_xy_qaoa,-0.009267333174736159,-0.00926733317473627,-0.00926733317473627
0,2022-05-26,full_pipeline_xy_qaoa,0.04903433246980371,0.04903433246980371,0.04903433246980371
0,2022-05-27,full_pipeline_xy_qaoa,0.023368996988783364,0.02336899698878314,0.02336899698878314
0,2022-05-30,full_pipeline_xy_qaoa,0.010568532343409265,0.010568532343409709,0.010568532343409709
0,2022-05-02,equal_weight_candidates,0.034556052251920155,0.03290162970958033,0.03290162970958033
0,2022-05-03,equal_weight_candidates,0.0,0.0,0.0
0,2022-05-04,equal_weight_candidates,0.0,0.0,0.0
0,2022-05-05,equal_weight_candidates,-0.005793329587360452,-0.005793329587360341,-0.005793329587360341
0,2022-05-06,equal_weight_candidates,-0.008894558478248826,-0.008894558478248826,-0.008894558478248826
0,2022-05-09,equal_weight_candidates,-0.05510833406882176,-0.05510833406882165,-0.05510833406882165
0,2022-05-10,equal_weight_candidates,-0.0691639753044615,-0.06916397530446161,-0.06916397530446161
0,2022-05-11,equal_weight_candidates,0.006975695171244745,0.006975695171244745,0.006975695171244745
0,2022-05-12,equal_weight_candidates,0.003469814003517646,0.003469814003517646,0.003469814003517646
0,2022-05-13,equal_weight_candidates,-0.05972683409815982,-0.05972683409815982,-0.05972683409815982
0,2022-05-16,equal_weight_candidates,-0.06306404457349934,-0.06306404457349923,-0.06306404457349923
0,2022-05-17,equal_weight_candidates,-0.003754367885811849,-0.003754367885811849,-0.003754367885811849
0,2022-05-18,equal_weight_candidates,0.06670159504584738,0.0667015950458476,0.0667015950458476
0,2022-05-19,equal_weight_candidates,0.02488650450864771,0.02488650450864771,0.02488650450864771
0,2022-05-20,equal_weight_candidates,0.005093813736714248,0.005093813736714248,0.005093813736714248
0,2022-05-23,equal_weight_candidates,0.013403121033217946,0.013403121033217946,0.013403121033217946
0,2022-05-24,equal_weight_candidates,-0.011905461677993112,-0.01190546167799289,-0.01190546167799289
0,2022-05-25,equal_weight_candidates,-0.007085420961047695,-0.007085420961047695,-0.007085420961047695
0,2022-05-26,equal_weight_candidates,0.05554892675791301,0.05554892675791301,0.05554892675791301
