fold,strategy,turnover,commission_cost,sell_tax_cost,slippage_cost,market_impact_cost,transaction_cost
0,adaptive_exact,1.0,0.001,0.0,0.0005,5.3154328819911335e-05,0.0015531543288199116
0,adaptive_penalty_qaoa,1.0,0.001,0.0,0.0005,5.3154328819911335e-05,0.0015531543288199116
0,adaptive_simulated_annealing,1.0,0.001,0.0,0.0005,5.3154328819911335e-05,0.0015531543288199116
0,adaptive_xy_qaoa,1.0,0.001,0.0,0.0005,5.3154328819911335e-05,0.0015531543288199116
0,equal_weight_candidates,1.0,0.0009999999999999998,0.0,0.0004999999999999999,9.91618228306782e-05,0.0015991618228306781
0,equal_weight_universe,1.0,0.001,0.0,0.0005,2.883060192063619e-05,0.001528830601920636
0,ewma_topk_exact,0.9999999999977348,0.000999999999997735,0.0,0.0004999999999988675,0.00028758532516501794,0.0017875853251616202
0,full_pipeline_xy_qaoa,1.0,0.001,0.0,0.0005,5.3154328819911335e-05,0.0015531543288199116
0,liquidity_topk_exact,0.999999999991218,0.000999999999991218,0.0,0.000499999999995609,0.00029770357235669445,0.0017977035723435214
0,markowitz_mean_variance,1.0,0.001,0.0,0.0005,0.00027949339151880703,0.0017794933915188072
0,minimum_variance,1.000000000000191,0.0010000000000001908,0.0,0.0005000000000000954,0.00017720853454055745,0.0016772085345408436
0,xgboost_penalty_qaoa,0.9999999999999986,0.0009999999999999985,0.0,0.0004999999999999993,0.00016560502571852736,0.0016656050257185253
0,xgboost_topk_exact,1.0,0.001,0.0,0.0005,0.0002516446746106951,0.0017516446746106953
0,xgboost_xy_qaoa,1.0,0.001,0.0,0.0005,0.0002516446746106951,0.0017516446746106953
1,adaptive_exact,1.999999999999976,0.001999999999999976,0.001,0.000999999999999988,0.00030561212238752993,0.0043056121223874946
1,adaptive_penalty_qaoa,1.999999999999976,0.001999999999999976,0.001,0.000999999999999988,0.00030561212238752993,0.0043056121223874946
1,adaptive_simulated_annealing,1.999999999999976,0.001999999999999976,0.001,0.000999999999999988,0.00030561212238752993,0.0043056121223874946
1,adaptive_xy_qaoa,1.999999999999976,0.001999999999999976,0.001,0.000999999999999988,0.00030561212238752993,0.0043056121223874946
1,equal_weight_candidates,2.0,0.002,0.001,0.001,0.00028845363113739027,0.00428845363113739
1,equal_weight_universe,0.15296660509077226,0.00015296660509077226,7.648330254538612e-05,7.648330254538613e-05,3.07142523875488e-06,0.00030900463542029937
1,ewma_topk_exact,1.9999999999986617,0.0019999999999986617,0.001,0.0009999999999993309,0.000596292101547908,0.0045962921015459
1,full_pipeline_xy_qaoa,1.999999999999976,0.001999999999999976,0.001,0.000999999999999988,0.00030561212238752993,0.0043056121223874946
1,liquidity_topk_exact,1.6161994075499373,0.0016161994075499372,0.000808099703776174,0.0008080997037749686,0.0005103876901083243,0.0037427865052094044
1,markowitz_mean_variance,2.0,0.002,0.001,0.001,0.0005764777211213766,0.004576477721121377
1,minimum_variance,0.1012051202915652,0.0001012051202915652,5.060256014481708e-05,5.06025601457826e-05,8.613322872768818e-06,0.00021102356345493371
1,xgboost_penalty_qaoa,1.9999999999999998,0.0019999999999999996,0.001,0.0009999999999999998,0.00046045171584455454,0.0044604517158445545
1,xgboost_topk_exact,2.0,0.002,0.001,0.001,0.00043415354465715,0.00443415354465715
1,xgboost_xy_qaoa,2.0,0.0019999999999999996,0.001,0.0009999999999999998,0.00044804485796724367,0.004448044857967243
2,adaptive_exact,1.9999999999905183,0.0019999999999905185,0.001,0.0009999999999952592,0.0003433384382797281,0.004343338438265506
2,adaptive_penalty_qaoa,1.9999999999961187,0.0019999999999961186,0.001,0.0009999999999980593,0.0004127584868456914,0.00441275848683987
2,adaptive_simulated_annealing,1.9999999999905183,0.0019999999999905185,0.001,0.0009999999999952592,0.0003433384382797281,0.004343338438265506
2,adaptive_xy_qaoa,1.9999999999961187,0.0019999999999961186,0.001,0.0009999999999980593,0.0004127584868456914,0.00441275848683987
2,equal_weight_candidates,1.4658600860750095,0.0014658600860750096,0.0007329300430375049,0.0007329300430375048,0.0001905783831125398,0.003122298555262559
2,equal_weight_universe,0.13093685953102907,0.00013093685953102907,6.54684297655146e-05,6.546842976551453e-05,2.281183435367349e-06,0.00026415490249742554
2,ewma_topk_exact,2.0,0.002,0.001,0.001,0.0005909536828180421,0.004590953682818043
2,full_pipeline_xy_qaoa,2.0,0.002,0.001,0.001,0.00034333843863918254,0.004343338438639183
2,liquidity_topk_exact,1.6007920370543924,0.0016007920370543923,0.0008003960185279497,0.0008003960185271961,0.0004703665890244897,0.003671950663134028
2,markowitz_mean_variance,2.0,0.002,0.001,0.001,0.0005965979140889783,0.004596597914088978
2,minimum_variance,0.20826269970947192,0.00020826269970947191,0.00010413134984907817,0.00010413134985473596,1.6677756570279234e-05,0.0004332031559835653
2,xgboost_penalty_qaoa,2.0000000000000093,0.002000000000000009,0.001,0.0010000000000000046,0.0003405671516532693,0.004340567151653283
2,xgboost_topk_exact,2.0000000000000093,0.002000000000000009,0.0009999999999999998,0.0010000000000000046,0.00032319925767708055,0.004323199257677095
2,xgboost_xy_qaoa,2.0000000000000093,0.002000000000000009,0.001,0.0010000000000000046,0.0003405671516532693,0.004340567151653283
