method,energy_mean,feasibility_rate,optimality_gap_mean,runtime_seconds,runs
exact,-0.0041125765959555095,1.0,0.0,0.0,12
penalty_qaoa_ideal_statevector,-0.003171335253149329,0.6466145833333333,0.06263212303990097,0.33844474333332075,60
penalty_stochastic_baseline,-0.0041125765959555095,0.2724609375,0.0,0.014766841666566203,12
simulated_annealing,-0.004112576595955509,1.0,0.0,0.04011923000004269,60
xy_qaoa_dicke_ideal_statevector,-0.003054466862064152,1.0,0.08926612938896131,0.20345168166674435,60
