fold,decision_time,ticker,signal,xgboost_expected_return,ewma_signal,liquidity_20d,adv_20d,volatility_20d,signal_z,liquidity_z,risk_z,base_score,selected_candidate,decision_reason,eligible_count,selected_m,signal_dispersion,relative_signal_dispersion,average_abs_correlation,candidate_size_reason,weight,pre_trade_weight,trade_weight,transaction_cost,security_id,company_name,target_weight,previous_weight,selected_by_solver,estimated_cost,adv_participation,selection_reason
0,2022-04-29,SHB,0.613855242729187,0.11981884999743653,-0.006816163184313511,25.940255367612775,184378282561.85928,0.031996946733735245,1.6829413175582886,1.3350384910131463,-0.03108529748891261,1.1972882472853472,True,selected_by_signal_liquidity_risk_and_correlation,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported,,,0.0,,VN000000SHB9,Ngân hàng Thương mại Cổ phần Sài Gòn – Hà Nội,0.0,0.0,False,0.0,0.0,aur_candidate_not_selected_by_xy_qaoa
0,2022-04-29,GEX,0.6123854517936707,0.11906978837943355,-0.007728436357550117,27.12142137829686,600735982702.9065,0.04359353238848279,1.6570980548858643,1.955524979632322,1.0032342600590638,1.152023810946688,True,selected_by_signal_liquidity_risk_and_correlation,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported,,,0.0,,VN000000GEX5,Công ty Cổ phần Tập đoàn GELEX,0.0,0.0,False,0.0,0.0,aur_candidate_not_selected_by_xy_qaoa
0,2022-04-29,APG,0.6340069770812988,0.13008894377377056,-0.010879388941895904,24.25295027977947,34113201250.0,0.042419137477683305,2.037268877029419,0.44866858220362504,0.8984879441443072,1.075458466789904,True,selected_by_signal_liquidity_risk_and_correlation,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported,0.39999999999999697,0.0,0.39999999999999697,0.0006306276553217177,VN000000APG9,Công ty Cổ phần Chứng khoán APG,0.39999999999999697,0.0,True,63062.76553217177,0.001172566588132789,selected_by_xy_qaoa_then_classical_weighting
0,2022-04-29,PVD,0.6123854517936707,0.11906978837943355,-0.008212053102655771,25.88738426902193,174883219157.98642,0.0406294414187216,1.6570980548858643,1.307264408439375,0.7388618532446298,1.0620275577302638,True,selected_by_signal_liquidity_risk_and_correlation,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported,0.1477885309858047,0.0,0.1477885309858047,0.0002247206863865375,VN000000PVD2,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,0.1477885309858047,0.0,True,22472.06863865375,8.450698225785466e-05,selected_by_xy_qaoa_then_classical_weighting
0,2022-04-29,SBT,0.605449378490448,0.11553490041302095,-0.006078093440278021,24.887029857423503,64313143569.87154,0.02861055224325576,1.535141110420227,0.7817613118273069,-0.33312368666268666,1.0506484439773827,True,selected_by_signal_liquidity_risk_and_correlation,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported,0.3194289044105521,0.0,0.3194289044105521,0.0004950616480307302,VN000000SBT4,Công ty Cổ phần Thành Thành Công - Biên Hòa,0.3194289044105521,0.0,True,49506.16480307302,0.000496677485627049,selected_by_xy_qaoa_then_classical_weighting
0,2022-04-29,SZC,0.6168733835220337,0.12135700986155096,-0.005851020934018142,24.869905636696316,63221207067.6082,0.037279110990484594,1.7360092401504517,0.7727656689682663,0.4400400802381111,1.0433521978802205,True,selected_by_signal_liquidity_risk_and_correlation,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported,,,0.0,,VN000000SZC9,Công ty Cổ phần Sonadezi Châu Đức,0.0,0.0,False,0.0,0.0,aur_candidate_not_selected_by_xy_qaoa
0,2022-04-29,KSB,0.6036127209663391,0.1145988695643595,-0.005752656885672231,25.243095289653116,91819937000.0,0.03261722510135174,1.5028471946716309,0.9688085073649314,0.024238404318698486,1.0166919217364363,True,selected_by_signal_liquidity_risk_and_correlation,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported,0.13278256460364632,0.0,0.13278256460364632,0.00020274433908092613,VN000000KSB3,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,0.13278256460364632,0.0,True,20274.433908092615,0.00014461190994244128,selected_by_xy_qaoa_then_classical_weighting
0,2022-04-29,NKG,0.5907768607139587,0.10805722475163643,-0.004217308040569603,26.089851891575897,214130588303.00275,0.03151077583956141,1.277154564857483,1.413624075955396,-0.07444772149245697,0.996326990047028,True,selected_by_signal_liquidity_risk_and_correlation,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported,,,0.0,,VN000000NKG3,Công ty Cổ phần Thép Nam Kim,0.0,0.0,False,0.0,0.0,aur_candidate_not_selected_by_xy_qaoa
1,2022-08-30,CTG,0.5596544146537781,-0.03900834840733547,0.00041997050715469604,25.498980308362018,118595017107.12431,0.012166696609573768,1.5079904794692993,1.255665870545327,-0.9151212408550253,1.2177961179849695,True,selected_by_signal_liquidity_risk_and_correlation,300,8,0.06458935141563416,0.13446322299518404,0.3303174414001925,full_budget_supported,,,0.0,,VN000000CTG7,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,0.0,0.0,False,0.0,0.0,aur_candidate_not_selected_by_xy_qaoa
1,2022-08-30,MSB,0.5637741684913635,-0.040472412489383935,0.0003746409879574941,24.381768358846955,38803192410.853516,0.009273248809133003,1.5717742443084717,0.7372500777167009,-1.2969401795583115,1.2064668887676753,True,selected_by_signal_liquidity_risk_and_correlation,300,8,0.06458935141563416,0.13446322299518404,0.3303174414001925,full_budget_supported,0.0,0.0,0.0,0.0,VN000000MSB9,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,0.0,0.0,False,0.0,0.0,aur_candidate_not_selected_by_xy_qaoa
