fold,trade_time,strategy,ticker,pre_trade_weight,target_weight,trade_weight,turnover,commission_cost,sell_tax_cost,slippage_cost,market_impact_cost,transaction_cost
0,2022-05-02,full_pipeline_xy_qaoa,APG,0.0,0.39999999999999697,0.39999999999999697,0.39999999999999697,0.000399999999999997,0.0,0.0001999999999999985,3.0627655321722184e-05,0.0006306276553217177
0,2022-05-02,full_pipeline_xy_qaoa,KSB,0.0,0.13278256460364632,0.13278256460364632,0.13278256460364632,0.00013278256460364632,0.0,6.639128230182316e-05,3.5704921754566287e-06,0.00020274433908092613
0,2022-05-02,full_pipeline_xy_qaoa,PVD,0.0,0.1477885309858047,0.1477885309858047,0.1477885309858047,0.00014778853098580468,0.0,7.389426549290234e-05,3.0378899078304913e-06,0.0002247206863865375
0,2022-05-02,full_pipeline_xy_qaoa,SBT,0.0,0.3194289044105521,0.3194289044105521,0.3194289044105521,0.0003194289044105521,0.0,0.00015971445220527606,1.591829141490203e-05,0.0004950616480307302
0,2022-05-02,equal_weight_candidates,APG,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00014285714285714284,0.0,7.142857142857142e-05,6.53697319238492e-06,0.00022082268747809918
0,2022-05-02,equal_weight_candidates,GEX,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00014285714285714284,0.0,7.142857142857142e-05,2.699746235780194e-05,0.0002412831766435162
0,2022-05-02,equal_weight_candidates,KSB,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00014285714285714284,0.0,7.142857142857142e-05,3.984459776339327e-06,0.0002182701740620536
0,2022-05-02,equal_weight_candidates,NKG,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00014285714285714284,0.0,7.142857142857142e-05,2.699746235780194e-05,0.0002412831766435162
0,2022-05-02,equal_weight_candidates,PVD,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00014285714285714284,0.0,7.142857142857142e-05,2.8871136010758903e-06,0.00021717282788679017
0,2022-05-02,equal_weight_candidates,SBT,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00014285714285714284,0.0,7.142857142857142e-05,4.76088918747224e-06,0.00021904660347318652
0,2022-05-02,equal_weight_candidates,SZC,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00014285714285714284,0.0,7.142857142857142e-05,2.699746235780194e-05,0.0002412831766435162
0,2022-05-02,liquidity_topk_exact,DGC,0.0,0.39999999998858327,0.39999999998858327,0.39999999998858327,0.00039999999998858326,0.0,0.00019999999999429163,0.00012649110640131973,0.0007264911063841945
0,2022-05-02,liquidity_topk_exact,DPM,0.0,0.4,0.4,0.4,0.0004,0.0,0.0002,0.00012649110640673518,0.0007264911064067352
0,2022-05-02,liquidity_topk_exact,MBB,0.0,6.678256478991701e-12,6.678256478991701e-12,6.678256478991701e-12,6.678256478991701e-15,0.0,3.3391282394958506e-15,8.62908298485538e-21,1.0017393347570537e-14
0,2022-05-02,liquidity_topk_exact,VPB,0.0,0.19999999999595644,0.19999999999595644,0.19999999999595644,0.00019999999999595642,0.0,9.999999999797821e-05,4.472135954863955e-05,0.0003447213595425742
0,2022-05-02,ewma_topk_exact,ACL,0.0,0.4,0.4,0.4,0.0004,0.0,0.0002,0.00012649110640673518,0.0007264911064067352
0,2022-05-02,ewma_topk_exact,DGC,0.0,0.050281320295677556,0.050281320295677556,0.050281320295677556,5.0281320295677556e-05,0.0,2.5140660147838778e-05,5.63741509133166e-06,8.105939553484798e-05
0,2022-05-02,ewma_topk_exact,OGC,0.0,0.14971867970305233,0.14971867970305233,0.14971867970305233,0.00014971867970305232,0.0,7.485933985152616e-05,2.896569726068792e-05,0.0002535437168152664
0,2022-05-02,ewma_topk_exact,REE,0.0,0.39999999999900493,0.39999999999900493,0.39999999999900493,0.00039999999999900494,0.0,0.00019999999999950247,0.00012649110640626317,0.0007264911064047706
0,2022-05-02,xgboost_topk_exact,NHA,0.0,0.24530829165782814,0.24530829165782814,0.24530829165782814,0.00024530829165782817,0.0,0.00012265414582891408,6.074888992141774e-05,0.00042871132740816
0,2022-05-02,xgboost_topk_exact,PTL,0.0,0.30552514908569695,0.30552514908569695,0.30552514908569695,0.0003055251490856969,0.0,0.00015276257454284846,8.443848865601327e-05,0.0005427262122845586
0,2022-05-02,xgboost_topk_exact,TDG,0.0,0.23040164822314846,0.23040164822314846,0.23040164822314846,0.00023040164822314848,0.0,0.00011520082411157424,5.529659336139464e-05,0.0004008990656961174
0,2022-05-02,xgboost_topk_exact,TIP,0.0,0.2187649110333265,0.2187649110333265,0.2187649110333265,0.00021876491103332648,0.0,0.00010938245551666324,5.116070267186944e-05,0.00037930806922185917
0,2022-05-02,adaptive_exact,APG,0.0,0.39999999999999697,0.39999999999999697,0.39999999999999697,0.000399999999999997,0.0,0.0001999999999999985,3.0627655321722184e-05,0.0006306276553217177
0,2022-05-02,adaptive_exact,KSB,0.0,0.13278256460364632,0.13278256460364632,0.13278256460364632,0.00013278256460364632,0.0,6.639128230182316e-05,3.5704921754566287e-06,0.00020274433908092613
0,2022-05-02,adaptive_exact,PVD,0.0,0.1477885309858047,0.1477885309858047,0.1477885309858047,0.00014778853098580468,0.0,7.389426549290234e-05,3.0378899078304913e-06,0.0002247206863865375
0,2022-05-02,adaptive_exact,SBT,0.0,0.3194289044105521,0.3194289044105521,0.3194289044105521,0.0003194289044105521,0.0,0.00015971445220527606,1.591829141490203e-05,0.0004950616480307302
0,2022-05-02,xgboost_penalty_qaoa,APG,0.0,0.4,0.4,0.4,0.0004,0.0,0.0002,3.062765532172253e-05,0.0006306276553217226
0,2022-05-02,xgboost_penalty_qaoa,NHA,0.0,0.17871167017886622,0.17871167017886622,0.17871167017886622,0.00017871167017886622,0.0,8.935583508943311e-05,3.777455655476703e-05,0.0003058420618230664
0,2022-05-02,xgboost_penalty_qaoa,SZC,0.0,0.23599544454219024,0.23599544454219024,0.23599544454219024,0.00023599544454219022,0.0,0.00011799772227109511,5.73225410557617e-05,0.00041131570786904706
0,2022-05-02,xgboost_penalty_qaoa,TDG,0.0,0.18529288527894208,0.18529288527894208,0.18529288527894208,0.00018529288527894207,0.0,9.264644263947104e-05,3.9880272786276096e-05,0.0003178196007046892
0,2022-05-02,xgboost_xy_qaoa,NHA,0.0,0.24530829165782814,0.24530829165782814,0.24530829165782814,0.00024530829165782817,0.0,0.00012265414582891408,6.074888992141774e-05,0.00042871132740816
0,2022-05-02,xgboost_xy_qaoa,PTL,0.0,0.30552514908569695,0.30552514908569695,0.30552514908569695,0.0003055251490856969,0.0,0.00015276257454284846,8.443848865601327e-05,0.0005427262122845586
0,2022-05-02,xgboost_xy_qaoa,TDG,0.0,0.23040164822314846,0.23040164822314846,0.23040164822314846,0.00023040164822314848,0.0,0.00011520082411157424,5.529659336139464e-05,0.0004008990656961174
