fold,feature,training_coverage,active
8,roe_pit,0.0,False
8,revenue_growth_yoy_pit,0.0,False
8,policy_rate_pit,0.0,False
9,return_5d,0.9996057937062149,True
9,return_20d,0.998468226972721,True
9,return_60d,0.9955342058432636,True
9,return_120d,0.9913894082400379,True
9,sma_ratio_20,0.9985414367129953,True
9,ema_ratio_20,1.0,True
9,rsi_14,0.986202779717523,True
9,macd,1.0,True
9,atr_14,0.9989806951546415,True
9,volatility_20d,0.998468226972721,True
9,downside_volatility_20d,0.9985414367129953,True
9,drawdown_60d,0.9956130471020206,True
9,liquidity_20d,0.9985414367129953,True
9,beta_60d,0.9955342058432636,True
9,roe_pit,0.0,False
9,revenue_growth_yoy_pit,0.0,False
9,policy_rate_pit,0.0,False
10,return_5d,0.9996070616632519,True
10,return_20d,0.9984282466530073,True
10,return_60d,0.9954082348648573,True
10,return_120d,0.9908894439922535,True
10,sma_ratio_20,0.998506834320357,True
10,ema_ratio_20,1.0,True
10,rsi_14,0.9858486064722557,True
10,macd,1.0,True
10,atr_14,0.9989783603244548,True
10,volatility_20d,0.9984282466530073,True
10,downside_volatility_20d,0.998506834320357,True
10,drawdown_60d,0.9954812091273962,True
10,liquidity_20d,0.998506834320357,True
10,beta_60d,0.9954082348648573,True
10,roe_pit,0.0,False
10,revenue_growth_yoy_pit,0.0,False
10,policy_rate_pit,0.0,False
11,return_5d,0.9996368999072698,True
11,return_20d,0.9985252550079882,True
11,return_60d,0.9952796987945077,True
11,return_120d,0.9905873283653792,True
11,sma_ratio_20,0.998603461181807,True
11,ema_ratio_20,1.0,True
11,rsi_14,0.9845766252918766,True
11,macd,1.0,True
11,atr_14,0.9990559397589015,True
11,volatility_20d,0.9985252550079882,True
11,downside_volatility_20d,0.998603461181807,True
11,drawdown_60d,0.9953579049683265,True
11,liquidity_20d,0.998603461181807,True
11,beta_60d,0.9952796987945077,True
11,roe_pit,0.0,False
11,revenue_growth_yoy_pit,0.0,False
11,policy_rate_pit,0.0,False
