fold,decision_time,ticker,signal,xgboost_expected_return,ewma_signal,fold_rank_ic,xgboost_rank_ic,ewma_rank_ic,universe_snapshot_time
0,2022-04-29,AAA,0.6036127209663391,0.1145988695643595,-0.006718586130522919,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,AAM,0.4604867100715637,0.04165638590324924,0.0020545921784427467,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,AAT,0.45415446162223816,0.038429230153113836,9.421017101610835e-05,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ACB,0.45320257544517517,0.03794411258794464,-0.0018975091544389745,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ACC,0.47339150309562683,0.04823316149018134,-0.0038230207823568563,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ACL,0.4154278635978699,0.0186926761474297,0.007787225245199652,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ADG,0.44455790519714355,0.033538458336976135,-0.002019785376456406,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ADS,0.49702203273773193,0.06027618226290343,0.00034891530709648853,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,AGG,0.46237629652023315,0.04261939135415682,-0.003251542381688383,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,AGR,0.605449378490448,0.11553490041302095,-0.007015270502302371,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ANV,0.4977080821990967,0.0606258192807555,0.0035450568327591797,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,APG,0.6340069770812988,0.13008894377377056,-0.010879388941895904,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,APH,0.49173662066459656,0.05758253432723681,-0.009725773196350502,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ASG,0.45527854561805725,0.03900210630599585,-0.001054393403330239,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ASM,0.5967731475830078,0.11111316164415908,-0.0010383369951974192,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ASP,0.5718981027603149,0.09843588838540374,-0.008476782099349708,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,AST,0.4899771213531494,0.05668582625178206,0.0003739559524734575,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BCE,0.4726593494415283,0.047860028014179073,-0.007128059959181676,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BFC,0.5549516677856445,0.08979933763878412,-0.0035879067263299,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BIC,0.4871581792831421,0.055249185667742506,-0.0002946027601821357,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BID,0.4587518572807312,0.04077223863638546,-0.003468486882944502,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BKG,0.605449378490448,0.11553490041302095,-0.0063619735644263745,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BMC,0.5820161700248718,0.10359244205103724,-0.0054374658304154454,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BMI,0.5266424417495728,0.07537187442168258,-0.00245748199760867,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BMP,0.4739077687263489,0.04849627018089597,0.00040105337949131767,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BSI,0.5811519622802734,0.10315200876503927,-0.007263569262025459,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BTP,0.4861716628074646,0.05474641917925688,-7.698019533670356e-06,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BVH,0.4943356215953827,0.058907084503294294,0.0003575144823786124,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BWE,0.4732314944267273,0.04815161495895423,0.0007991347157516149,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,C32,0.5203936100006104,0.07218723100920871,-0.003014519574710639,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,C47,0.5738255381584167,0.09941818310706163,-0.0033237198612938684,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,CCL,0.4950360953807831,0.05926407270779449,-0.006243078852281276,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,CDC,0.4849121570587158,0.054104526926934376,0.0011173391386765181,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,CIG,0.6059297323226929,0.11577970707912605,-0.004342065590094025,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,CII,0.6046867370605469,0.11514622920160328,-0.006965465267642157,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,CKG,0.5934620499610901,0.10942569978675681,-0.006123201058154258,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,CLC,0.46614155173301697,0.04453830927216065,-0.00038849692528197853,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,CLL,0.4738088846206665,0.048445875062510524,-0.001262799946449764,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,CMG,0.4870533347129822,0.05519575286892392,0.0027714519975939934,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,CMX,0.591623842716217,0.10848887914118271,-0.0008834732381313055,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
