fold,decision_time,ticker,signal,xgboost_expected_return,ewma_signal,liquidity_20d,adv_20d,volatility_20d,signal_z,liquidity_z,risk_z,base_score,selected_candidate,decision_reason,eligible_count,selected_m,signal_dispersion,relative_signal_dispersion,average_abs_correlation,candidate_size_reason
0,2022-04-29,SHB,0.613855242729187,0.11981884999743653,-0.006816163184313511,25.940255367612775,184378282561.85928,0.031996946733735245,1.6829413175582886,1.3350384910131463,-0.03108529748891261,1.1972882472853472,True,selected_by_signal_liquidity_risk_and_correlation,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,GEX,0.6123854517936707,0.11906978837943355,-0.007728436357550117,27.12142137829686,600735982702.9065,0.04359353238848279,1.6570980548858643,1.955524979632322,1.0032342600590638,1.152023810946688,True,selected_by_signal_liquidity_risk_and_correlation,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,APG,0.6340069770812988,0.13008894377377056,-0.010879388941895904,24.25295027977947,34113201250.0,0.042419137477683305,2.037268877029419,0.44866858220362504,0.8984879441443072,1.075458466789904,True,selected_by_signal_liquidity_risk_and_correlation,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,PVD,0.6123854517936707,0.11906978837943355,-0.008212053102655771,25.88738426902193,174883219157.98642,0.0406294414187216,1.6570980548858643,1.307264408439375,0.7388618532446298,1.0620275577302638,True,selected_by_signal_liquidity_risk_and_correlation,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,SBT,0.605449378490448,0.11553490041302095,-0.006078093440278021,24.887029857423503,64313143569.87154,0.02861055224325576,1.535141110420227,0.7817613118273069,-0.33312368666268666,1.0506484439773827,True,selected_by_signal_liquidity_risk_and_correlation,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,SZC,0.6168733835220337,0.12135700986155096,-0.005851020934018142,24.869905636696316,63221207067.6082,0.037279110990484594,1.7360092401504517,0.7727656689682663,0.4400400802381111,1.0433521978802205,True,selected_by_signal_liquidity_risk_and_correlation,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,KSB,0.6036127209663391,0.1145988695643595,-0.005752656885672231,25.243095289653116,91819937000.0,0.03261722510135174,1.5028471946716309,0.9688085073649314,0.024238404318698486,1.0166919217364363,True,selected_by_signal_liquidity_risk_and_correlation,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,NKG,0.5907768607139587,0.10805722475163643,-0.004217308040569603,26.089851891575897,214130588303.00275,0.03151077583956141,1.277154564857483,1.413624075955396,-0.07444772149245697,0.996326990047028,True,selected_by_signal_liquidity_risk_and_correlation,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,AAA,0.6036127209663391,0.1145988695643595,-0.006718586130522919,25.082809433555884,78221425750.0,0.03273845087505711,1.5028471946716309,0.8846076354083385,0.035050741014631105,0.9982298968407279,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,DIG,0.6034293174743652,0.11450540013743238,-0.007214788094108611,27.030977683610885,548787800449.33203,0.05004355838458673,1.4996224641799927,1.9080133766689567,1.5785232488255083,0.9696165731112835,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,CII,0.6046867370605469,0.11514622920160328,-0.006965465267642157,25.872512671840106,172301669828.38654,0.04231941884331431,1.5217316150665283,1.299452106839057,0.8895938664519133,0.9634037296866151,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,LCG,0.6046867370605469,0.11514622920160328,-0.006234076817745004,25.54351398539695,123995856341.07724,0.04363717257342551,1.5217316150665283,1.1266235307837686,1.007126603730305,0.9112081038837987,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,CTS,0.6142221093177795,0.12000581922809506,-0.00831849623771405,23.794015979108902,21558068225.93218,0.03704993227384823,1.6893919706344604,0.207582629717527,0.4195992336089402,0.907742242632511,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,FCN,0.6046867370605469,0.11514622920160328,-0.006344751356704273,25.51235621582025,120191989750.0,0.043755719602820306,1.5217316150665283,1.1102558272916458,1.0177000185821201,0.9063485509576018,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,PTL,0.6340069770812988,0.13008894377377056,-0.010475270735290847,22.629911892056082,6730477250.0,0.04656040439507777,2.037268877029419,-0.40394094176105133,1.2678547123649109,0.8495315467638782,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,TSC,0.6036127209663391,0.1145988695643595,-0.007843434371184739,25.185679593065057,86696521000.0,0.04576226282393032,1.5028471946716309,0.9386470705767903,1.1966670834103563,0.8347953325150594,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,VCG,0.5814854502677917,0.1033219669852723,-0.010344029783482478,25.804946882567844,161044551744.5705,0.03481000635631877,1.113783836364746,1.2639586546425716,0.21981636191421547,0.8324004104838503,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,GVR,0.5938229560852051,0.1096096313369822,-0.004794480366897086,25.348021786040874,101977882250.0,0.04032066244565666,1.3307139873504639,1.0239281710852295,0.7113213218926365,0.8299801408968345,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,HAX,0.605449378490448,0.11553490041302095,-0.00735134678970277,23.95292051065308,25270928746.853615,0.038258378424719644,1.535141110420227,0.2910578685168703,0.5273826385957494,0.8234318065265299,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,TIP,0.6196960806846619,0.1227955641842634,-0.009898391198556735,23.01356386984396,9877881175.0708,0.04130962485303878,1.7856407165527344,-0.20240206712688136,0.7995285916950453,0.8216926919243709,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,LHG,0.605449378490448,0.11553490041302095,-0.004946555357878337,24.968181519309457,69749878750.0,0.046936623811935294,1.535141110420227,0.8243916527563213,1.3014103736923228,0.8139944031099341,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,AGR,0.605449378490448,0.11553490041302095,-0.007015270502302371,23.549894289188625,16888424597.302881,0.0361550514135011,1.535141110420227,0.07934137590199922,0.3397832599172818,0.8092284148053258,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,HHS,0.6065233945846558,0.11608226005026479,-0.006201001657412946,23.99272816590477,26297196299.52715,0.04045535462730703,1.5540255308151245,0.3119695032945913,0.7233347508343485,0.80860772402162,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,CTI,0.605449378490448,0.11553490041302095,-0.008413059746749661,23.59716824439146,17705979500.0,0.03700396085054692,1.535141110420227,0.10417518436043921,0.41549896275125076,0.8028378210719186,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,HQC,0.6021944880485535,0.11387608388210302,-0.007253799087238757,25.431143050764305,110816669950.0,0.049718059791630576,1.4779105186462402,1.0675931777069119,1.549491465620331,0.7939456890328358,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,PVT,0.5763485431671143,0.10070400285759684,-0.005824880990931541,25.128565401796223,81883668637.34888,0.03020100713632576,1.0234616994857788,0.9086440196337665,-0.19126826039532557,0.7733229836636949,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,NHA,0.6196960806846619,0.1227955641842634,-0.007959430179781301,22.76633270453149,7714231482.634961,0.04310415609401392,1.7856407165527344,-0.3322767809726655,0.9595859408520832,0.7717091467816584,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
0,2022-04-29,ASM,0.5967731475830078,0.11111316164415908,-0.0010383369951974192,25.879406226618272,173493544233.54767,0.05102048806599571,1.3825870752334595,1.3030734077905897,1.6656572989600622,0.7711889721320467,False,outside_qubit_budget,294,8,0.056873172521591187,0.11385745252423922,0.2299669642332347,full_budget_supported
