fold,decision_time,signal_mode,selected_xgboost_weight,selected_technical_weight,validation_mean_daily_rank_ic,validation_rank_ic_standard_error,validation_objective,validation_days,validation_positive_ic_ratio,grid,calibration_method,calibration_slope,calibration_r_squared
10,2023-02-27,validation_blend,1.0,0.0,0.018288638215652506,0.02656400994150266,0.01164763573027684,32,0.65625,"[{""technical_weight"": 0.75, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.08229917220875892, ""validation_objective"": -0.09202033064446705, ""validation_positive_ic_ratio"": 0.40625, ""validation_rank_ic_standard_error"": 0.038884633742832506, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.038517855883783945, ""validation_objective"": -0.04800130811331413, ""validation_positive_ic_ratio"": 0.53125, ""validation_rank_ic_standard_error"": 0.03793380891812074, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.005324206596963519, ""validation_objective"": -0.013237837998516418, ""validation_positive_ic_ratio"": 0.5625, ""validation_rank_ic_standard_error"": 0.0316545256062116, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.018288638215652506, ""validation_objective"": 0.01164763573027684, ""validation_positive_ic_ratio"": 0.65625, ""validation_rank_ic_standard_error"": 0.02656400994150266, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,0.0038157930760594765,0.00012233280767970367
11,2023-03-30,validation_blend,1.0,0.0,0.1147755040239708,0.025517521699791955,0.10839612359902281,30,0.8666666666666667,"[{""technical_weight"": 0.75, ""validation_days"": 30, ""validation_mean_daily_rank_ic"": -0.04251013102958959, ""validation_objective"": -0.05089157396330919, ""validation_positive_ic_ratio"": 0.3, ""validation_rank_ic_standard_error"": 0.03352577173487843, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 30, ""validation_mean_daily_rank_ic"": 0.04234548499953828, ""validation_objective"": 0.03401405951283666, ""validation_positive_ic_ratio"": 0.6333333333333333, ""validation_rank_ic_standard_error"": 0.03332570194680648, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 30, ""validation_mean_daily_rank_ic"": 0.09108171825619309, ""validation_objective"": 0.0837283881854355, ""validation_positive_ic_ratio"": 0.7333333333333333, ""validation_rank_ic_standard_error"": 0.029413320283030356, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 30, ""validation_mean_daily_rank_ic"": 0.1147755040239708, ""validation_objective"": 0.10839612359902281, ""validation_positive_ic_ratio"": 0.8666666666666667, ""validation_rank_ic_standard_error"": 0.025517521699791955, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,0.02486426948577668,0.006434713986531393
12,2023-04-28,validation_blend,1.0,0.0,0.08745878447914673,0.030067506141102596,0.07994190794387109,30,0.7,"[{""technical_weight"": 0.75, ""validation_days"": 30, ""validation_mean_daily_rank_ic"": 0.0026939005686038796, ""validation_objective"": -0.005187490128872475, ""validation_positive_ic_ratio"": 0.5333333333333333, ""validation_rank_ic_standard_error"": 0.03152556278990542, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 30, ""validation_mean_daily_rank_ic"": 0.05114603138097017, ""validation_objective"": 0.04257559113189437, ""validation_positive_ic_ratio"": 0.6333333333333333, ""validation_rank_ic_standard_error"": 0.034281760996303166, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 30, ""validation_mean_daily_rank_ic"": 0.07461289346777288, ""validation_objective"": 0.06636140956205266, ""validation_positive_ic_ratio"": 0.7, ""validation_rank_ic_standard_error"": 0.03300593562288087, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 30, ""validation_mean_daily_rank_ic"": 0.08745878447914673, ""validation_objective"": 0.07994190794387109, ""validation_positive_ic_ratio"": 0.7, ""validation_rank_ic_standard_error"": 0.030067506141102596, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,0.016913176776195107,0.00357216360056678
13,2023-05-30,validation_blend,1.0,0.0,-0.051656773125661345,0.021278766761982187,-0.05697646481615689,32,0.34375,"[{""technical_weight"": 0.75, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.1256291977975397, ""validation_objective"": -0.13147795857895134, ""validation_positive_ic_ratio"": 0.1875, ""validation_rank_ic_standard_error"": 0.023395043125646595, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.10235720000230253, ""validation_objective"": -0.10852630234928382, ""validation_positive_ic_ratio"": 0.21875, ""validation_rank_ic_standard_error"": 0.024676409387925133, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.07498941365369345, ""validation_objective"": -0.08093928370119421, ""validation_positive_ic_ratio"": 0.28125, ""validation_rank_ic_standard_error"": 0.023799480190003046, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.051656773125661345, ""validation_objective"": -0.05697646481615689, ""validation_positive_ic_ratio"": 0.34375, ""validation_rank_ic_standard_error"": 0.021278766761982187, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,-0.0166223479409946,0.0033834890879050894
14,2023-06-29,validation_blend,0.25,0.75,0.06217532891732661,0.017019871037758025,0.05792036115788711,32,0.78125,"[{""technical_weight"": 0.75, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.06217532891732661, ""validation_objective"": 0.05792036115788711, ""validation_positive_ic_ratio"": 0.78125, ""validation_rank_ic_standard_error"": 0.017019871037758025, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.06054351186763176, ""validation_objective"": 0.055698353774547966, ""validation_positive_ic_ratio"": 0.71875, ""validation_rank_ic_standard_error"": 0.01938063237233518, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.044575376571871446, ""validation_objective"": 0.0394279781505844, ""validation_positive_ic_ratio"": 0.625, ""validation_rank_ic_standard_error"": 0.02058959368514817, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.0325195999009931, ""validation_objective"": 0.02729494340319374, ""validation_positive_ic_ratio"": 0.625, ""validation_rank_ic_standard_error"": 0.020898625991197444, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,0.03896866762472149,0.0047950931865541335
15,2023-07-28,validation_blend,0.5,0.5,0.10502643796890868,0.024333476419375166,0.09894306886406488,31,0.7419354838709677,"[{""technical_weight"": 0.75, ""validation_days"": 31, ""validation_mean_daily_rank_ic"": 0.1019309261362613, ""validation_objective"": 0.09583397819147033, ""validation_positive_ic_ratio"": 0.7419354838709677, ""validation_rank_ic_standard_error"": 0.02438779177916387, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 31, ""validation_mean_daily_rank_ic"": 0.10502643796890868, ""validation_objective"": 0.09894306886406488, ""validation_positive_ic_ratio"": 0.7419354838709677, ""validation_rank_ic_standard_error"": 0.024333476419375166, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 31, ""validation_mean_daily_rank_ic"": 0.09038096876877477, ""validation_objective"": 0.0848448423866035, ""validation_positive_ic_ratio"": 0.7419354838709677, ""validation_rank_ic_standard_error"": 0.022144505528685066, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 31, ""validation_mean_daily_rank_ic"": 0.07603910257981814, ""validation_objective"": 0.07115691214790876, ""validation_positive_ic_ratio"": 0.7741935483870968, ""validation_rank_ic_standard_error"": 0.0195287617276375, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,0.06423471549905922,0.01318589235173484
16,2023-08-30,validation_blend,0.25,0.75,0.0033536957823946875,0.01984545127370823,-0.00160766703603237,32,0.46875,"[{""technical_weight"": 0.75, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.0033536957823946875, ""validation_objective"": -0.00160766703603237, ""validation_positive_ic_ratio"": 0.46875, ""validation_rank_ic_standard_error"": 0.01984545127370823, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.054975817850272224, ""validation_objective"": -0.05842174462593339, ""validation_positive_ic_ratio"": 0.28125, ""validation_rank_ic_standard_error"": 0.01378370710264467, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.08953543843390244, ""validation_objective"": -0.09207786432009452, ""validation_positive_ic_ratio"": 0.03125, ""validation_rank_ic_standard_error"": 0.010169703544768321, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.09458761270083513, ""validation_objective"": -0.09710335066099136, ""validation_positive_ic_ratio"": 0.09375, ""validation_rank_ic_standard_error"": 0.010062951840624921, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,-0.009285735247121842,0.00028868002045834285
17,2023-09-29,validation_blend,1.0,0.0,0.045180085481015,0.028664984380955983,0.038013839385776,31,0.6774193548387096,"[{""technical_weight"": 0.75, ""validation_days"": 31, ""validation_mean_daily_rank_ic"": 0.003471230765955811, ""validation_objective"": -0.0019894973593536746, ""validation_positive_ic_ratio"": 0.5806451612903226, ""validation_rank_ic_standard_error"": 0.021842912501237943, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 31, ""validation_mean_daily_rank_ic"": 0.04134532168014468, ""validation_objective"": 0.035113499314849514, ""validation_positive_ic_ratio"": 0.5161290322580645, ""validation_rank_ic_standard_error"": 0.024927289461180675, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 31, ""validation_mean_daily_rank_ic"": 0.04289918034768133, ""validation_objective"": 0.03606497506177083, ""validation_positive_ic_ratio"": 0.5806451612903226, ""validation_rank_ic_standard_error"": 0.027336821143642, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 31, ""validation_mean_daily_rank_ic"": 0.045180085481015, ""validation_objective"": 0.038013839385776, ""validation_positive_ic_ratio"": 0.6774193548387096, ""validation_rank_ic_standard_error"": 0.028664984380955983, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,0.02934479695846687,0.007559943068521369
18,2023-10-30,validation_blend,0.5,0.5,0.005959829819877431,0.03287699770573189,-0.0022594196065555405,32,0.375,"[{""technical_weight"": 0.75, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.01686869810998507, ""validation_objective"": -0.020270678862279373, ""validation_positive_ic_ratio"": 0.40625, ""validation_rank_ic_standard_error"": 0.01360792300917721, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.005959829819877431, ""validation_objective"": -0.0022594196065555405, ""validation_positive_ic_ratio"": 0.375, ""validation_rank_ic_standard_error"": 0.03287699770573189, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.0016896901951889108, ""validation_objective"": -0.008033227467386463, ""validation_positive_ic_ratio"": 0.375, ""validation_rank_ic_standard_error"": 0.038891670650301496, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": -0.004688530429186237, ""validation_objective"": -0.014362025806620233, ""validation_positive_ic_ratio"": 0.375, ""validation_rank_ic_standard_error"": 0.038693981509735985, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,0.001888544834503656,9.277507543092867e-06
19,2023-11-29,validation_blend,0.75,0.25,0.2609357169129004,0.014169439779758758,0.25739335696796073,32,1.0,"[{""technical_weight"": 0.75, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.08033509627419172, ""validation_objective"": 0.075189963106259, ""validation_positive_ic_ratio"": 0.78125, ""validation_rank_ic_standard_error"": 0.02058053267173089, ""xgboost_weight"": 0.25}, {""technical_weight"": 0.5, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.21974975608368785, ""validation_objective"": 0.21583243334539995, ""validation_positive_ic_ratio"": 1.0, ""validation_rank_ic_standard_error"": 0.015669290953151574, ""xgboost_weight"": 0.5}, {""technical_weight"": 0.25, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.2609357169129004, ""validation_objective"": 0.25739335696796073, ""validation_positive_ic_ratio"": 1.0, ""validation_rank_ic_standard_error"": 0.014169439779758758, ""xgboost_weight"": 0.75}, {""technical_weight"": 0.0, ""validation_days"": 32, ""validation_mean_daily_rank_ic"": 0.2602780342359968, ""validation_objective"": 0.25669942490022823, ""validation_positive_ic_ratio"": 1.0, ""validation_rank_ic_standard_error"": 0.014314437343074351, ""xgboost_weight"": 1.0}]",purged_validation_blended_signal_to_return,0.09168920135412202,0.049578253746166645
