fold,trade_time,strategy,ticker,pre_trade_weight,target_weight,trade_weight,turnover,commission_cost,sell_tax_cost,slippage_cost,market_impact_cost,transaction_cost
0,2022-05-02,full_pipeline_xy_qaoa,KSB,0.0,0.036,0.036,0.036,3.6e-05,0.0,1.8e-05,5.040460991960378e-07,5.450404609919603e-05
0,2022-05-02,full_pipeline_xy_qaoa,PVD,0.0,0.0531074658203125,0.0531074658203125,0.0531074658203125,5.31074658203125e-05,0.0,2.655373291015625e-05,6.544015210326267e-07,8.031560025150137e-05
0,2022-05-02,full_pipeline_xy_qaoa,SBT,0.0,0.0933413564453125,0.0933413564453125,0.0933413564453125,9.33413564453125e-05,0.0,4.667067822265625e-05,2.514469052854305e-06,0.00014252650372082305
0,2022-05-02,full_pipeline_xy_qaoa,SZC,0.0,0.03872325,0.03872325,0.03872325,3.872325e-05,0.0,1.9361625e-05,6.776591558835528e-07,5.876253415588355e-05
0,2022-05-02,equal_weight_candidates,CII,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00014285714285714284,0.0,7.142857142857142e-05,2.699746235780194e-05,0.0002412831766435162
0,2022-05-02,equal_weight_candidates,GEX,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00014285714285714284,0.0,7.142857142857142e-05,2.699746235780194e-05,0.0002412831766435162
0,2022-05-02,equal_weight_candidates,KSB,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00014285714285714284,0.0,7.142857142857142e-05,3.984459776339327e-06,0.0002182701740620536
0,2022-05-02,equal_weight_candidates,NKG,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00014285714285714284,0.0,7.142857142857142e-05,2.699746235780194e-05,0.0002412831766435162
0,2022-05-02,equal_weight_candidates,PVD,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00014285714285714284,0.0,7.142857142857142e-05,2.8871136010758903e-06,0.00021717282788679017
0,2022-05-02,equal_weight_candidates,SBT,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00014285714285714284,0.0,7.142857142857142e-05,4.76088918747224e-06,0.00021904660347318652
0,2022-05-02,equal_weight_candidates,SZC,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.00014285714285714284,0.0,7.142857142857142e-05,4.801827455009745e-06,0.00021908754174072403
0,2022-05-02,liquidity_topk_exact,DGC,0.0,0.4,0.4,0.4,0.0004,0.0,0.0002,0.00012649110640673518,0.0007264911064067352
0,2022-05-02,liquidity_topk_exact,DPM,0.0,0.4,0.4,0.4,0.0004,0.0,0.0002,0.00012649110640673518,0.0007264911064067352
0,2022-05-02,liquidity_topk_exact,MBB,0.0,0.05,0.05,0.05,5e-05,0.0,2.5e-05,5.5901699437494744e-06,8.059016994374949e-05
0,2022-05-02,liquidity_topk_exact,VPB,0.0,0.149999999996917,0.149999999996917,0.149999999996917,0.000149999999996917,0.0,7.49999999984585e-05,2.9047375095660097e-05,0.00025404737509103557
0,2022-05-02,ewma_topk_exact,ACL,0.0,0.4,0.4,0.4,0.0004,0.0,0.0002,0.00012649110640673518,0.0007264911064067352
0,2022-05-02,ewma_topk_exact,DGC,0.0,0.05,0.05,0.05,5e-05,0.0,2.5e-05,5.5901699437494744e-06,8.059016994374949e-05
0,2022-05-02,ewma_topk_exact,OGC,0.0,0.15000000000007935,0.15000000000007935,0.15000000000007935,0.00015000000000007935,0.0,7.500000000003968e-05,2.9047375096578674e-05,0.0002540473750966977
0,2022-05-02,ewma_topk_exact,REE,0.0,0.3999999999999491,0.3999999999999491,0.3999999999999491,0.0003999999999999491,0.0,0.00019999999999997456,0.00012649110640671106,0.0007264911064066348
0,2022-05-02,xgboost_topk_exact,NHA,0.0,0.24795415189972494,0.24795415189972494,0.24795415189972494,0.00024795415189972494,0.0,0.00012397707594986247,6.173437867013324e-05,0.0004336656065197207
0,2022-05-02,xgboost_topk_exact,PTL,0.0,0.2782770949243418,0.2782770949243418,0.2782770949243418,0.0002782770949243418,0.0,0.0001391385474621709,7.339833286513777e-05,0.0004908139752516505
