fold,decision_time,ticker,signal,xgboost_signal,technical_factor_signal,xgboost_expected_return,optimization_expected_return,ewma_signal,fold_rank_ic,xgboost_rank_ic,optimization_rank_ic,ewma_rank_ic,universe_snapshot_time
0,2022-04-29,AAA,0.8741496598639455,0.6036127209663391,0.23775510204081635,0.1145988695643595,0.08471492630701795,-0.006718586130522919,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,AAM,0.1598639455782313,0.4604867100715637,0.7756802721088436,0.04165638590324924,0.040341931519649335,0.0020545921784427467,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,AAT,0.10884353741496598,0.45415446162223816,0.7724489795918369,0.038429230153113836,0.03717243189198015,9.421017101610835e-05,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ACB,0.09863945578231292,0.45320257544517517,0.6331632653061224,0.03794411258794464,0.03653853196644631,-0.0018975091544389745,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ACC,0.282312925170068,0.47339150309562683,0.5127551020408163,0.04823316149018134,0.04794873062605538,-0.0038230207823568563,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ACL,0.006802721088435374,0.4154278635978699,0.8914965986394559,0.0186926761474297,0.03083343263664177,0.007787225245199652,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ADG,0.05102040816326531,0.44455790519714355,0.6678571428571428,0.033538458336976135,0.03358033231395507,-0.002019785376456406,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ADS,0.47619047619047616,0.49702203273773193,0.814795918367347,0.06027618226290343,0.05999282921119829,0.00034891530709648853,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,AGG,0.17346938775510204,0.46237629652023315,0.5312925170068028,0.04261939135415682,0.041187131420361116,-0.003251542381688383,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,AGR,0.9132653061224489,0.605449378490448,0.2619047619047619,0.11553490041302095,0.08714487602156433,-0.007015270502302371,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ANV,0.48639455782312924,0.4977080821990967,0.8357142857142859,0.0606258192807555,0.06062672913673213,0.0035450568327591797,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,APG,0.9982993197278912,0.6340069770812988,0.09727891156462586,0.13008894377377056,0.09242737540101298,-0.010879388941895904,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,APH,0.42517006802721086,0.49173662066459656,0.07670068027210883,0.05758253432723681,0.056823329583529106,-0.009725773196350502,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ASG,0.11224489795918367,0.45527854561805725,0.6993197278911565,0.03900210630599585,0.03738373186715809,-0.001054393403330239,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ASM,0.8367346938775511,0.5967731475830078,0.4959183673469388,0.11111316164415908,0.08239062658006055,-0.0010383369951974192,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,ASP,0.7465986394557823,0.5718981027603149,0.16751700680272108,0.09843588838540374,0.07679117723784498,-0.008476782099349708,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,AST,0.40816326530612246,0.4899771213531494,0.83843537414966,0.05668582625178206,0.05576682970763938,0.0003739559524734575,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BCE,0.2653061224489796,0.4726593494415283,0.24863945578231292,0.047860028014179073,0.04689223075016566,-0.007128059959181676,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BFC,0.6972789115646258,0.5549516677856445,0.3811224489795919,0.08979933763878412,0.07372732759776476,-0.0035879067263299,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BIC,0.3741496598639456,0.4871581792831421,0.6491496598639456,0.055249185667742506,0.05365382995585992,-0.0002946027601821357,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BID,0.14285714285714285,0.4587518572807312,0.47789115646258506,0.04077223863638546,0.039285431643759604,-0.003468486882944502,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BKG,0.9132653061224489,0.605449378490448,0.2863945578231292,0.11553490041302095,0.08714487602156433,-0.0063619735644263745,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BMC,0.8027210884353742,0.5820161700248718,0.35442176870748304,0.10359244205103724,0.08027762682828109,-0.0054374658304154454,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BMI,0.608843537414966,0.5266424417495728,0.5551020408163265,0.07537187442168258,0.06823352824313818,-0.00245748199760867,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BMP,0.2891156462585034,0.4739077687263489,0.7869897959183674,0.04849627018089597,0.04837133057641127,0.00040105337949131767,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BSI,0.7925170068027211,0.5811519622802734,0.2258503401360544,0.10315200876503927,0.07964372690274725,-0.007263569262025459,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BTP,0.36054421768707484,0.4861716628074646,0.7822278911564625,0.05474641917925688,0.05280863005514814,-7.698019533670356e-06,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BVH,0.4421768707482993,0.4943356215953827,0.7144557823129253,0.058907084503294294,0.05787982945941883,0.0003575144823786124,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
0,2022-04-29,BWE,0.2755102040816326,0.4732314944267273,0.8151360544217687,0.04815161495895423,0.04752613067569949,0.0007991347157516149,-0.2924371663462125,-0.2924371663462125,-0.2924371663462125,0.2270532671338294,2022-04-30
