fold,n_estimators,max_depth,validation_rank_ic,selected
0,90,3,0.19812352063792493,True
0,180,4,0.175843318311191,False
0,180,5,0.17153560939918844,False
1,90,3,-0.16804253069108468,False
1,180,4,-0.03864595566716299,False
1,180,5,0.02141668208623505,True
2,90,3,-0.2856014643232521,False
2,180,4,-0.17849515747749828,False
2,180,5,-0.12434670273411493,True
3,90,3,-0.009963858732494339,False
3,180,4,-0.007723332539077153,False
3,180,5,0.0034417631815768204,True
4,90,3,-0.10207493242436683,False
4,180,4,-0.10599405003621327,False
4,180,5,-0.09378163518948353,True
5,90,3,-0.1987978670257324,False
5,180,4,-0.18581390515311466,False
5,180,5,-0.16186082940143934,True
6,90,3,0.19780416071637252,False
6,180,4,0.20722723901649825,False
6,180,5,0.21514485483464263,True
7,90,3,0.02870577152059244,False
7,180,4,0.1488642305494933,False
7,180,5,0.23726735081921438,True
8,90,3,0.039898175828872215,False
8,180,4,0.09638753502349946,False
8,180,5,0.14431791735347133,True
9,90,3,0.19541720602541826,False
9,180,4,0.19065356492830968,False
9,180,5,0.21305087912767506,True
10,90,3,-0.05671770084231872,False
10,180,4,-0.021019260452120332,False
10,180,5,0.017546523576794617,True
11,90,3,0.07160975071333377,False
11,180,4,0.11566806613143196,False
11,180,5,0.12136820934420227,True
12,90,3,0.06620204523234209,False
12,180,4,0.08379810406577602,False
12,180,5,0.08830438118752842,True
13,90,3,-0.055480688737709845,True
13,180,4,-0.06760186870062126,False
13,180,5,-0.06712667740286837,False
14,90,3,-0.038584893825113466,False
14,180,4,0.009493448883811385,False
14,180,5,0.03304035893845359,True
15,90,3,0.008263633947060976,False
15,180,4,0.024491230908966086,False
15,180,5,0.07416431015838407,True
16,90,3,-0.10605058673238792,False
16,180,4,-0.09809802853862332,False
16,180,5,-0.09601893693887133,True
17,90,3,-0.019050375498892942,False
17,180,4,0.036998365626957554,False
17,180,5,0.044573573831612985,True
18,90,3,-0.012087387572126605,True
18,180,4,-0.02017129075187239,False
18,180,5,-0.015135700963202346,False
19,90,3,0.2546813921629745,True
19,180,4,0.21119596967853624,False
19,180,5,0.2012106424686645,False
20,90,3,0.05883480151631605,True
20,180,4,0.017831185524403013,False
20,180,5,0.018298177035004012,False
21,90,3,-0.03263320181273732,False
21,180,4,-0.03119551176507045,False
21,180,5,-0.017586638607078608,True
22,90,3,0.1257078049213452,True
22,180,4,0.11854000225497172,False
22,180,5,0.10800469362662374,False
23,90,3,0.11879064608105416,False
23,180,4,0.12921575472289468,False
23,180,5,0.14351536892531494,True
24,90,3,0.08344999830326004,False
24,180,4,0.08984318994649058,True
24,180,5,0.08978634124720589,False
25,90,3,0.13879857442843593,True
25,180,4,0.1234502686361017,False
25,180,5,0.11185368765701122,False
26,90,3,-0.011942944679234315,False
26,180,4,-0.0016173951899161748,False
26,180,5,0.009503795241922642,True
27,90,3,0.023346971019632626,False
27,180,4,0.04141743596414777,False
27,180,5,0.05514398029555721,True
28,90,3,0.08331500894427822,True
28,180,4,0.07437427240922168,False
28,180,5,0.08161374965205496,False
29,90,3,0.054969274947418816,False
29,180,4,0.06015063998621504,False
29,180,5,0.06465751027830564,True
30,90,3,0.1276518115792588,True
30,180,4,0.09079750804662623,False
30,180,5,0.09884360285602824,False
31,90,3,0.08096175855274274,True
31,180,4,0.07224875931347255,False
31,180,5,0.07774500979480829,False
32,90,3,-0.011642104372151402,False
32,180,4,0.04242163211823021,False
32,180,5,0.04845115024378467,True
33,90,3,0.09004325557428984,False
33,180,4,0.09128867742021742,False
33,180,5,0.09216302590858741,True
34,90,3,0.08636644019722356,False
34,180,4,0.10621115809437448,True
34,180,5,0.10606952080120362,False
35,90,3,0.06473305549545108,False
35,180,4,0.07637860929073437,False
35,180,5,0.0991250783507936,True
36,90,3,0.015040201019945068,False
36,180,4,0.0323600580147253,True
36,180,5,0.027749202640185947,False
37,90,3,0.04379062462556937,False
37,180,4,0.049785653836107474,False
37,180,5,0.06437679929056957,True
38,90,3,0.13746337418452068,True
38,180,4,0.1184427475872366,False
38,180,5,0.11045649335072932,False
39,90,3,0.036519323274268455,True
39,180,4,0.027456838125397797,False
39,180,5,0.027631625067910913,False
40,90,3,-0.08139757799958325,False
40,180,4,-0.06947061818012083,False
40,180,5,-0.06513602637411824,True
41,90,3,-0.036049129722233,False
41,180,4,0.016898839843114334,False
41,180,5,0.032997812391376016,True
42,90,3,0.11635604577111668,True
42,180,4,0.10699294665046233,False
42,180,5,0.11590727568912433,False
43,90,3,0.22179380140441232,True
43,180,4,0.21298703529738455,False
43,180,5,0.2217230686742497,False
