cumulative_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,calmar,positive_day_ratio,observations,strategy,sharpe_ci_low,sharpe_ci_high
-0.08933365015478478,-0.024723044094251634,0.23160986638554382,-0.11935992709096388,-0.27001731010617525,-0.5451457129920685,-0.04535125839760816,0.4830148619957537,942,adaptive_exact,-1.1635228965263402,1.076457549327789
-0.36639042664417376,-0.11491667806087091,0.2870894201214321,-0.3831825597176941,-0.5662439720717473,-0.5385194527851065,-0.21339373622725535,0.49469214437367304,942,adaptive_penalty_qaoa,-1.542641415049916,0.7949319072902695
-0.08933365015478478,-0.024723044094251634,0.23160986638554382,-0.11935992709096388,-0.27001731010617525,-0.5451457129920685,-0.04535125839760816,0.4830148619957537,942,adaptive_simulated_annealing,-1.1635228965263402,1.076457549327789
-0.20106993274193685,-0.05828488208357474,0.2473896261492433,-0.23779852294046563,-0.403622698268441,-0.5206728006521417,-0.11194147650995603,0.4851380042462845,942,adaptive_xy_qaoa,-1.360441646890286,0.9186528786899677
-0.2259441469036706,-0.06621946034234139,0.24126103331693716,-0.2846782439647781,-0.43200235329903863,-0.5265541166488505,-0.12576002778932208,0.5095541401273885,942,equal_weight_candidates,-1.3887134424476184,0.9934284953179116
0.06947303741948385,0.018130380315459105,0.1930228821278987,0.03723414830899642,-0.06246131975975118,-0.47986468727106124,0.03778227653833964,0.5859872611464968,942,equal_weight_universe,-1.2432724054758826,1.4769194473558194
-0.3598327714385078,-0.11247537815441666,0.3917162200143179,-0.18373507193071406,-0.5318169998051643,-0.6488802062687056,-0.17333766243416565,0.4830148619957537,942,ewma_topk_exact,-1.5625991406084552,1.0431622370313796
0.16128048684337593,0.040810622376178385,0.07542182966250544,0.1760588578198981,0.17527069264204523,-0.14045502836530777,0.2905600664579593,0.4872611464968153,942,full_pipeline_xy_qaoa,-1.111083001478186,1.3177515397728257
0.19350233695700658,0.048458992703682924,0.3408641375977089,0.2237731402537786,0.06620529208866492,-0.5684741529258333,0.08524396835682553,0.5,942,liquidity_topk_exact,-0.9879457371823288,1.3468200517450888
-0.31239936449095396,-0.09534109633470156,0.4114428081137115,-0.109186550568577,-0.4475678896431579,-0.6749977120610253,-0.14124654740471468,0.4840764331210191,942,markowitz_mean_variance,-1.4608560181497174,1.0792031973623584
0.2816320190162418,0.06863258287402729,0.10984286212347968,0.39032801551166235,0.39324337686662375,-0.14718693516853465,0.4662953460878873,0.5456475583864119,942,minimum_variance,-0.65496233564003,1.4769938622934131
-0.30027625761926113,-0.0911014744002473,0.2994463659701752,-0.26733090718446284,-0.5052589498499612,-0.5647995930232339,-0.16129876070307242,0.46602972399150744,942,xgboost_penalty_qaoa,-1.6157095326923898,0.8678609873182774
-0.42683360499716116,-0.13833938321265804,0.26221421314100907,-0.548406497502301,-0.7444703438652898,-0.5638511085062399,-0.24534736409253172,0.4745222929936306,942,xgboost_topk_exact,-1.6229811127673908,0.4722805375515335
-0.4453956489495162,-0.1458946373342287,0.26582806114140695,-0.5704618970484018,-0.7701502405254843,-0.5561227283730437,-0.2623425188196291,0.4745222929936306,942,xgboost_xy_qaoa,-1.6281743089164857,0.46284210846920015
