fold,feature,training_coverage,active
8,roe_pit,0.0,False
8,revenue_growth_yoy_pit,0.0,False
8,policy_rate_pit,0.0,False
9,return_5d,0.9991832538481309,True
9,return_20d,0.9966644772539053,True
9,return_60d,0.9894451266527686,True
9,return_120d,0.9778850272724676,True
9,sma_ratio_20,0.9968358226004512,True
9,ema_ratio_20,1.0,True
9,rsi_14,0.9816660479195819,True
9,macd,1.0,True
9,atr_14,0.9978581831681754,True
9,volatility_20d,0.9966644772539053,True
9,downside_volatility_20d,0.9968358226004512,True
9,drawdown_60d,0.9896278950224177,True
9,liquidity_20d,0.9968358226004512,True
9,beta_60d,0.9894451266527686,True
9,roe_pit,0.0,False
9,revenue_growth_yoy_pit,0.0,False
9,policy_rate_pit,0.0,False
10,return_5d,0.9992590861682786,True
10,return_20d,0.9969622532899424,True
10,return_60d,0.9900774539921007,True
10,return_120d,0.9787699690525992,True
10,sma_ratio_20,0.9971218347306209,True
10,ema_ratio_20,1.0,True
10,rsi_14,0.9822408653873554,True
10,macd,1.0,True
10,atr_14,0.9980736240375244,True
10,volatility_20d,0.9969622532899424,True
10,downside_volatility_20d,0.9971218347306209,True
10,drawdown_60d,0.9902598327814475,True
10,liquidity_20d,0.9971218347306209,True
10,beta_60d,0.9900774539921007,True
10,roe_pit,0.0,False
10,revenue_growth_yoy_pit,0.0,False
10,policy_rate_pit,0.0,False
11,return_5d,0.999296413980935,True
11,return_20d,0.9970551520653654,True
11,return_60d,0.9907625964593736,True
11,return_120d,0.9798910576486609,True
11,sma_ratio_20,0.997208352246936,True
11,ema_ratio_20,1.0,True
11,rsi_14,0.981916704493872,True
11,macd,1.0,True
11,atr_14,0.9981162051747617,True
11,volatility_20d,0.9970551520653654,True
11,downside_volatility_20d,0.997208352246936,True
11,drawdown_60d,0.990932818883341,True
11,liquidity_20d,0.997208352246936,True
11,beta_60d,0.9907625964593736,True
11,roe_pit,0.0,False
11,revenue_growth_yoy_pit,0.0,False
11,policy_rate_pit,0.0,False
12,return_5d,0.9994664214475872,True
12,return_20d,0.9976443074547735,True
12,return_60d,0.9917408851727603,True
12,return_120d,0.9813644852386061,True
12,sma_ratio_20,0.9977748639090873,True
12,ema_ratio_20,1.0,True
12,rsi_14,0.9818356237476514,True
12,macd,1.0,True
12,atr_14,0.9985241444294967,True
12,volatility_20d,0.9976443074547735,True
12,downside_volatility_20d,0.9977748639090873,True
12,drawdown_60d,0.9918998234649683,True
12,liquidity_20d,0.9977748639090873,True
12,beta_60d,0.9917408851727603,True
12,roe_pit,0.0,False
12,revenue_growth_yoy_pit,0.0,False
12,policy_rate_pit,0.0,False
13,return_5d,0.9995304340938792,True
13,return_20d,0.9980764770110716,True
13,return_60d,0.9928320481559638,True
13,return_120d,0.9831182570618752,True
13,sma_ratio_20,0.9981783105810736,True
13,ema_ratio_20,1.0,True
13,rsi_14,0.9826656634174215,True
13,macd,1.0,True
13,atr_14,0.9987610248983079,True
13,volatility_20d,0.9980764770110716,True
13,downside_volatility_20d,0.9981783105810736,True
13,drawdown_60d,0.9929847985109669,True
13,liquidity_20d,0.9981783105810736,True
13,beta_60d,0.9928320481559638,True
13,roe_pit,0.0,False
13,revenue_growth_yoy_pit,0.0,False
13,policy_rate_pit,0.0,False
14,return_5d,0.9996107720252265,True
14,return_20d,0.9982964224872232,True
14,return_60d,0.9940769656012726,True
14,return_120d,0.9850006205083656,True
14,sma_ratio_20,0.9983866782494895,True
14,ema_ratio_20,1.0,True
14,rsi_14,0.9818867967101774,True
14,macd,1.0,True
14,atr_14,0.9989225718379457,True
14,volatility_20d,0.9982964224872232,True
14,downside_volatility_20d,0.9983866782494895,True
14,drawdown_60d,0.9942067082595304,True
14,liquidity_20d,0.9983866782494895,True
14,beta_60d,0.9940769656012726,True
14,roe_pit,0.0,False
14,revenue_growth_yoy_pit,0.0,False
14,policy_rate_pit,0.0,False
15,return_5d,0.9996320844960407,True
15,return_20d,0.9985283379841626,True
15,return_60d,0.9949906889076305,True
15,return_120d,0.9869644706827946,True
15,sma_ratio_20,0.9986019210849545,True
15,ema_ratio_20,1.0,True
15,rsi_14,0.9820740245993966,True
15,macd,1.0,True
15,atr_14,0.9990434196897057,True
15,volatility_20d,0.9985283379841626,True
15,downside_volatility_20d,0.9986019210849545,True
15,drawdown_60d,0.9950869129625123,True
15,liquidity_20d,0.9986019210849545,True
15,beta_60d,0.9949906889076305,True
15,roe_pit,0.0,False
15,revenue_growth_yoy_pit,0.0,False
15,policy_rate_pit,0.0,False
16,return_5d,0.9996338461365134,True
16,return_20d,0.9985353845460537,True
16,return_60d,0.9954315264109598,True
16,return_120d,0.9885985320046642,True
16,sma_ratio_20,0.998608615318751,True
16,ema_ratio_20,1.0,True
16,rsi_14,0.983094957779643,True
16,macd,1.0,True
16,atr_14,0.9990479999549349,True
16,volatility_20d,0.9985353845460537,True
16,downside_volatility_20d,0.998608615318751,True
16,drawdown_60d,0.9955216565927412,True
16,liquidity_20d,0.998608615318751,True
16,beta_60d,0.9954315264109598,True
16,roe_pit,0.0,False
16,revenue_growth_yoy_pit,0.0,False
16,policy_rate_pit,0.0,False
17,return_5d,0.9996339884002478,True
17,return_20d,0.998535953600991,True
17,return_60d,0.9956078608029731,True
17,return_120d,0.9899994369052312,True
17,sma_ratio_20,0.9986091559209415,True
17,ema_ratio_20,1.0,True
17,rsi_14,0.9839799538262289,True
17,macd,1.0,True
17,atr_14,0.9990483698406442,True
17,volatility_20d,0.998535953600991,True
17,downside_volatility_20d,0.9986091559209415,True
17,drawdown_60d,0.9956810631229236,True
17,liquidity_20d,0.9986091559209415,True
17,beta_60d,0.9956078608029731,True
17,roe_pit,0.0,False
17,revenue_growth_yoy_pit,0.0,False
17,policy_rate_pit,0.0,False
18,return_5d,0.9996326251476564,True
18,return_20d,0.9985305005906258,True
18,return_60d,0.9955915017718772,True
18,return_120d,0.9907251979585262,True
18,sma_ratio_20,0.9986039755610945,True
18,ema_ratio_20,1.0,True
18,rsi_14,0.9851467521237093,True
18,macd,1.0,True
18,atr_14,0.9990448253839067,True
18,volatility_20d,0.9985305005906258,True
18,downside_volatility_20d,0.9986039755610945,True
18,drawdown_60d,0.9956649767423459,True
18,liquidity_20d,0.9986039755610945,True
18,beta_60d,0.9955915017718772,True
18,roe_pit,0.0,False
