sensitivity_factor,fold,depth_p,shots,seed,cardinality,candidate_size,qubit_budget,uniform_probability_noise_proxy,depolarizing_probability,readout_error_probability,noise_model,transaction_cost_bps,energy,optimality_gap,feasibility_rate,runtime_seconds,net_cumulative_return
core_partial_factorial,0,1,1024,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.05486624627413408,0.0,0.8681640625,0.08218890000716783,0.018715852752278606
core_partial_factorial,0,1,1024,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.05486624627413408,0.0,0.8681640625,0.08218890000716783,0.01769713689952712
core_partial_factorial,0,1,1024,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.05486624627413408,0.0,0.8681640625,0.08218890000716783,0.016169063120397897
core_partial_factorial,0,1,1024,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.047650423568745964,0.13151660985159094,0.8642578125,0.07037560001481324,0.0090475908712353
core_partial_factorial,0,1,1024,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.047650423568745964,0.13151660985159094,0.8642578125,0.07037560001481324,0.008038543280363575
core_partial_factorial,0,1,1024,23,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.047650423568745964,0.13151660985159094,0.8642578125,0.07037560001481324,0.006524971894057874
core_partial_factorial,0,1,1024,11,4,7,8,0.0,0.0,0.0,ideal,0,-0.04450548340937323,0.0,1.0,0.06616560000111349,-0.0036309735132404874
core_partial_factorial,0,1,1024,11,4,7,8,0.0,0.0,0.0,ideal,10,-0.04450548340937323,0.0,1.0,0.06616560000111349,-0.004627342539726742
core_partial_factorial,0,1,1024,11,4,7,8,0.0,0.0,0.0,ideal,25,-0.04450548340937323,0.0,1.0,0.06616560000111349,-0.006121896079456679
core_partial_factorial,0,1,1024,23,4,7,8,0.0,0.0,0.0,ideal,0,-0.0372729002660412,0.16250993336354314,1.0,0.052182899991748855,-0.09906836154006526
core_partial_factorial,0,1,1024,23,4,7,8,0.0,0.0,0.0,ideal,10,-0.0372729002660412,0.16250993336354314,1.0,0.052182899991748855,-0.09996929317852521
core_partial_factorial,0,1,1024,23,4,7,8,0.0,0.0,0.0,ideal,25,-0.0372729002660412,0.16250993336354314,1.0,0.052182899991748855,-0.10132069063621496
core_partial_factorial,0,1,1024,11,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.04275249952056319,0.03938804287656514,0.8662109375,0.06637700001010671,-0.021155072889229798
core_partial_factorial,0,1,1024,11,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.04275249952056319,0.03938804287656514,0.8662109375,0.06637700001010671,-0.022133917816340776
core_partial_factorial,0,1,1024,11,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.04275249952056319,0.03938804287656514,0.8662109375,0.06637700001010671,-0.023602185207006188
core_partial_factorial,0,1,1024,23,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.04275249952056319,0.03938804287656514,0.865234375,0.08340200001839548,-0.021155072889229798
core_partial_factorial,0,1,1024,23,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.04275249952056319,0.03938804287656514,0.865234375,0.08340200001839548,-0.022133917816340776
core_partial_factorial,0,1,1024,23,4,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,25,-0.04275249952056319,0.03938804287656514,0.865234375,0.08340200001839548,-0.023602185207006188
core_partial_factorial,0,1,2048,11,3,7,8,0.0,0.0,0.0,ideal,0,-0.05486624627413408,0.0,1.0,0.0830366000009235,0.018715852752278606
core_partial_factorial,0,1,2048,11,3,7,8,0.0,0.0,0.0,ideal,10,-0.05486624627413408,0.0,1.0,0.0830366000009235,0.01769713689952712
core_partial_factorial,0,1,2048,11,3,7,8,0.0,0.0,0.0,ideal,25,-0.05486624627413408,0.0,1.0,0.0830366000009235,0.016169063120397897
core_partial_factorial,0,1,2048,23,3,7,8,0.0,0.0,0.0,ideal,0,-0.047650423568745964,0.13151660985159094,1.0,0.08900949999224395,0.0090475908712353
core_partial_factorial,0,1,2048,23,3,7,8,0.0,0.0,0.0,ideal,10,-0.047650423568745964,0.13151660985159094,1.0,0.08900949999224395,0.008038543280363575
core_partial_factorial,0,1,2048,23,3,7,8,0.0,0.0,0.0,ideal,25,-0.047650423568745964,0.13151660985159094,1.0,0.08900949999224395,0.006524971894057874
core_partial_factorial,0,1,2048,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,0,-0.050321567156926025,0.08283196729767432,0.86083984375,0.0901906999933999,-0.017166934811846946
core_partial_factorial,0,1,2048,11,3,7,8,0.0,0.02,0.02,phenomenological_depolarizing_plus_readout_sampling,10,-0.050321567156926025,0.08283196729767432,0.86083984375,0.0901906999933999,-0.01814976787703504
