fold,configuration,selector,solver,selected_tickers,objective,optimality_gap,feasibility_rate,turnover,transaction_cost,covariance_method,expected_return_source
4,adaptive_simulated_annealing,adaptive,simulated_annealing,HPG|DXG|CSV|CTD,0.05742710544250136,0.0,1.0,1.9999999999999791,0.004312748399558505,ewma,validation_blend_calibrated
5,liquidity_topk_exact,liquidity,exact,VPB|HAG|NVL|MWG,0.03976047282381181,0.0,1.0,1.0980098873072863,0.0024833293902086335,ewma,ewma
5,ewma_topk_exact,ewma,exact,TNC|CKG|VPD|EIB,-0.14676605923901104,0.0,1.0,1.2000000000225703,0.0027050336096247603,ewma,ewma
5,xgboost_topk_exact,xgboost,exact,DHM|SHI|CLL|VPI,-0.039253415549734764,0.0,1.0,2.0,0.004446082405339946,ewma,xgboost_calibrated
5,adaptive_exact,adaptive,exact,VPI|HPG|SHI|DPM,-0.044526783010368776,0.0,1.0,1.1999999999983013,0.002555483358135829,ewma,validation_blend_calibrated
5,xgboost_penalty_qaoa,xgboost,penalty_qaoa_ideal_statevector,EVG|TCO|BWE|TMT,-0.0017317916486394216,0.9558817589414329,0.3310546875,2.0,0.00453227875084374,ewma,xgboost_calibrated
5,xgboost_xy_qaoa,xgboost,xy_qaoa_dicke_ideal_statevector,DHM|SHI|CLL|VPI,-0.039253415549734764,0.0,1.0,2.0,0.004450470442786528,ewma,xgboost_calibrated
5,adaptive_penalty_qaoa,adaptive,penalty_qaoa_ideal_statevector,BVH|HCM|ANV|CTD,0.025505117078806233,1.572803947486935,0.32421875,1.876374259637391,0.004214109773702211,ewma,validation_blend_calibrated
5,adaptive_xy_qaoa,adaptive,xy_qaoa_dicke_ideal_statevector,VPI|HPG|SHI|DPM,-0.044526783010368776,0.0,1.0,1.2000000000090196,0.0025723396567329114,ewma,validation_blend_calibrated
5,adaptive_simulated_annealing,adaptive,simulated_annealing,VPI|HPG|SHI|DPM,-0.044526783010368776,0.0,1.0,1.1999999999983013,0.002555483358135829,ewma,validation_blend_calibrated
6,liquidity_topk_exact,liquidity,exact,HPG|DGC|VPB|HAG,0.25210036993019475,0.0,1.0,1.5855805005145829,0.003621954590419075,ewma,ewma
6,ewma_topk_exact,ewma,exact,EIB|SRC|STG|CTF,-0.17614911895685334,0.0,1.0,1.8722092205408802,0.0042748824267124985,ewma,ewma
6,xgboost_topk_exact,xgboost,exact,MWG|DIG|TNC|REE,0.13224966712686823,0.0,1.0,1.999999999999973,0.00437090180939733,ewma,xgboost_calibrated
6,adaptive_exact,adaptive,exact,VPI|REE|HPX|SHI,0.05158276928786634,0.0,1.0,1.5743831582400316,0.0034730553258555466,ewma,validation_blend_calibrated
6,xgboost_penalty_qaoa,xgboost,penalty_qaoa_ideal_statevector,KBC|DPG|FRT|CKG,0.23700262575018077,0.7920848566070874,0.3193359375,2.0,0.004546941932334487,ewma,xgboost_calibrated
6,xgboost_xy_qaoa,xgboost,xy_qaoa_dicke_ideal_statevector,MWG|CKG|TNC|REE,0.14504288892650327,0.09673537996330579,1.0,2.0,0.004371778580394528,ewma,xgboost_calibrated
6,adaptive_penalty_qaoa,adaptive,penalty_qaoa_ideal_statevector,VHM|MWG|BVH|DPM,0.1487139118341406,1.883015275940974,0.296875,1.1999999999998188,0.0027094843219862682,ewma,validation_blend_calibrated
6,adaptive_xy_qaoa,adaptive,xy_qaoa_dicke_ideal_statevector,VPI|VHM|HPX|SHI,0.052085870723924226,0.009753284730420102,1.0,1.5743831582278787,0.0034758900082968243,ewma,validation_blend_calibrated
6,adaptive_simulated_annealing,adaptive,simulated_annealing,VPI|REE|HPX|SHI,0.05158276928786634,0.0,1.0,1.5743831582400316,0.0034730553258555466,ewma,validation_blend_calibrated
7,liquidity_topk_exact,liquidity,exact,STB|SSI|VPB|MBB,0.14702135292901214,0.0,1.0,1.7000000000035287,0.0038748688206916627,ewma,ewma
7,ewma_topk_exact,ewma,exact,VIP|TNC|NHH|STG,-0.09224426402333441,0.0,1.0,1.5069025698351302,0.0034194800677379918,ewma,ewma
7,xgboost_topk_exact,xgboost,exact,NVL|PDR|DIG|DGC,0.1330690085213092,0.0,1.0,1.916938112778513,0.004374489307559477,ewma,xgboost_calibrated
7,adaptive_exact,adaptive,exact,KDC|CTF|FIR|SHI,0.15266565727437606,0.0,1.0,1.464951656456201,0.003203183983614732,ewma,validation_blend_calibrated
7,xgboost_penalty_qaoa,xgboost,penalty_qaoa_ideal_statevector,IDI|ANV|VPG|HPX,0.20733157353527235,0.5580755867848292,0.3193359375,2.0,0.004551965245923726,ewma,xgboost_calibrated
7,xgboost_xy_qaoa,xgboost,xy_qaoa_dicke_ideal_statevector,NVL|PDR|VPG|HPX,0.16981000370201543,0.27610482402103825,1.0,1.999999999999634,0.004560765180022095,ewma,xgboost_calibrated
7,adaptive_penalty_qaoa,adaptive,penalty_qaoa_ideal_statevector,SSB|VPI|REE|BVH,0.22262825087153942,0.45827329371769493,0.318359375,1.7000000000000326,0.0038941737012156605,ewma,validation_blend_calibrated
7,adaptive_xy_qaoa,adaptive,xy_qaoa_dicke_ideal_statevector,KDC|CTF|FIR|SHI,0.15266565727437606,0.0,1.0,1.2561730936879147,0.00273874404347487,ewma,validation_blend_calibrated
7,adaptive_simulated_annealing,adaptive,simulated_annealing,KDC|CTF|FIR|SHI,0.15266565727437606,0.0,1.0,1.464951656456201,0.003203183983614732,ewma,validation_blend_calibrated
8,liquidity_topk_exact,liquidity,exact,HPG|STB|VPB|SHB,0.12097132384910061,0.0,1.0,0.8820881722522521,0.001973391705121517,ewma,ewma
8,ewma_topk_exact,ewma,exact,MCG|CTF|NNC|OCB,-0.15844560526641324,0.0,1.0,1.9999999999999947,0.004540568232454573,ewma,ewma
8,xgboost_topk_exact,xgboost,exact,HPX|NVL|HTN|CTG,0.07757421821671279,0.0,1.0,1.3958808928195234,0.0031814968977925493,ewma,xgboost_calibrated
8,adaptive_exact,adaptive,exact,FIR|SHI|OCB|PNJ,0.0944342907123005,0.0,1.0,0.7146964251400902,0.0015447322801397298,ewma,validation_blend_calibrated
8,xgboost_penalty_qaoa,xgboost,penalty_qaoa_ideal_statevector,NVL|DIG|LPB|GIL,0.22361246526976003,1.8825616346295555,0.310546875,1.9999999999960212,0.004537445665231822,ewma,xgboost_calibrated
8,xgboost_xy_qaoa,xgboost,xy_qaoa_dicke_ideal_statevector,HPX|NVL|HTN|GIL,0.11330391851777383,0.4605873075096328,1.0,1.3105857878196483,0.003000554751568697,ewma,xgboost_calibrated
8,adaptive_penalty_qaoa,adaptive,penalty_qaoa_ideal_statevector,LPB|BVH|SSB|CTF,0.15108564742867125,0.5999023902065667,0.30078125,0.9055441183724133,0.0020519486055206072,ewma,validation_blend_calibrated
8,adaptive_xy_qaoa,adaptive,xy_qaoa_dicke_ideal_statevector,FIR|SHI|BVH|OCB,0.10113083273895646,0.07091218641104048,1.0,0.5624649308113641,0.0012064588011269268,ewma,validation_blend_calibrated
8,adaptive_simulated_annealing,adaptive,simulated_annealing,FIR|SHI|OCB|PNJ,0.0944342907123005,0.0,1.0,0.7146964251400902,0.0015447322801397298,ewma,validation_blend_calibrated
9,liquidity_topk_exact,liquidity,exact,HPG|VPB|STB|VCG,-0.06201457362427422,0.0,1.0,0.7999999999864958,0.0018238688833408076,ewma,ewma
9,ewma_topk_exact,ewma,exact,ST8|KSB|SRC|VIP,-0.19260075615363392,0.0,1.0,1.9999999999999896,0.004562586123153359,ewma,ewma
9,xgboost_topk_exact,xgboost,exact,VIP|VTO|NVL|VNG,-0.1695660860730527,0.0,1.0,1.4579709968343841,0.0033245739172814174,ewma,xgboost_calibrated
9,adaptive_exact,adaptive,exact,SHB|OCB|NVL|SHI,-0.12963129919984917,0.0,1.0,0.8974792038081381,0.0019456984165490954,ewma,validation_blend_calibrated
9,xgboost_penalty_qaoa,xgboost,penalty_qaoa_ideal_statevector,HII|TCH|LCG|PVT,-0.08164957998202028,0.5184793028285009,0.330078125,1.999999999996128,0.004457841112386439,ewma,xgboost_calibrated
9,xgboost_xy_qaoa,xgboost,xy_qaoa_dicke_ideal_statevector,VIP|VTO|NVL|VNG,-0.1695660860730527,0.0,1.0,1.439882929939959,0.0032819107242271694,ewma,xgboost_calibrated
9,adaptive_penalty_qaoa,adaptive,penalty_qaoa_ideal_statevector,HAG|PDR|SSB|BVH,-0.04205061265920694,0.6756137374272996,0.3310546875,1.599999999999481,0.0036567184930821612,ewma,validation_blend_calibrated
9,adaptive_xy_qaoa,adaptive,xy_qaoa_dicke_ideal_statevector,SHB|OCB|NVL|SHI,-0.12963129919984917,0.0,1.0,0.8965765579014022,0.00195192309780798,ewma,validation_blend_calibrated
