fold,decision_time,ticker,signal,xgboost_signal,technical_factor_signal,xgboost_expected_return,optimization_expected_return,ewma_signal,liquidity_20d,adv_20d,volatility_20d,signal_z,liquidity_z,risk_z,base_score,selected_candidate,decision_reason,eligible_count,selected_m,signal_dispersion,relative_signal_dispersion,average_abs_correlation,candidate_size_reason,aur_eligible,liquidity_floor,risk_ceiling,minimum_expected_return,expected_return_column,expected_return_filter_status,force_defensive_exposure,correlation_cluster,cluster_cap,sector_candidate_cap
0,2022-04-29,GEX,0.9608843537414966,0.6123854517936707,0.15697278911564624,0.11906978837943355,0.09010307567405557,-0.007728436357550117,27.12142137829686,600735982702.9065,0.04359353238848279,1.5399975384053306,2.0315552633627387,0.9663992209172244,1.1820834744015074,True,selected_by_signal_liquidity_risk_and_correlation,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,GEX,2,
0,2022-04-29,SHB,0.9659863945578231,0.613855242729187,0.21496598639455783,0.11981884999743653,0.09042002563682248,-0.006816163184313511,25.940255367612775,184378282561.85928,0.031996946733735245,1.5582763737265997,1.3952385097058921,-0.08398152878899683,1.1242412572060516,True,selected_by_signal_liquidity_risk_and_correlation,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,SHB,2,
0,2022-04-29,PVD,0.9608843537414966,0.6123854517936707,0.12670068027210885,0.11906978837943355,0.09010307567405557,-0.008212053102655771,25.88738426902193,174883219157.98642,0.0406294414187216,1.5399975384053306,1.366755836217757,0.6979215682953435,0.9896753227940458,True,selected_by_signal_liquidity_risk_and_correlation,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,PVD,2,
0,2022-04-29,NKG,0.8231292517006803,0.5907768607139587,0.4574829931972789,0.10805722475163643,0.08154542667934878,-0.004217308040569603,26.089851891575897,214130588303.00275,0.03151077583956141,1.0464689847310586,1.4758290224920094,-0.12801729617011326,0.9543303461901438,True,selected_by_signal_liquidity_risk_and_correlation,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,HPG,2,
0,2022-04-29,SBT,0.9132653061224489,0.605449378490448,0.2785714285714286,0.11553490041302095,0.08714487602156433,-0.006078093440278021,24.887029857423503,64313143569.87154,0.02861055224325576,1.3693950754068165,0.8278457541997722,-0.39071005127049546,0.8961105518232212,True,selected_by_signal_liquidity_risk_and_correlation,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,LSS,2,
0,2022-04-29,SZC,0.9795918367346939,0.6168733835220337,0.2547619047619048,0.12135700986155096,0.09126522553753427,-0.005851020934018142,24.869905636696316,63221207067.6082,0.037279110990484594,1.607019934583318,0.8186206085018226,0.3944596104617071,0.8701562452397091,True,selected_by_signal_liquidity_risk_and_correlation,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,SZC,2,
0,2022-04-29,CII,0.891156462585034,0.6046867370605469,0.23503401360544218,0.11514622920160328,0.08577142618290767,-0.006965465267642157,25.872512671840106,172301669828.38654,0.04231941884331431,1.2901867890146497,1.3587442219697738,0.8509941887268203,0.8639860649862576,True,selected_by_signal_liquidity_risk_and_correlation,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,CII,2,
0,2022-04-29,KSB,0.8741496598639455,0.6036127209663391,0.3297619047619048,0.1145988695643595,0.08471492630701795,-0.005752656885672231,25.243095289653116,91819937000.0,0.03261722510135174,1.2292573379437517,1.0196650225129105,-0.02779874566637708,0.8527555049069758,True,selected_by_signal_liquidity_risk_and_correlation,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,C32,2,
0,2022-04-29,DIG,0.8656462585034014,0.6034293174743652,0.19268707482993197,0.11450540013743238,0.0841866763690731,-0.007214788094108611,27.030977683610885,548787800449.33203,0.05004355838458673,1.198792612408303,1.9828315127038636,1.550621451763133,0.9409148566452036,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,False,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,INELIGIBLE,2,
0,2022-04-29,AAA,0.8741496598639455,0.6036127209663391,0.23775510204081635,0.1145988695643595,0.08471492630701795,-0.006718586130522919,25.082809433555884,78221425750.0,0.03273845087505711,1.2292573379437517,0.9333159617658701,-0.016818512099418738,0.820886298610468,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,AAA,2,
0,2022-04-29,VCG,0.7959183673469388,0.5814854502677917,0.08928571428571427,0.1033219669852723,0.0798550268779252,-0.010344029783482478,25.804946882567844,161044551744.5705,0.03481000635631877,0.9489818630176221,1.322345237153839,0.17081619903427153,0.8167911483557517,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,VCG,2,
0,2022-04-29,KBC,0.7312925170068028,0.5661876797676086,0.35068027210884356,0.09552563864645353,0.07584032734954424,-0.00496297734155521,26.209394993871808,241321279807.5,0.03585686297857552,0.7174499489482107,1.5402291813917284,0.2656370434153763,0.7862146365540826,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,KBC,2,
0,2022-04-29,LCG,0.891156462585034,0.6046867370605469,0.26700680272108845,0.11514622920160328,0.08577142618290767,-0.006234076817745004,25.54351398539695,123995856341.07724,0.04363717257342551,1.2901867890146497,1.181506328040172,0.9703520059474185,0.7840491295278074,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,FCN,2,
0,2022-04-29,FCN,0.891156462585034,0.6046867370605469,0.3202380952380952,0.11514622920160328,0.08577142618290767,-0.006344751356704273,25.51235621582025,120191989750.0,0.043755719602820306,1.2901867890146497,1.1647210407825834,0.9810896076276315,0.7765636387356194,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,FCN,2,
0,2022-04-29,POW,0.717687074829932,0.5637615323066711,0.35408163265306125,0.09428918120295654,0.07499512744883244,-0.006045689638185331,25.792169716528768,158999948699.586,0.0297303734563671,0.6687063880914924,1.315461933078563,-0.28928031320933795,0.7712862787954946,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,POW,2,
0,2022-04-29,DXG,0.7142857142857143,0.5621845126152039,0.5741496598639456,0.09348547171396177,0.0747838274736545,-0.0016389581565798936,26.76267370649019,419644477027.96466,0.04348221616276171,0.6565204978773128,1.8382910212146244,0.9563165617528429,0.7625625723131172,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,DXG,2,
0,2022-04-29,HSG,0.6632653061224489,0.5456064939498901,0.37023809523809526,0.08503667999491321,0.07161432784598531,-0.0059935483693386565,25.95303964456727,186750557188.6126,0.027211275874798664,0.4737321446646193,1.4021256445675045,-0.5174519220852426,0.7578546217772607,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,HPG,2,
0,2022-04-29,SSI,0.6326530612244898,0.5359237790107727,0.2615646258503401,0.08010199850811478,0.0697126280693838,-0.007015589441823079,26.573519679378034,347322534485.3584,0.032742283428272,0.3640591327370036,1.7363901238095105,-0.01647137198085352,0.7558309022252581,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,AGR,2,
0,2022-04-29,PVT,0.7721088435374149,0.5763485431671143,0.3202380952380952,0.10070400285759684,0.07837592705167958,-0.005824880990931541,25.128565401796223,81883668637.34888,0.03020100713632576,0.863680631518365,0.9579655782531038,-0.2466518558073444,0.717757983367034,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,GSP,2,
0,2022-04-29,HAG,0.8129251700680272,0.5852805972099304,0.39234693877551013,0.10525611887064817,0.08091152675381494,-0.00359632502025152,26.00830331076197,197361579200.0,0.0469387647467377,1.0099113140885199,1.431897240050363,1.2693994122680978,0.7147186478128202,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,HAG,2,
0,2022-04-29,APG,0.9982993197278912,0.6340069770812988,0.09727891156462586,0.13008894377377056,0.09242737540101298,-0.010879388941895904,24.25295027977947,34113201250.0,0.042419137477683305,1.6740423307613057,0.4862549407518987,0.8600263760487242,0.7108022051603782,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,APG,2,
0,2022-04-29,GVR,0.8333333333333334,0.5938229560852051,0.37329931972789115,0.1096096313369822,0.08217932660488261,-0.004794480366897086,25.348021786040874,101977882250.0,0.04032066244565666,1.0830266553735974,1.0761909358477995,0.6699533801684622,0.7093844826708995,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,BCE,2,
0,2022-04-29,HT1,0.7806122448979592,0.5781852006912231,0.36037414965986386,0.10164003370625829,0.07890417698962444,-0.005928689096456402,24.823497432383725,60354263750.0,0.029771792981713834,0.8941453570538143,0.7936196199497316,-0.28552866825267215,0.6782543100418326,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,HT1,2,
0,2022-04-29,ASM,0.8367346938775511,0.5967731475830078,0.4959183673469388,0.11111316164415908,0.08239062658006055,-0.0010383369951974192,25.879406226618272,173493544233.54767,0.05102048806599571,1.0952125455877768,1.3624579119658633,1.639108542853477,0.6690790059951414,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,False,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,INELIGIBLE,2,
0,2022-04-29,TSC,0.8741496598639455,0.6036127209663391,0.15697278911564622,0.1145988695643595,0.08471492630701795,-0.007843434371184739,25.185679593065057,86696521000.0,0.04576226282393032,1.2292573379437517,0.9887340870378024,1.1628357211524019,0.6633345074678711,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,TSC,2,
0,2022-04-29,LHG,0.9132653061224489,0.605449378490448,0.2639455782312925,0.11553490041302095,0.08714487602156433,-0.004946555357878337,24.968181519309457,69749878750.0,0.046936623811935294,1.3693950754068165,0.8715637088124535,1.2692054934052726,0.6624245042362944,False,outside_qubit_budget,269,8,0.27912286131116326,0.5161139699706305,0.2299669642332347,full_budget_supported,True,21.556967223638562,0.04695926680967176,0.0,optimization_expected_return,enforced,False,LHG,2,
