config_id,fold,method,reduction_objective,candidate_mean_abs_correlation,candidate_turnover,portfolio_turnover,risk_on,candidate_jaccard
B00_current,45,AUR,5.606802338793191,0.09293533492948362,0.375,0.55,True,1.0
B00_current,45,QAUR,5.606802338793191,0.09293533492948362,0.375,0.55,True,1.0
B00_current,46,AUR,5.520015001926962,0.07035178502608526,0.5,0.8500000000000002,True,0.7777777777777778
B00_current,46,QAUR,5.524051392774787,0.0633745025804329,0.375,0.8500000000000002,True,0.7777777777777778
B00_current,47,AUR,5.492012934656109,0.09624538047996094,0.375,0.8000000000000007,True,0.7777777777777778
B00_current,47,QAUR,5.612382230696195,0.0789706318942163,0.25,0.8,True,0.7777777777777778
B00_current,48,AUR,5.250292672473979,0.09986046011083394,0.625,1.0,True,0.7777777777777778
B00_current,48,QAUR,5.394545417949926,0.11942005381340194,0.5,0.8500000000000001,True,0.7777777777777778
B00_current,49,AUR,5.535321843117232,0.1266364296559335,0.625,0.7999999999999998,True,0.7777777777777778
B00_current,49,QAUR,5.67425251127764,0.12286311410413966,0.5,0.8500000000000001,True,0.7777777777777778
B00_current,50,AUR,5.917983618817575,0.11840557569701983,0.25,0.6499999999999999,True,1.0
B00_current,50,QAUR,5.917983618817575,0.11840557569701983,0.25,0.7499999999999998,True,1.0
B00_current,51,AUR,6.162517614103111,0.10981513782031764,0.125,0.5499999999999998,True,1.0
B00_current,51,QAUR,6.162517614103111,0.10981513782031764,0.125,0.5499999999999998,True,1.0
C1_EW_X,45,AUR,5.606802338793191,0.09293533492948362,0.375,0.5000000000000001,True,1.0
C1_EW_X,45,QAUR,5.606802338793191,0.09293533492948362,0.375,0.5000000000000001,True,1.0
C1_EW_X,46,AUR,5.520015001926962,0.07035178502608526,0.5,0.7500000000000001,True,0.7777777777777778
C1_EW_X,46,QAUR,5.524051392774787,0.0633745025804329,0.375,0.7500000000000001,True,0.7777777777777778
C1_EW_X,47,AUR,5.492012934656109,0.09624538047996094,0.375,0.5000000000000001,True,0.7777777777777778
C1_EW_X,47,QAUR,5.612382230696195,0.0789706318942163,0.25,0.5000000000000001,True,0.7777777777777778
C1_EW_X,48,AUR,5.250292672473979,0.09986046011083394,0.625,1.0000000000000002,True,0.7777777777777778
C1_EW_X,48,QAUR,5.394545417949926,0.11942005381340194,0.5,0.7500000000000001,True,0.7777777777777778
C1_EW_X,49,AUR,5.535321843117232,0.1266364296559335,0.625,0.5000000000000001,True,0.7777777777777778
C1_EW_X,49,QAUR,5.67425251127764,0.12286311410413966,0.5,0.7500000000000001,True,0.7777777777777778
C1_EW_X,50,AUR,5.917983618817575,0.11840557569701983,0.25,0.25000000000000006,True,1.0
C1_EW_X,50,QAUR,5.917983618817575,0.11840557569701983,0.25,0.25000000000000006,True,1.0
C1_EW_X,51,AUR,6.162517614103111,0.10981513782031764,0.125,0.5000000000000001,True,1.0
C1_EW_X,51,QAUR,6.162517614103111,0.10981513782031764,0.125,0.5000000000000001,True,1.0
C1_EW_M,45,AUR,5.810944610345185,0.11140276074298121,0.125,0.5000000000000001,True,1.0
C1_EW_M,45,QAUR,5.810944610345185,0.11140276074298121,0.125,0.5000000000000001,True,1.0
C1_EW_M,46,AUR,5.557736715852074,0.09187974433854515,0.25,0.5000000000000001,True,1.0
C1_EW_M,46,QAUR,5.557736715852074,0.09187974433854515,0.25,0.5000000000000001,True,1.0
C1_EW_M,47,AUR,5.559508586551786,0.0742826476600766,0.5,1.0000000000000002,True,1.0
C1_EW_M,47,QAUR,5.559508586551786,0.0742826476600766,0.5,1.0000000000000002,True,1.0
C1_EW_M,48,AUR,5.402721534700639,0.10319468998786678,0.375,0.25000000000000006,True,1.0
C1_EW_M,48,QAUR,5.402721534700639,0.10319468998786678,0.375,0.25000000000000006,True,1.0
C1_EW_M,49,AUR,6.063400751772992,0.1344653908503052,0.125,0.5000000000000001,True,1.0
C1_EW_M,49,QAUR,6.063400751772992,0.1344653908503052,0.125,0.5000000000000001,True,1.0
C1_EW_M,50,AUR,5.939861352359101,0.12123770382779402,0.25,0.25000000000000006,True,1.0
C1_EW_M,50,QAUR,5.939861352359101,0.12123770382779402,0.25,0.25000000000000006,True,1.0
C1_EW_M,51,AUR,6.154820222331107,0.11256420631031862,0.125,0.25000000000000006,True,1.0
C1_EW_M,51,QAUR,6.154820222331107,0.11256420631031862,0.125,0.25000000000000006,True,1.0
C1_IV_X,45,AUR,5.606802338793191,0.09293533492948362,0.375,0.46099400523937467,True,1.0
C1_IV_X,45,QAUR,5.606802338793191,0.09293533492948362,0.375,0.46099400523937467,True,1.0
C1_IV_X,46,AUR,5.520015001926962,0.07035178502608526,0.5,0.7000000000000001,True,0.7777777777777778
C1_IV_X,46,QAUR,5.524051392774787,0.0633745025804329,0.375,0.7000000000000001,True,0.7777777777777778
C1_IV_X,47,AUR,5.492012934656109,0.09624538047996094,0.375,0.4552778903989942,True,0.7777777777777778
C1_IV_X,47,QAUR,5.612382230696195,0.0789706318942163,0.25,0.4661904198132596,True,0.7777777777777778
C1_IV_X,48,AUR,5.250292672473979,0.09986046011083394,0.625,1.0,True,0.7777777777777778
C1_IV_X,48,QAUR,5.394545417949926,0.11942005381340194,0.5,0.7814814963815222,True,0.7777777777777778
C1_IV_X,49,AUR,5.535321843117232,0.1266364296559335,0.625,0.46397299346919724,True,0.7777777777777778
C1_IV_X,49,QAUR,5.67425251127764,0.12286311410413966,0.5,0.7072831613395487,True,0.7777777777777778
C1_IV_X,50,AUR,5.917983618817575,0.11840557569701983,0.25,0.2940201288821905,True,1.0
C1_IV_X,50,QAUR,5.917983618817575,0.11840557569701983,0.25,0.22748261822366317,True,1.0
C1_IV_X,51,AUR,6.162517614103111,0.10981513782031764,0.125,0.5259118369633273,True,1.0
C1_IV_X,51,QAUR,6.162517614103111,0.10981513782031764,0.125,0.5259118369633273,True,1.0
C1_IV_M,45,AUR,5.810944610345185,0.11140276074298121,0.125,0.49742272743708005,True,1.0
C1_IV_M,45,QAUR,5.810944610345185,0.11140276074298121,0.125,0.49742272743708005,True,1.0
C1_IV_M,46,AUR,5.557736715852074,0.09187974433854515,0.25,0.4770172186365891,True,1.0
C1_IV_M,46,QAUR,5.557736715852074,0.09187974433854515,0.25,0.4770172186365891,True,1.0
C1_IV_M,47,AUR,5.559508586551786,0.0742826476600766,0.5,1.0000000000000002,True,1.0
C1_IV_M,47,QAUR,5.559508586551786,0.0742826476600766,0.5,1.0000000000000002,True,1.0
C1_IV_M,48,AUR,5.402721534700639,0.10319468998786678,0.375,0.3,True,1.0
C1_IV_M,48,QAUR,5.402721534700639,0.10319468998786678,0.375,0.3,True,1.0
C1_IV_M,49,AUR,6.063400751772992,0.1344653908503052,0.125,0.49184366525997675,True,1.0
C1_IV_M,49,QAUR,6.063400751772992,0.1344653908503052,0.125,0.49184366525997675,True,1.0
C1_IV_M,50,AUR,5.939861352359101,0.12123770382779402,0.25,0.23531875391443807,True,1.0
C1_IV_M,50,QAUR,5.939861352359101,0.12123770382779402,0.25,0.23531875391443807,True,1.0
C1_IV_M,51,AUR,6.154820222331107,0.11256420631031862,0.125,0.2923850596572944,True,1.0
C1_IV_M,51,QAUR,6.154820222331107,0.11256420631031862,0.125,0.2923850596572944,True,1.0
C1_NMV_X,45,AUR,5.606802338793191,0.09293533492948362,0.375,0.6,True,1.0
C1_NMV_X,45,QAUR,5.606802338793191,0.09293533492948362,0.375,0.6,True,1.0
C1_NMV_X,46,AUR,5.520015001926962,0.07035178502608526,0.5,0.7000000000000001,True,0.7777777777777778
C1_NMV_X,46,QAUR,5.524051392774787,0.0633745025804329,0.375,0.7000000000000002,True,0.7777777777777778
C1_NMV_X,47,AUR,5.492012934656109,0.09624538047996094,0.375,0.7464408924878827,True,0.7777777777777778
C1_NMV_X,47,QAUR,5.612382230696195,0.0789706318942163,0.25,0.5999999999999999,True,0.7777777777777778
C1_NMV_X,48,AUR,5.250292672473979,0.09986046011083394,0.625,0.8535591075121167,True,0.7777777777777778
C1_NMV_X,48,QAUR,5.394545417949926,0.11942005381340194,0.5,0.7,True,0.7777777777777778
C1_NMV_X,49,AUR,5.535321843117232,0.1266364296559335,0.625,0.6,True,0.7777777777777778
