config_id,fold,method,fold_return
C1_NMVT_M,46,QAUR,0.008248825130470205
C1_NMVT_M,47,AUR,-0.040388161009306756
C1_NMVT_M,47,QAUR,-0.040388161009306756
C1_NMVT_M,48,AUR,0.08744331870063893
C1_NMVT_M,48,QAUR,0.08744331870063893
C1_NMVT_M,49,AUR,0.03165359471753737
C1_NMVT_M,49,QAUR,0.03165359471753737
C1_NMVT_M,50,AUR,-0.031625352278965346
C1_NMVT_M,50,QAUR,-0.031625352278965346
C1_NMVT_M,51,AUR,-0.02560123695402816
C1_NMVT_M,51,QAUR,-0.02560123695402816
C2_EW_X,45,AUR,0.01578414409456652
C2_EW_X,45,QAUR,0.032303498072679515
C2_EW_X,46,AUR,0.03748666657605915
C2_EW_X,46,QAUR,0.037061281545829106
C2_EW_X,47,AUR,-0.027858351471566123
C2_EW_X,47,QAUR,-0.027858351471566123
C2_EW_X,48,AUR,0.04801943029450384
C2_EW_X,48,QAUR,0.04801943029450384
C2_EW_X,49,AUR,0.017579293786788464
C2_EW_X,49,QAUR,0.017579293786788464
C2_EW_X,50,AUR,-0.01542906353168716
C2_EW_X,50,QAUR,-0.01542906353168716
C2_EW_X,51,AUR,-0.030776000284256866
C2_EW_X,51,QAUR,-0.030776000284256866
C2_EW_M,45,AUR,0.010167625350804954
C2_EW_M,45,QAUR,0.010167625350804954
C2_EW_M,46,AUR,0.011129505726132471
C2_EW_M,46,QAUR,0.011129505726132471
C2_EW_M,47,AUR,-0.0066005422764244814
C2_EW_M,47,QAUR,-0.0066005422764244814
C2_EW_M,48,AUR,0.051168679432740616
C2_EW_M,48,QAUR,0.051168679432740616
C2_EW_M,49,AUR,0.017393102283003836
C2_EW_M,49,QAUR,0.017393102283003836
C2_EW_M,50,AUR,-0.010636777896522842
C2_EW_M,50,QAUR,-0.010636777896522842
C2_EW_M,51,AUR,-0.035256971462703346
C2_EW_M,51,QAUR,-0.035256971462703346
C2_IV_X,45,AUR,0.033717873840728885
C2_IV_X,45,QAUR,0.047068599725227145
C2_IV_X,46,AUR,0.037934439285216115
C2_IV_X,46,QAUR,0.03771260663275444
C2_IV_X,47,AUR,-0.026918227939569772
C2_IV_X,47,QAUR,-0.026918227939569772
C2_IV_X,48,AUR,0.04681609971809264
C2_IV_X,48,QAUR,0.04681609971809264
C2_IV_X,49,AUR,0.016128024784864525
C2_IV_X,49,QAUR,0.016128024784864525
C2_IV_X,50,AUR,-0.014684793212163538
C2_IV_X,50,QAUR,-0.014684793212163538
C2_IV_X,51,AUR,-0.027649908814835422
C2_IV_X,51,QAUR,-0.027649908814835422
C2_IV_M,45,AUR,0.014216183501119195
C2_IV_M,45,QAUR,0.014216183501119195
C2_IV_M,46,AUR,0.00994627458769548
C2_IV_M,46,QAUR,0.00994627458769548
C2_IV_M,47,AUR,-0.012988231053497223
C2_IV_M,47,QAUR,-0.012988231053497223
C2_IV_M,48,AUR,0.049549430298016395
C2_IV_M,48,QAUR,0.049549430298016395
C2_IV_M,49,AUR,0.01696336769317397
C2_IV_M,49,QAUR,0.01696336769317397
C2_IV_M,50,AUR,-0.015118028596117883
C2_IV_M,50,QAUR,-0.015118028596117883
C2_IV_M,51,AUR,-0.03080630003675411
C2_IV_M,51,QAUR,-0.03080630003675411
C2_NMV_X,45,AUR,-0.003981357925799456
C2_NMV_X,45,QAUR,-0.01640431506621831
C2_NMV_X,46,AUR,0.05772693818889674
C2_NMV_X,46,QAUR,0.05721736869952121
C2_NMV_X,47,AUR,-0.03708459223222893
C2_NMV_X,47,QAUR,-0.03708459223222893
C2_NMV_X,48,AUR,0.05843478926084056
C2_NMV_X,48,QAUR,0.05843478926084056
C2_NMV_X,49,AUR,0.030595346150409375
C2_NMV_X,49,QAUR,0.030595346150409375
C2_NMV_X,50,AUR,-0.01976084480762197
C2_NMV_X,50,QAUR,-0.01976084480762197
C2_NMV_X,51,AUR,-0.02175398891934277
C2_NMV_X,51,QAUR,-0.02175398891934277
C2_NMV_M,45,AUR,-0.019614661713946213
C2_NMV_M,45,QAUR,-0.019614661713946213
C2_NMV_M,46,AUR,0.017153356621435023
C2_NMV_M,46,QAUR,0.017153356621435023
C2_NMV_M,47,AUR,-0.03609719479843276
C2_NMV_M,47,QAUR,-0.03609719479843276
C2_NMV_M,48,AUR,0.06511617621748012
C2_NMV_M,48,QAUR,0.06511617621748012
C2_NMV_M,49,AUR,0.026172890905929114
C2_NMV_M,49,QAUR,0.026172890905929114
C2_NMV_M,50,AUR,-0.006039078048607038
C2_NMV_M,50,QAUR,-0.006039078048607038
C2_NMV_M,51,AUR,-0.03663942367908646
C2_NMV_M,51,QAUR,-0.03663942367908646
C2_NMVT_X,45,AUR,-0.009780919127637788
C2_NMVT_X,45,QAUR,-0.006184713660307262
C2_NMVT_X,46,AUR,0.05288117483162358
C2_NMVT_X,46,QAUR,0.05212360849904574
C2_NMVT_X,47,AUR,-0.036634629042177846
C2_NMVT_X,47,QAUR,-0.03659207183977642
C2_NMVT_X,48,AUR,0.0594900938281504
C2_NMVT_X,48,QAUR,0.05949009388915849
C2_NMVT_X,49,AUR,0.026540910944819807
C2_NMVT_X,49,QAUR,0.02654091094273925
C2_NMVT_X,50,AUR,-0.01820112131856022
C2_NMVT_X,50,QAUR,-0.01820112134450058
