config_id,cumulative_return_AUR,cumulative_return_QAUR,maximum_drawdown_AUR,maximum_drawdown_QAUR,sharpe_zero_rf_AUR,sharpe_zero_rf_QAUR,worst_method_sharpe,worst_method_return
C1_IV_X,0.11161902734643814,0.11324402810700329,-0.10575803611759349,-0.10778780420055811,1.324846621749435,1.3626486114144145,1.324846621749435,0.11161902734643814
C1_EW_X,0.09740207532714917,0.09558085520509318,-0.10964671994214858,-0.11057419703129223,1.097843447075954,1.1180017392806112,1.097843447075954,0.09558085520509318
C2_IV_X,0.06399099607524872,0.07750236839271851,-0.06625212646838918,-0.06625212646838885,0.863414310506047,1.0196153381362096,0.863414310506047,0.06399099607524872
C3_NMVT_M,0.06630124457855202,0.06630124457855202,-0.09705241949760057,-0.09705241949760057,0.8208814431574084,0.8208814431574084,0.8208814431574084,0.06630124457855202
C3_IV_M,0.057615877497069645,0.057615877497069645,-0.08528124480436228,-0.08528124480436228,0.7453976401694175,0.7453976401694175,0.7453976401694175,0.057615877497069645
C3_NMV_M,0.05618478698388474,0.05618478698388474,-0.09726891195112675,-0.09726891195112675,0.7002235598542405,0.7002235598542405,0.7002235598542405,0.05618478698388474
C3_EW_M,0.05415390332875636,0.05415390332875636,-0.08774340117868662,-0.08774340117868662,0.6726969640791413,0.6726969640791413,0.6726969640791413,0.05415390332875636
C2_NMVT_X,0.04852652423443926,0.051623767489034744,-0.07300778034971611,-0.07270279178385786,0.6029026667598132,0.6306782328427326,0.6029026667598132,0.04852652423443926
C3_IV_X,0.045198487164223256,0.04300222834561529,-0.0891846915502601,-0.08918469155025965,0.5923107552857978,0.5640867943887925,0.5640867943887925,0.04300222834561529
C2_NMV_X,0.061112872494304415,0.047373195389308176,-0.08195668340082418,-0.08195668340082396,0.7515319217128983,0.5607373631885941,0.5607373631885941,0.047373195389308176
C2_EW_X,0.04261092152193369,0.05913211219566028,-0.07432306800311295,-0.07432306800311339,0.5519940843783686,0.7355837027794866,0.5519940843783686,0.04261092152193369
C2_EW_M,0.035744796833763415,0.035744796833763415,-0.08970537552645463,-0.08970537552645463,0.46141784979807055,0.46141784979807055,0.46141784979807055,0.035744796833763415
C2_IV_M,0.030040060016071735,0.030040060016071735,-0.09047040276827756,-0.09047040276827756,0.406293330125307,0.406293330125307,0.406293330125307,0.030040060016071735
C1_NMVT_X,0.0330264260635158,0.03832365531287252,-0.09989042755063726,-0.09598829621943006,0.3581238177304362,0.4469759829112982,0.3581238177304362,0.0330264260635158
C3_EW_X,0.02982680348654987,0.023314753557965417,-0.09843071617240529,-0.09843071617240551,0.37213651416555377,0.2899466334102117,0.2899466334102117,0.023314753557965417
C1_NMV_X,0.022134488122883322,0.023871818372742215,-0.1021114700529987,-0.09814904279279968,0.23222003620682674,0.27470633401003747,0.23222003620682674,0.022134488122883322
R_K10P6_CP20_S30,0.02821045436476277,0.01648432119776233,-0.08779291862204797,-0.08994520517670135,0.3725694572926943,0.2308666888063958,0.2308666888063958,0.01648432119776233
C2_NMVT_M,0.016224133680734498,0.016224133680734498,-0.08396877894072186,-0.08396877894072186,0.19708839361946942,0.19708839361946942,0.19708839361946942,0.016224133680734498
C1_IV_M,0.012765853172026276,0.012765853172026276,-0.08662726564555678,-0.08662726564555678,0.15170447521738714,0.15170447521738714,0.15170447521738714,0.012765853172026276
B00_current,0.04689890467285074,0.013056735294707744,-0.10129742597173919,-0.09491426082735033,0.4388824600343734,0.1299711825975689,0.1299711825975689,0.013056735294707744
C1_EW_M,0.008140924209889544,0.008140924209889544,-0.08788615445389336,-0.08788615445389336,0.09483693627606718,0.09483693627606718,0.09483693627606718,0.008140924209889544
R_K10P6_CP30_S30,0.03526134637900458,0.0065236461347522035,-0.08276402491514179,-0.08423026559933033,0.4635444541682499,0.07966501291457338,0.07966501291457338,0.0065236461347522035
