fold,test_start,test_end,xgb_signal_rank_ic,xgb_signal_pvalue,momentum_signal_rank_ic,momentum_signal_pvalue,blend_signal_rank_ic,blend_signal_pvalue
45,2026-01-02,2026-02-02,0.13276740237691004,0.202075607674792,0.020851019261727204,0.8418912477306746,0.149398547845248,0.15066926941313258
46,2026-02-02,2026-03-02,0.19048304830483045,0.057656327818402,0.17983299692335433,0.0733982134423249,0.24036147832102897,0.016004104207493246
47,2026-03-02,2026-04-02,0.24986498649864983,0.01217130384091379,0.047197268448165235,0.6410016237429894,0.24800028803499619,0.01285293091139449
48,2026-04-02,2026-05-02,0.17824810998092058,0.07306665695601433,-0.34848870496163314,0.0003314512080513077,0.08195738713602484,0.4128397390294488
49,2026-05-02,2026-06-02,0.20951192124240015,0.032798804460785,0.013336889856268085,0.8931082335667002,0.18608819505079277,0.05857711762981671
50,2026-06-02,2026-07-02,0.12234076603008644,0.21600907706695746,-0.09790500805099574,0.3227856664435891,0.08892054017032636,0.36938017755665997
51,2026-07-02,2026-08-02,0.25748563520103895,0.008008094872037776,0.18048219146596453,0.06541449869138033,0.28870147575276794,0.0028194276992405815
