config_id,fold,date,method,return,market_gate_exposure,market_gate_growth,market_gate_lookback
C1_IV_X,0,2022-04-04,AUR,0.006176288919469496,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-05,AUR,0.005724773841951497,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-06,AUR,-0.00777075432808021,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-07,AUR,-0.010947378581202793,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-08,AUR,-0.0201365550696571,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-12,AUR,-0.04624077398911834,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-13,AUR,0.017745374351185707,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-14,AUR,-0.016128933591280398,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-15,AUR,-0.0005889711108326163,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-18,AUR,-0.035649629833999566,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-19,AUR,-0.014299498711810675,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-20,AUR,-0.004854138479844905,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-21,AUR,-0.002658046848672195,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-22,AUR,0.004182678361821972,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-25,AUR,-0.025040151236351872,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-26,AUR,0.026520161534029446,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-27,AUR,-0.00042186601724544456,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-28,AUR,-0.009998667360871334,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-29,AUR,0.008967434754280332,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-04,QAUR,0.006176288919469496,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-05,QAUR,0.005724773841951497,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-06,QAUR,-0.00777075432808021,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-07,QAUR,-0.010947378581202793,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-08,QAUR,-0.0201365550696571,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-12,QAUR,-0.04624077398911834,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-13,QAUR,0.017745374351185707,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-14,QAUR,-0.016128933591280398,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-15,QAUR,-0.0005889711108326163,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-18,QAUR,-0.035649629833999566,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-19,QAUR,-0.014299498711810675,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-20,QAUR,-0.004854138479844905,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-21,QAUR,-0.002658046848672195,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-22,QAUR,0.004182678361821972,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-25,QAUR,-0.025040151236351872,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-26,QAUR,0.026520161534029446,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-27,QAUR,-0.00042186601724544456,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-28,QAUR,-0.009998667360871334,1.0,0.09147315131480638,30
C1_IV_X,0,2022-04-29,QAUR,0.008967434754280332,1.0,0.09147315131480638,30
C1_IV_X,1,2022-05-04,AUR,-0.0025,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-05,AUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-06,AUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-09,AUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-10,AUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-11,AUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-12,AUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-13,AUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-16,AUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-17,AUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-18,AUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-19,AUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-20,AUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-23,AUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-24,AUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-25,AUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-26,AUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-27,AUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-30,AUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-31,AUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-06-01,AUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-04,QAUR,-0.0025,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-05,QAUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-06,QAUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-09,QAUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-10,QAUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-11,QAUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-12,QAUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-13,QAUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-16,QAUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-17,QAUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-18,QAUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-19,QAUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-20,QAUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-23,QAUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-24,QAUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-25,QAUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-26,QAUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-27,QAUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-30,QAUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-05-31,QAUR,0.0,0.0,-0.130001579832126,30
C1_IV_X,1,2022-06-01,QAUR,-0.0,0.0,-0.130001579832126,30
C1_IV_X,2,2022-06-02,AUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-03,AUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-06,AUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-07,AUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-08,AUR,0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-09,AUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-10,AUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-13,AUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-14,AUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-15,AUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-16,AUR,0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-17,AUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-20,AUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-21,AUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-22,AUR,0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-23,AUR,0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-24,AUR,0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-27,AUR,0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-28,AUR,0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-29,AUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-30,AUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-07-01,AUR,0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-02,QAUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-03,QAUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-06,QAUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-07,QAUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-08,QAUR,0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-09,QAUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-10,QAUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-13,QAUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-14,QAUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-15,QAUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-16,QAUR,0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-17,QAUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-20,QAUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-21,QAUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-22,QAUR,0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-23,QAUR,0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-24,QAUR,0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-27,QAUR,0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-28,QAUR,0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-29,QAUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-06-30,QAUR,-0.0,0.0,-0.14080594425139403,30
C1_IV_X,2,2022-07-01,QAUR,0.0,0.0,-0.14080594425139403,30
C1_IV_X,3,2022-07-04,AUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-05,AUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-06,AUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-07,AUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-08,AUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-11,AUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-12,AUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-13,AUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-14,AUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-15,AUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-18,AUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-19,AUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-20,AUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-21,AUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-22,AUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-25,AUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-26,AUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-27,AUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-28,AUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-29,AUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-08-01,AUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-04,QAUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-05,QAUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-06,QAUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-07,QAUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-08,QAUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-11,QAUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-12,QAUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-13,QAUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-14,QAUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-15,QAUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-18,QAUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-19,QAUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-20,QAUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-21,QAUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-22,QAUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-25,QAUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-26,QAUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-27,QAUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-28,QAUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-07-29,QAUR,-0.0,0.0,-0.09177477008190527,30
C1_IV_X,3,2022-08-01,QAUR,0.0,0.0,-0.09177477008190527,30
C1_IV_X,4,2022-08-02,AUR,0.0019738521735040665,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-03,AUR,0.003581308095089734,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-04,AUR,0.011490450099927241,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-05,AUR,-0.006825778256628232,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-08,AUR,0.003947512501783827,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-09,AUR,0.004262579792030977,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-10,AUR,-0.002655614751224011,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-11,AUR,-0.00857039172797717,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-12,AUR,-0.0008374380739560635,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-15,AUR,0.0045352255539577455,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-16,AUR,0.0003802045947813896,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-17,AUR,-0.0030973140652727263,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-18,AUR,-0.0030441726405919353,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-19,AUR,-0.008178353023581497,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-22,AUR,0.00040331236967075415,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-23,AUR,-0.0011748596650707234,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-24,AUR,0.0044642727975473355,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-25,AUR,0.0001825806560366691,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-26,AUR,0.0090542720266228,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-29,AUR,-0.004379541094383313,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-30,AUR,0.008501777200556697,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-31,AUR,-0.009120474320579669,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-02,QAUR,0.0019738521735040665,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-03,QAUR,0.003581308095089734,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-04,QAUR,0.011490450099927241,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-05,QAUR,-0.006825778256628232,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-08,QAUR,0.003947512501783827,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-09,QAUR,0.004262579792030977,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-10,QAUR,-0.002655614751224011,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-11,QAUR,-0.00857039172797717,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-12,QAUR,-0.0008374380739560635,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-15,QAUR,0.0045352255539577455,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-16,QAUR,0.0003802045947813896,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-17,QAUR,-0.0030973140652727263,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-18,QAUR,-0.0030441726405919353,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-19,QAUR,-0.008178353023581497,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-22,QAUR,0.00040331236967075415,1.0,0.11409139778866861,30
C1_IV_X,4,2022-08-23,QAUR,-0.0011748596650707234,1.0,0.11409139778866861,30
