config_id,fold,method,reduction_objective,candidate_mean_abs_correlation,candidate_turnover,portfolio_turnover,candidate_jaccard
C1_NMVT_M,0,AUR,4.628668889069472,0.16833253961804587,1.0,0.5,1.0
C1_NMVT_M,0,QAUR,4.628668889069472,0.16833253961804587,1.0,0.5,1.0
C1_NMVT_M,1,AUR,5.209630552865054,0.22091116618455847,0.25,0.8999999999999999,1.0
C1_NMVT_M,1,QAUR,5.209630552865054,0.22091116618455847,0.25,0.8999999999999999,1.0
C1_NMVT_M,2,AUR,5.380303114923567,0.1460170815973786,0.375,1.0,1.0
C1_NMVT_M,2,QAUR,5.380303114923567,0.1460170815973786,0.375,1.0,1.0
C1_NMVT_M,3,AUR,5.581008642322284,0.13795752760853006,0.125,0.37082476039951484,1.0
C1_NMVT_M,3,QAUR,5.581008642322284,0.13795752760853006,0.125,0.37082476039951484,1.0
C1_NMVT_M,4,AUR,5.484714668094544,0.11450897776096365,0.375,0.5559087284711562,1.0
C1_NMVT_M,4,QAUR,5.484714668094544,0.11450897776096365,0.375,0.5559087284711562,1.0
C1_NMVT_M,5,AUR,5.685576897793861,0.1214877415941307,0.25,0.2993666124854975,0.7777777777777778
C1_NMVT_M,5,QAUR,5.686676205380932,0.12392398605560787,0.25,0.42381157545764253,0.7777777777777778
C1_NMVT_M,6,AUR,5.271850673459367,0.12187718666326343,0.125,0.5631667273635989,0.7777777777777778
C1_NMVT_M,6,QAUR,5.345890802753712,0.11987949832305013,0.125,0.46287593284054096,0.7777777777777778
C1_NMVT_M,7,AUR,5.896316733405065,0.1134860487492314,0.125,0.30000000000000004,1.0
C1_NMVT_M,7,QAUR,5.896316733405065,0.1134860487492314,0.125,0.31835736432773576,1.0
C1_NMVT_M,8,AUR,6.0670412932750715,0.1499921205336284,0.25,0.719372818318746,1.0
C1_NMVT_M,8,QAUR,6.0670412932750715,0.1499921205336284,0.25,0.7193728143871368,1.0
C1_NMVT_M,9,AUR,5.9221168186304824,0.16236280522744442,0.0,0.11937281831874863,1.0
C1_NMVT_M,9,QAUR,5.9221168186304824,0.16236280522744442,0.0,0.11937281438713927,1.0
C1_NMVT_M,10,AUR,6.00692209964298,0.13933454424515396,0.0,0.3000000000000008,1.0
C1_NMVT_M,10,QAUR,6.00692209964298,0.13933454424515396,0.0,0.30000000000000016,1.0
C1_NMVT_M,11,AUR,5.461951842080021,0.1218360505089765,0.125,0.40000000000000263,1.0
C1_NMVT_M,11,QAUR,5.461951842080021,0.1218360505089765,0.125,0.400000000000002,1.0
C1_NMVT_M,12,AUR,5.283516058475515,0.09552997911588765,0.5,0.7000000000000005,1.0
C1_NMVT_M,12,QAUR,5.283516058475515,0.09552997911588765,0.5,0.6999999999999997,1.0
C1_NMVT_M,13,AUR,5.345374938416148,0.09526083026490959,0.375,0.32213537592310026,1.0
C1_NMVT_M,13,QAUR,5.345374938416148,0.09526083026490959,0.375,0.3221353755040738,1.0
C1_NMVT_M,14,AUR,5.440381763661265,0.1149472424614023,0.25,0.2999999999999997,1.0
C1_NMVT_M,14,QAUR,5.440381763661265,0.1149472424614023,0.25,0.2999999999999997,1.0
C1_NMVT_M,15,AUR,5.5191697777824436,0.10829501983960345,0.125,0.3000000000000001,1.0
C1_NMVT_M,15,QAUR,5.5191697777824436,0.10829501983960345,0.125,0.3000000000000001,1.0
C1_NMVT_M,16,AUR,5.934345097973547,0.08491434470869572,0.125,0.3609160820028473,1.0
