fold,decision_time,ticker,xgb_signal,momentum_signal,liquidity_20d,volatility_20d,return_20d,return_60d
0,2022-04-01,AAM,0.38181818181818183,0.8090909090909091,1810177159.8513012,0.04343682907069215,0.12468619246861934,0.1872791519434629
0,2022-04-01,ASM,0.8181818181818182,0.9636363636363636,176441982532.8947,0.03348574647741231,0.404585798816568,0.47782101167315183
0,2022-04-01,ASP,0.6545454545454545,0.23636363636363636,7332226988.826816,0.03817195937603324,-0.14438502673796794,-0.010819165378670781
0,2022-04-01,AST,0.5,0.6090909090909091,1309028645.1612904,0.01018205493843909,0.00855470508779832,0.13734450368113738
0,2022-04-01,BKG,0.35454545454545455,0.26363636363636367,9831545659.708736,0.02124678398151005,-0.013333333333333308,-0.13644524236983846
0,2022-04-01,BMP,0.3181818181818182,0.6681818181818182,5191841123.061531,0.0206952758588809,0.043185222166749915,0.11857601713062094
0,2022-04-01,BTP,0.8636363636363636,0.46136363636363636,145652905.2808047,0.01541530898663823,0.0,0.005766062602965416
0,2022-04-01,BWE,0.7454545454545455,0.7772727272727272,15460545123.932764,0.018480055881848426,0.06087849987156435,0.20760233918128645
0,2022-04-01,CCI,0.7090909090909091,0.7363636363636363,215269281.1083123,0.0361666573508583,0.011888431641517982,0.43421905379131553
0,2022-04-01,CCL,0.42727272727272725,0.16363636363636364,10053280038.602942,0.022360082889662253,-0.06523605150214595,-0.11964430072756671
0,2022-04-01,CIG,0.19090909090909092,0.8227272727272728,14553160000.0,0.03988374778170512,0.17647058823529416,0.16788321167883202
0,2022-04-01,CLC,0.2545454545454545,0.6772727272727272,853072007.5456712,0.017545883284846353,0.0661386138613862,0.0965376782077394
0,2022-04-01,CLL,0.17272727272727273,0.5636363636363637,3097562914.1104293,0.02260070933227079,0.024858264282599185,0.049107142857142794
0,2022-04-01,CSM,0.5909090909090909,0.3318181818181818,789367049.522673,0.012059238058428866,-0.026423957721667612,-0.05202973127501431
0,2022-04-01,CTI,0.41818181818181815,0.5045454545454545,32063609171.511627,0.023619412991991055,0.08908467939304954,-0.08586688578471646
0,2022-04-01,DAH,0.34545454545454546,0.4090909090909091,27443748000.0,0.03233046604514316,-0.0404411764705882,0.05668016194331993
0,2022-04-01,DCL,0.37272727272727274,0.15454545454545454,4854625000.0,0.021542147562447923,-0.06578947368421051,-0.12345679012345678
0,2022-04-01,DCM,0.44545454545454544,0.8181818181818181,417707904492.9245,0.041331850654477906,0.09421768707482991,0.21167608286252348
