config_id,sample,method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown,selection_score
B00_current,development,AUR,604,-0.2777936518975266,-0.1269665695868467,0.20537822210903237,-0.6182085339089262,-0.7106481716451185,-0.575614439151705,-0.6182085339089262
B00_current,development,QAUR,604,-0.2777936518975266,-0.1269665695868467,0.20537822210903237,-0.6182085339089262,-0.7106481716451185,-0.575614439151705,-0.6182085339089262
B00_current,holdout,AUR,312,0.1597309311826216,0.1271477488744439,0.14547895602251462,0.87399409750209,1.1523994243623847,-0.132172230666611,-0.6182085339089262
B00_current,holdout,QAUR,312,0.24729717974285337,0.19540256287574276,0.1528003445075261,1.2788097010220962,1.7579261496534513,-0.132172230666611,-0.6182085339089262
B00_current,all,AUR,916,-0.16243495940911756,-0.04759493815336513,0.18720151645642363,-0.25424440492950906,-0.295458773068753,-0.575614439151705,-0.6182085339089262
B00_current,all,QAUR,916,-0.09919405881939969,-0.02833034822631353,0.18925124542801058,-0.1496970239865086,-0.17566466503306513,-0.575614439151705,-0.6182085339089262
C1_EW_X,development,AUR,604,-0.23022460874507433,-0.10342017246580093,0.17212533371750174,-0.6008422481000839,-0.7103570427661312,-0.5318473540832382,-0.6008422481000839
C1_EW_X,development,QAUR,604,-0.23022460874507433,-0.10342017246580093,0.17212533371750174,-0.6008422481000839,-0.7103570427661312,-0.5318473540832382,-0.6008422481000839
C1_EW_X,holdout,AUR,312,0.18746299041047565,0.14886782528868703,0.14328505334808886,1.0389626957602875,1.381897230111907,-0.12737058716780025,-0.6008422481000839
C1_EW_X,holdout,QAUR,312,0.2364999194894173,0.18703755516967435,0.14474285632937428,1.292205777285858,1.742915633266037,-0.12737058716780025,-0.6008422481000839
C1_EW_X,all,AUR,916,-0.08592021195603239,-0.024412179613084617,0.1629593583772904,-0.14980532481334707,-0.18095011221533225,-0.5318473540832382,-0.6008422481000839
C1_EW_X,all,QAUR,916,-0.04817279068835101,-0.013490797263903676,0.16344332762356165,-0.08254113190215585,-0.09998396650163646,-0.5318473540832382,-0.6008422481000839
C1_EW_M,development,AUR,604,-0.09675868589030978,-0.041569726121509554,0.18259457153185235,-0.22766134706396793,-0.24364864160114097,-0.4463510334222601,-0.2730425492389478
C1_EW_M,development,QAUR,604,-0.1337072400772733,-0.058126559447402304,0.18254467259209575,-0.3184237514139276,-0.3392398133991929,-0.4616836556906785,-0.2730425492389478
C1_EW_M,holdout,AUR,312,0.2619687150568264,0.20674683303448882,0.14931601889727847,1.384625940078939,1.9723400872134031,-0.1386407171956643,-0.2730425492389478
C1_EW_M,holdout,QAUR,312,0.2619687150568264,0.20674683303448882,0.14931601889727847,1.384625940078939,1.9723400872134031,-0.1386407171956643,-0.2730425492389478
C1_EW_M,all,AUR,916,0.13986228055324768,0.036670193455865974,0.17203237178352732,0.21315868098365234,0.24212460185507934,-0.4463510334222601,-0.2730425492389478
C1_EW_M,all,QAUR,916,0.09323436110271643,0.02482656995000254,0.17201857608969168,0.14432493579680486,0.16339171545488276,-0.4616836556906785,-0.2730425492389478
C1_IV_X,development,AUR,604,-0.15048525944387303,-0.06578078837471868,0.15920304049424183,-0.41318801557120943,-0.4921868702249696,-0.4776434715432163,-0.41318801557120943
C1_IV_X,development,QAUR,604,-0.15048525944387303,-0.06578078837471868,0.15920304049424183,-0.41318801557120943,-0.4921868702249696,-0.4776434715432163,-0.41318801557120943
C1_IV_X,holdout,AUR,312,0.1862577834255177,0.1479259357594609,0.1369385300335958,1.0802360425745003,1.3848109241885955,-0.1317920835619082,-0.41318801557120943
C1_IV_X,holdout,QAUR,312,0.24909005428548925,0.1967902133707231,0.14125003859311605,1.3932046697530167,1.8172363018449875,-0.1317920835619082,-0.41318801557120943
C1_IV_X,all,AUR,916,0.00774347311941459,0.002124348072622073,0.15203127248627785,0.013973099335952833,0.016873793213508955,-0.4776434715432163,-0.41318801557120943
C1_IV_X,all,QAUR,916,0.061120413397576456,0.016454860259186743,0.153421225979787,0.10725282733273586,0.130250793117489,-0.4776434715432163,-0.41318801557120943
C1_IV_M,development,AUR,604,-0.10510301568885727,-0.045273845950735914,0.17950144406725374,-0.2522199539173244,-0.2676876284057017,-0.46278717593975227,-0.294181267978154
C1_IV_M,development,QAUR,604,-0.1388773321833373,-0.06047590408521364,0.17991146411257125,-0.3361425820389836,-0.3557241649777513,-0.4780883812586061,-0.294181267978154
C1_IV_M,holdout,AUR,312,0.2563158850248517,0.20237899222936084,0.14525959899723745,1.393222848103895,1.960388822994861,-0.14419690688889153,-0.294181267978154
C1_IV_M,holdout,QAUR,312,0.2563158850248517,0.20237899222936084,0.14525959899723745,1.393222848103895,1.960388822994861,-0.14419690688889153,-0.294181267978154
C1_IV_M,all,AUR,916,0.1242732968509257,0.03275028858415596,0.16867416123524742,0.19416304396782863,0.21829608185398197,-0.46278717593975227,-0.294181267978154
C1_IV_M,all,QAUR,916,0.0818420865330538,0.021877400762603028,0.16898144447669416,0.12946629039864993,0.145210363031477,-0.4780883812586061,-0.294181267978154
C1_NMV_X,development,AUR,604,-0.1616145055326168,-0.07090672775580342,0.18390746335405242,-0.3855565536201007,-0.4426258088453147,-0.5199093184409589,-0.3855565536201007
C1_NMV_X,development,QAUR,604,-0.1616145055326168,-0.07090672775580342,0.18390746335405242,-0.3855565536201007,-0.4426258088453147,-0.5199093184409589,-0.3855565536201007
C1_NMV_X,holdout,AUR,312,0.1485299818001291,0.11834680856058433,0.14158683897080543,0.8358602354628943,1.1229097261647918,-0.12004766121712385,-0.3855565536201007
C1_NMV_X,holdout,QAUR,312,0.23546604375700841,0.18623584095961165,0.1455409071297997,1.279611654430039,1.783685550122954,-0.12004766121712385,-0.3855565536201007
C1_NMV_X,all,AUR,916,-0.03708912329788283,-0.010343723169078944,0.1706790820146585,-0.06060334428205203,-0.07137106365250044,-0.5199093184409589,-0.3855565536201007
