config_id,fold,method,reduction_objective,candidate_mean_abs_correlation,candidate_turnover,portfolio_turnover,candidate_jaccard
B00_current,0,AUR,4.564805149216498,0.1789656934616405,1.0,0.5,1.0
B00_current,0,QAUR,4.564805149216498,0.1789656934616405,1.0,0.5,1.0
B00_current,1,AUR,5.009922369873986,0.18882642634370622,0.375,0.55,1.0
B00_current,1,QAUR,5.009922369873986,0.18882642634370622,0.375,0.55,1.0
B00_current,2,AUR,4.955653258911412,0.1586952646744954,0.375,0.9500000000000001,1.0
B00_current,2,QAUR,4.955653258911412,0.1586952646744954,0.375,0.9500000000000001,1.0
B00_current,3,AUR,5.365141731013235,0.14128783304934497,0.375,0.55,1.0
B00_current,3,QAUR,5.365141731013235,0.14128783304934497,0.375,0.55,1.0
B00_current,4,AUR,5.590172052720832,0.13596490488819124,0.25,0.7999999999999998,1.0
B00_current,4,QAUR,5.590172052720832,0.13596490488819124,0.25,0.7999999999999998,1.0
B00_current,5,AUR,5.6667685684128095,0.12502254098410995,0.25,0.34999999999999915,1.0
B00_current,5,QAUR,5.6667685684128095,0.12502254098410995,0.25,0.34999999999999915,1.0
B00_current,6,AUR,5.241151943052393,0.11567735737033125,0.125,0.800000000000001,1.0
B00_current,6,QAUR,5.241151943052393,0.11567735737033125,0.125,0.800000000000001,1.0
B00_current,7,AUR,5.554859672006634,0.11841003392273465,0.125,0.4999999999999989,1.0
B00_current,7,QAUR,5.554859672006634,0.11841003392273465,0.125,0.4999999999999989,1.0
B00_current,8,AUR,5.933906178596551,0.1506653757759572,0.25,0.8000000000000004,1.0
B00_current,8,QAUR,5.933906178596551,0.1506653757759572,0.25,0.8000000000000004,1.0
B00_current,9,AUR,5.87982444665534,0.17923525773624666,0.125,0.899999999999999,1.0
B00_current,9,QAUR,5.87982444665534,0.17923525773624666,0.125,0.899999999999999,1.0
B00_current,10,AUR,6.1039992480850955,0.15228318170630292,0.0,0.5500000000000002,1.0
B00_current,10,QAUR,6.1039992480850955,0.15228318170630292,0.0,0.5500000000000002,1.0
B00_current,11,AUR,5.601483869563978,0.13146562832214348,0.125,0.4000000000000004,1.0
B00_current,11,QAUR,5.601483869563978,0.13146562832214348,0.125,0.4000000000000004,1.0
B00_current,12,AUR,5.306405107965798,0.11342674715507219,0.375,0.5499999999999999,1.0
B00_current,12,QAUR,5.306405107965798,0.11342674715507219,0.375,0.5499999999999999,1.0
B00_current,13,AUR,5.514013073642143,0.11473217294735494,0.25,0.5500000000000002,1.0
B00_current,13,QAUR,5.514013073642143,0.11473217294735494,0.25,0.5500000000000002,1.0
B00_current,14,AUR,5.683525961499346,0.12499452742804491,0.25,0.6000000000000005,1.0
B00_current,14,QAUR,5.683525961499346,0.12499452742804491,0.25,0.6000000000000005,1.0
