config_id,fold,method,ticker,selected_downstream,weight
P_K10P6_CP30_NONE,3,AUR,DCM,False,0.0
P_K10P6_CP30_NONE,3,AUR,DGW,False,0.0
P_K10P6_CP30_NONE,3,AUR,DTL,True,0.24999999999999964
P_K10P6_CP30_NONE,3,AUR,EIB,False,0.0
P_K10P6_CP30_NONE,3,AUR,HPX,True,0.2179099328691233
P_K10P6_CP30_NONE,3,AUR,MDG,True,0.24209006713087666
P_K10P6_CP30_NONE,3,AUR,UDC,True,0.25000000000000006
P_K10P6_CP30_NONE,3,AUR,VCB,True,0.020000000000000153
P_K10P6_CP30_NONE,3,AUR,VJC,True,0.02000000000000012
P_K10P6_CP30_NONE,3,QAUR,ASM,False,0.0
P_K10P6_CP30_NONE,3,QAUR,CCI,True,0.24559508874622188
P_K10P6_CP30_NONE,3,QAUR,DCM,False,0.0
P_K10P6_CP30_NONE,3,QAUR,EIB,False,0.0
P_K10P6_CP30_NONE,3,QAUR,FDC,True,0.25
P_K10P6_CP30_NONE,3,QAUR,HPX,True,0.02
P_K10P6_CP30_NONE,3,QAUR,MDG,True,0.2144049112537781
P_K10P6_CP30_NONE,3,QAUR,VCB,False,0.0
P_K10P6_CP30_NONE,3,QAUR,VJC,True,0.02
P_K10P6_CP30_NONE,3,QAUR,VPD,True,0.25
P_K10P6_CP30_NONE,4,AUR,DCM,False,0.0
P_K10P6_CP30_NONE,4,AUR,EIB,True,0.17450464635363216
P_K10P6_CP30_NONE,4,AUR,HAG,False,0.0
P_K10P6_CP30_NONE,4,AUR,HPX,True,0.16496189232993552
P_K10P6_CP30_NONE,4,AUR,SGN,True,0.24999999999999997
P_K10P6_CP30_NONE,4,AUR,ST8,False,0.0
P_K10P6_CP30_NONE,4,AUR,VCB,True,0.10817764704239455
P_K10P6_CP30_NONE,4,AUR,VGC,False,0.0
P_K10P6_CP30_NONE,4,AUR,VJC,True,0.08432484252399416
P_K10P6_CP30_NONE,4,AUR,VMD,True,0.21803097175004366
P_K10P6_CP30_NONE,4,QAUR,BTP,True,0.2500000000000001
P_K10P6_CP30_NONE,4,QAUR,DCM,False,0.0
P_K10P6_CP30_NONE,4,QAUR,EIB,True,0.18681954151756414
P_K10P6_CP30_NONE,4,QAUR,HAG,False,0.0
P_K10P6_CP30_NONE,4,QAUR,HPX,True,0.0200000000000004
P_K10P6_CP30_NONE,4,QAUR,SGN,True,0.24999999999999825
P_K10P6_CP30_NONE,4,QAUR,ST8,False,0.0
P_K10P6_CP30_NONE,4,QAUR,VCB,False,0.0
P_K10P6_CP30_NONE,4,QAUR,VJC,True,0.07089041148945112
