config_id,sample,method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown,selection_score
W_K8P4_CP30,development,AUR,604,-0.09650333967021796,-0.041456690847027744,0.17177962381916545,-0.2413364863964874,-0.2763292149503734,-0.41045358397840936,-0.2632759906256784
W_K8P4_CP30,development,QAUR,604,-0.12064142830700764,-0.05222549860119541,0.18310891078260005,-0.2852154948548694,-0.3331293218971243,-0.47323563165210447,-0.2632759906256784
W_K8P4_CP30,holdout,AUR,312,0.19676180172112367,0.15612883886921725,0.15028985180934776,1.0388515058706467,1.4161556923028864,-0.1201362815567465,-0.2632759906256784
W_K8P4_CP30,holdout,QAUR,312,0.23746250990926132,0.187783875631637,0.1510702067559445,1.2430238871321848,1.6846959455678816,-0.12046102984265994,-0.2632759906256784
W_K8P4_CP30,all,AUR,916,0.08127029106528627,0.02172878532953071,0.16478378330759058,0.1318624011015154,0.15737716684632916,-0.41045358397840936,-0.2632759906256784
W_K8P4_CP30,all,QAUR,916,0.0881732652374323,0.023519144960624017,0.17290583298592666,0.13602285448946255,0.16331816940269211,-0.47323563165210447,-0.2632759906256784
W_K8P4_CP50,development,AUR,604,-0.15269072782990223,-0.06679346592299307,0.17870710604504722,-0.37375942905234133,-0.4385610892524704,-0.47677028730303717,-0.3233550081246966
W_K8P4_CP50,development,QAUR,604,-0.11204709075744113,-0.04837175515216008,0.17721799263702975,-0.27295058719705184,-0.3207570271153316,-0.4256027995023607,-0.3233550081246966
W_K8P4_CP50,holdout,AUR,312,0.25280601716610573,0.19966507860483818,0.1543836867084981,1.2933042529411725,1.6793542230588925,-0.12405610054174776,-0.3233550081246966
W_K8P4_CP50,holdout,QAUR,312,0.38157662866663267,0.2983141484018319,0.15143613280444312,1.96990072895654,2.7903371093077705,-0.12437953597126772,-0.3233550081246966
W_K8P4_CP50,all,AUR,916,0.06151415457533149,0.016558608545286235,0.17088598265173036,0.09689857698295283,0.11597019651885793,-0.47677028730303717,-0.3233550081246966
W_K8P4_CP50,all,QAUR,916,0.22677498676606422,0.057840137550136506,0.16904334511461697,0.3421615770258154,0.41745900221810495,-0.4256027995023607,-0.3233550081246966
W_K8P4_CP75,development,AUR,604,-0.28413464737706007,-0.1301728792973721,0.18650485256141044,-0.697959744798115,-0.7853665664638846,-0.4892068634198513,-0.47630810272066904
W_K8P4_CP75,development,QAUR,604,-0.10653737485821246,-0.04591259497801037,0.18029228420925272,-0.25465646064322317,-0.3003809879714422,-0.4164615705818444,-0.47630810272066904
W_K8P4_CP75,holdout,AUR,312,0.2576562421105404,0.20341500343777796,0.16047004862994593,1.2676197531843827,1.6256437988795054,-0.15110467675802175,-0.47630810272066904
W_K8P4_CP75,holdout,QAUR,312,0.2743399230065393,0.21629275015152372,0.17155854479526986,1.2607518349472924,1.6508563921453538,-0.1741755384570961,-0.47630810272066904
W_K8P4_CP75,all,AUR,916,-0.09968747076309736,-0.028476797883655203,0.17823300563685718,-0.15977286463807702,-0.18454007781135626,-0.4892068634198513,-0.47630810272066904
W_K8P4_CP75,all,QAUR,916,0.13857509293240255,0.03634800276905392,0.17741820291200902,0.20487189122911362,0.24886643735399905,-0.4164615705818444,-0.47630810272066904
W_K10P6_CP30,development,AUR,604,-0.05978615192841408,-0.025392701826100428,0.16250808232131703,-0.15625500875638315,-0.17015236376814555,-0.3711547632275196,0.015684255486653628
W_K10P6_CP30,development,QAUR,604,0.07745384170879288,0.03161423814512854,0.16849826818447514,0.1876235197296904,0.20675828246810724,-0.3546856849782951,0.015684255486653628
