config_id,fold,date,method,return
W_K8P4_CP30,0,2022-04-04,AUR,-0.01567691668339396
W_K8P4_CP30,0,2022-04-05,AUR,0.009825883298202866
W_K8P4_CP30,0,2022-04-06,AUR,-0.016105968185647933
W_K8P4_CP30,0,2022-04-07,AUR,-0.0280293012245837
W_K8P4_CP30,0,2022-04-08,AUR,0.0023291589930745905
W_K8P4_CP30,0,2022-04-12,AUR,0.011445029722526933
W_K8P4_CP30,0,2022-04-13,AUR,0.021742874781732566
W_K8P4_CP30,0,2022-04-14,AUR,0.019073101043440184
W_K8P4_CP30,0,2022-04-15,AUR,0.01526470721160925
W_K8P4_CP30,0,2022-04-18,AUR,0.010281800720448136
W_K8P4_CP30,0,2022-04-19,AUR,-0.012802948391078815
W_K8P4_CP30,0,2022-04-20,AUR,-0.03512697689316588
W_K8P4_CP30,0,2022-04-21,AUR,-0.05532598409079384
W_K8P4_CP30,0,2022-04-22,AUR,-0.016252212561163853
W_K8P4_CP30,0,2022-04-25,AUR,-0.03611642854749045
W_K8P4_CP30,0,2022-04-26,AUR,0.010172353521611591
W_K8P4_CP30,0,2022-04-27,AUR,0.00766936824040831
W_K8P4_CP30,0,2022-04-28,AUR,-0.009175819346809947
W_K8P4_CP30,0,2022-04-29,AUR,0.012065661412743576
W_K8P4_CP30,0,2022-04-04,QAUR,-0.01567691668339396
W_K8P4_CP30,0,2022-04-05,QAUR,0.009825883298202866
W_K8P4_CP30,0,2022-04-06,QAUR,-0.016105968185647933
W_K8P4_CP30,0,2022-04-07,QAUR,-0.0280293012245837
W_K8P4_CP30,0,2022-04-08,QAUR,0.0023291589930745905
W_K8P4_CP30,0,2022-04-12,QAUR,0.011445029722526933
W_K8P4_CP30,0,2022-04-13,QAUR,0.021742874781732566
W_K8P4_CP30,0,2022-04-14,QAUR,0.019073101043440184
W_K8P4_CP30,0,2022-04-15,QAUR,0.01526470721160925
W_K8P4_CP30,0,2022-04-18,QAUR,0.010281800720448136
W_K8P4_CP30,0,2022-04-19,QAUR,-0.012802948391078815
W_K8P4_CP30,0,2022-04-20,QAUR,-0.03512697689316588
W_K8P4_CP30,0,2022-04-21,QAUR,-0.05532598409079384
W_K8P4_CP30,0,2022-04-22,QAUR,-0.016252212561163853
W_K8P4_CP30,0,2022-04-25,QAUR,-0.03611642854749045
W_K8P4_CP30,0,2022-04-26,QAUR,0.010172353521611591
W_K8P4_CP30,0,2022-04-27,QAUR,0.00766936824040831
W_K8P4_CP30,0,2022-04-28,QAUR,-0.009175819346809947
W_K8P4_CP30,0,2022-04-29,QAUR,0.012065661412743576
W_K8P4_CP30,1,2022-05-04,AUR,-0.03189803180458803
W_K8P4_CP30,1,2022-05-05,AUR,-0.008706737319513803
W_K8P4_CP30,1,2022-05-06,AUR,-0.052800381903221845
W_K8P4_CP30,1,2022-05-09,AUR,-0.061264356495720124
W_K8P4_CP30,1,2022-05-10,AUR,0.009544315330330958
W_K8P4_CP30,1,2022-05-11,AUR,-0.009291868035679557
W_K8P4_CP30,1,2022-05-12,AUR,-0.056775032123919614
W_K8P4_CP30,1,2022-05-13,AUR,-0.05636231091866916
W_K8P4_CP30,1,2022-05-16,AUR,-0.020503881687316056
W_K8P4_CP30,1,2022-05-17,AUR,0.04416796866154306
W_K8P4_CP30,1,2022-05-18,AUR,0.027386070043301354
W_K8P4_CP30,1,2022-05-19,AUR,0.00034966104518394277
W_K8P4_CP30,1,2022-05-20,AUR,0.0019366761128135792
