spec_id,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps,sample,method,mean_exposure,active_folds,total_folds,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,sortino_zero_rf,maximum_drawdown
OV0029,0,3,0.0,60,-1.0,25.0,bridge,AUR,0.0,0,1,22,-0.0024999999999999467,-0.02826507134885725,0.008461141122266496,-3.3405743906663328,,0.0
OV0029,0,3,0.0,60,-1.0,25.0,bridge,QAUR,0.0,0,1,22,-0.0024999999999999467,-0.02826507134885725,0.008461141122266496,-3.3405743906663328,,0.0
OV0029,0,3,0.0,60,-1.0,25.0,development,AUR,0.5862068965517241,17,29,604,0.20279142550083806,0.08008240154953583,0.08907270164192267,0.8990678409135006,0.8528675655333646,-0.1522509558934404
OV0029,0,3,0.0,60,-1.0,25.0,development,QAUR,0.5862068965517241,17,29,604,0.20279142550083806,0.08008240154953583,0.08907270164192267,0.8990678409135006,0.8528675655333646,-0.1522509558934404
OV0029,0,3,0.0,60,-1.0,25.0,historical_holdout,AUR,0.8,12,15,312,0.03258639448147993,0.026238361558144296,0.12679738445918812,0.20693141006066695,0.22533744945361356,-0.13096078514839304
OV0029,0,3,0.0,60,-1.0,25.0,historical_holdout,QAUR,0.8666666666666667,13,15,312,0.16160162776583276,0.12861601772771025,0.13508386152146012,0.9521197889895799,1.1301514962082069,-0.13096078514839304
OV0029,0,3,0.0,60,-1.0,25.0,observed_2026,AUR,0.75,6,8,160,0.11666909418313232,0.18981949878152138,0.1328297672443725,1.4290433742332955,1.8557377357846572,-0.107787804200558
OV0029,0,3,0.0,60,-1.0,25.0,observed_2026,QAUR,0.75,6,8,160,0.11666909418313232,0.18981949878152138,0.1328297672443725,1.4290433742332955,1.8557377357846572,-0.107787804200558
