spec_id,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps,fold,method,exposure,market_growth,strategy_growth,validation_ic,estimated_volatility
OV0001,0,0,0.0,60,-1.0,25.0,0,AUR,1.0,,,0.1458097053584929,
OV0001,0,0,0.0,60,-1.0,25.0,1,AUR,1.0,,,0.1651887279683717,
OV0001,0,0,0.0,60,-1.0,25.0,2,AUR,1.0,,,0.0764920859628268,
OV0001,0,0,0.0,60,-1.0,25.0,3,AUR,1.0,,,-0.1837065178421047,
OV0001,0,0,0.0,60,-1.0,25.0,4,AUR,1.0,,,-0.0833110018313464,
OV0001,0,0,0.0,60,-1.0,25.0,5,AUR,1.0,,,-0.2177020551437719,
OV0001,0,0,0.0,60,-1.0,25.0,6,AUR,1.0,,,-0.0701645315303165,
OV0001,0,0,0.0,60,-1.0,25.0,7,AUR,1.0,,,0.2463882802545031,
OV0001,0,0,0.0,60,-1.0,25.0,8,AUR,1.0,,,0.0379681151139238,
OV0001,0,0,0.0,60,-1.0,25.0,9,AUR,1.0,,,0.1502621043863483,
OV0001,0,0,0.0,60,-1.0,25.0,10,AUR,1.0,,,0.1650907409819335,
OV0001,0,0,0.0,60,-1.0,25.0,11,AUR,1.0,,,0.0388024821303733,
OV0001,0,0,0.0,60,-1.0,25.0,12,AUR,1.0,,,0.0857661112981593,
OV0001,0,0,0.0,60,-1.0,25.0,13,AUR,1.0,,,-0.0118121491210678,
OV0001,0,0,0.0,60,-1.0,25.0,14,AUR,1.0,,,-0.0829658433754555,
OV0001,0,0,0.0,60,-1.0,25.0,15,AUR,1.0,,,-0.1163422734384221,
OV0001,0,0,0.0,60,-1.0,25.0,16,AUR,1.0,,,-0.0972193519230404,
OV0001,0,0,0.0,60,-1.0,25.0,17,AUR,1.0,,,-0.0438253331721124,
OV0001,0,0,0.0,60,-1.0,25.0,18,AUR,1.0,,,0.0142662951684129,
OV0001,0,0,0.0,60,-1.0,25.0,19,AUR,1.0,,,0.2494091763766036,
OV0001,0,0,0.0,60,-1.0,25.0,20,AUR,1.0,,,0.1029391640332599,
OV0001,0,0,0.0,60,-1.0,25.0,21,AUR,1.0,,,-0.1310774178573737,
OV0001,0,0,0.0,60,-1.0,25.0,22,AUR,1.0,,,0.0022795944089448,
OV0001,0,0,0.0,60,-1.0,25.0,23,AUR,1.0,,,0.2069822865702641,
OV0001,0,0,0.0,60,-1.0,25.0,24,AUR,1.0,,,0.2230909201258613,
OV0001,0,0,0.0,60,-1.0,25.0,25,AUR,1.0,,,0.1294554999475838,
