spec_id,worst_method_sharpe,worst_method_return,worst_method_drawdown,minimum_exposure,market_lookback,strategy_lookback_folds,volatility_target,volatility_lookback_days,minimum_validation_ic,overlay_turnover_cost_bps,eligible
OV0061,0.2887293414505345,0.05642313313163405,-0.16419441637354815,0.5072812345440877,0,6,0.1,60,-1.0,25.0,True
OV0065,0.2674959918862936,0.052305760070348484,-0.1678699087179062,0.49981146368978563,0,6,0.1,120,-1.0,25.0,True
OV0293,0.26396190685435483,0.05020158159994459,-0.1522509558934404,0.4464927505023453,120,3,0.12,60,-1.0,25.0,True
OV0305,0.1636170812502688,0.030443696757388228,-0.1522509558934404,0.4409046298111602,120,3,0.15,120,-1.0,25.0,True
OV0285,0.14960256886618303,0.027524130583540085,-0.1522509558934404,0.43108266456041,120,3,0.1,60,-1.0,25.0,True
OV0225,0.09600860577137005,0.018183183223798194,-0.16554127080181524,0.4482758620689655,60,6,0.0,60,-1.0,25.0,True
OV0237,0.09600860577137005,0.018183183223798194,-0.16554127080181524,0.4482758620689655,60,6,0.12,60,-1.0,25.0,True
OV0245,0.09600860577137005,0.018183183223798194,-0.16554127080181524,0.4482758620689655,60,6,0.15,60,-1.0,25.0,True
OV0249,0.09600860577137005,0.018183183223798194,-0.16554127080181524,0.4482758620689655,60,6,0.15,120,-1.0,25.0,True
OV0241,0.087154315275914,0.016466483712131774,-0.16694820318542036,0.44333761230364466,60,6,0.12,120,-1.0,25.0,True
OV0229,0.07802283893652638,0.01460929378412068,-0.16713603062304216,0.4383157173027084,60,6,0.1,60,-1.0,25.0,True
OV0233,0.05722278032365119,0.010722129566474559,-0.17079858708749474,0.4308459464484063,60,6,0.1,120,-1.0,25.0,True
OV0297,0.05423322763774447,0.009879131048586176,-0.1522509558934404,0.4305440747732625,120,3,0.12,120,-1.0,25.0,True
OV0113,0.5388582886064626,0.09829853264862831,-0.1522509558934404,0.3793103448275862,20,3,0.0,60,-1.0,25.0,False
OV0133,0.5388582886064626,0.09829853264862831,-0.1522509558934404,0.3793103448275862,20,3,0.15,60,-1.0,25.0,False
OV0125,0.5066880265068637,0.09167256276387681,-0.1522509558934404,0.37752723326096604,20,3,0.12,60,-1.0,25.0,False
OV0117,0.40408656142225324,0.07111069292962124,-0.1522509558934404,0.36503980703246275,20,3,0.1,60,-1.0,25.0,False
OV0137,0.4027272441914906,0.07113446687946046,-0.1522509558934404,0.3719391125697809,20,3,0.15,120,-1.0,25.0,False
OV0169,0.39410157821760305,0.1283990923089089,-0.30203319479990964,0.6551724137931034,60,0,0.0,60,-1.0,25.0,False
OV0189,0.35036803874298433,0.1116782537638874,-0.30203319479990964,0.638621204841368,60,0,0.15,60,-1.0,25.0,False
