fold,decision_time,method,ticker,selected_downstream,reduction_objective
0,2022-04-29,AUR,CII,False,4.69531860585235
0,2022-04-29,AUR,GEX,False,4.69531860585235
0,2022-04-29,AUR,HAG,False,4.69531860585235
0,2022-04-29,AUR,NKG,True,4.69531860585235
0,2022-04-29,AUR,PVD,False,4.69531860585235
0,2022-04-29,AUR,SHB,True,4.69531860585235
0,2022-04-29,AUR,SZC,True,4.69531860585235
0,2022-04-29,AUR,TSC,True,4.69531860585235
0,2022-04-29,QAUR,DIG,False,4.721316628985161
0,2022-04-29,QAUR,GEX,False,4.721316628985161
0,2022-04-29,QAUR,HAG,False,4.721316628985161
0,2022-04-29,QAUR,NKG,True,4.721316628985161
0,2022-04-29,QAUR,PVD,False,4.721316628985161
0,2022-04-29,QAUR,SHB,True,4.721316628985161
0,2022-04-29,QAUR,SZC,True,4.721316628985161
0,2022-04-29,QAUR,TSC,True,4.721316628985161
1,2022-08-30,AUR,BVH,False,5.064051516471017
1,2022-08-30,AUR,CTG,False,5.064051516471017
1,2022-08-30,AUR,DHM,True,5.064051516471017
1,2022-08-30,AUR,HPX,True,5.064051516471017
1,2022-08-30,AUR,MBB,False,5.064051516471017
1,2022-08-30,AUR,SHB,False,5.064051516471017
1,2022-08-30,AUR,SHI,True,5.064051516471017
1,2022-08-30,AUR,VJC,True,5.064051516471017
1,2022-08-30,QAUR,BVH,False,5.085188615249413
1,2022-08-30,QAUR,CDC,True,5.085188615249413
1,2022-08-30,QAUR,CTG,False,5.085188615249413
1,2022-08-30,QAUR,DHM,True,5.085188615249413
1,2022-08-30,QAUR,HPX,True,5.085188615249413
1,2022-08-30,QAUR,SHB,False,5.085188615249413
1,2022-08-30,QAUR,SHI,False,5.085188615249413
1,2022-08-30,QAUR,VPI,True,5.085188615249413
2,2022-12-30,AUR,BVH,False,5.906002865994227
2,2022-12-30,AUR,CTG,True,5.906002865994227
2,2022-12-30,AUR,HPX,True,5.906002865994227
2,2022-12-30,AUR,NVL,True,5.906002865994227
2,2022-12-30,AUR,SHB,False,5.906002865994227
2,2022-12-30,AUR,SHI,True,5.906002865994227
