method,observations,cumulative_return,annualized_return,annualized_volatility,sharpe_zero_rf,maximum_drawdown
AUR,255,0.014770797736720187,0.014595761624948356,0.27838929942657187,0.05242931985896298,-0.2588850815201472
FULL_UNIVERSE_EW,255,-0.1455737628701952,-0.14399085495343922,0.23227870492227776,-0.6199055354713626,-0.2590416691088956
QAUR,255,0.014626135127627782,0.014452825468086905,0.2778499620939462,0.05201665445324098,-0.2588850815201472
