fold,date,method,return
0,2022-04-30,AUR,0.026730517247129368
0,2022-05-03,AUR,0.0
0,2022-05-04,AUR,0.0
0,2022-05-05,AUR,-0.022481275356519018
0,2022-05-06,AUR,-0.013364706372189242
0,2022-05-07,AUR,-0.05415938176842009
0,2022-05-10,AUR,-0.06752108946051834
0,2022-05-11,AUR,0.02039551860818887
0,2022-05-12,AUR,0.00684468748736012
0,2022-05-13,AUR,-0.06732868125072482
0,2022-05-14,AUR,-0.06801443507996631
0,2022-05-17,AUR,-0.024386026949352768
0,2022-05-18,AUR,0.06796846205196569
0,2022-05-19,AUR,0.0422601222971057
0,2022-05-20,AUR,0.009578397781422918
0,2022-05-21,AUR,0.018818671653081265
0,2022-05-24,AUR,-0.01720605007775922
0,2022-05-25,AUR,-0.0034725739752338725
0,2022-05-26,AUR,0.05491864187252364
0,2022-05-27,AUR,0.01256140536838794
0,2022-05-28,AUR,0.016272385952899523
0,2022-04-30,QAUR,0.026730517247129368
0,2022-05-03,QAUR,0.0
0,2022-05-04,QAUR,0.0
0,2022-05-05,QAUR,-0.022481275356519018
0,2022-05-06,QAUR,-0.013364706372189242
0,2022-05-07,QAUR,-0.05415938176842009
0,2022-05-10,QAUR,-0.06752108946051834
0,2022-05-11,QAUR,0.02039551860818887
0,2022-05-12,QAUR,0.00684468748736012
0,2022-05-13,QAUR,-0.06732868125072482
0,2022-05-14,QAUR,-0.06801443507996631
0,2022-05-17,QAUR,-0.024386026949352768
0,2022-05-18,QAUR,0.06796846205196569
0,2022-05-19,QAUR,0.0422601222971057
0,2022-05-20,QAUR,0.009578397781422918
0,2022-05-21,QAUR,0.018818671653081265
0,2022-05-24,QAUR,-0.01720605007775922
0,2022-05-25,QAUR,-0.0034725739752338725
0,2022-05-26,QAUR,0.05491864187252364
0,2022-05-27,QAUR,0.01256140536838794
0,2022-05-28,QAUR,0.016272385952899523
0,2022-04-30,FULL_UNIVERSE_EW,0.020437804917833976
0,2022-05-03,FULL_UNIVERSE_EW,0.0
0,2022-05-04,FULL_UNIVERSE_EW,0.0
0,2022-05-05,FULL_UNIVERSE_EW,-0.008219224054473334
0,2022-05-06,FULL_UNIVERSE_EW,-0.006813292303949524
0,2022-05-07,FULL_UNIVERSE_EW,-0.028646920674770707
0,2022-05-10,FULL_UNIVERSE_EW,-0.057052506298849476
0,2022-05-11,FULL_UNIVERSE_EW,0.009679751718386186
0,2022-05-12,FULL_UNIVERSE_EW,0.011410515388936551
0,2022-05-13,FULL_UNIVERSE_EW,-0.04901281922464109
0,2022-05-14,FULL_UNIVERSE_EW,-0.05288146199934165
0,2022-05-17,FULL_UNIVERSE_EW,-0.006700276635262471
0,2022-05-18,FULL_UNIVERSE_EW,0.05187493331942269
0,2022-05-19,FULL_UNIVERSE_EW,0.011491718386171239
0,2022-05-20,FULL_UNIVERSE_EW,-0.0021114488339033306
0,2022-05-21,FULL_UNIVERSE_EW,0.0055496454831010095
0,2022-05-24,FULL_UNIVERSE_EW,-0.01154374390424551
0,2022-05-25,FULL_UNIVERSE_EW,0.0034608431208539223
0,2022-05-26,FULL_UNIVERSE_EW,0.0335146980517095
0,2022-05-27,FULL_UNIVERSE_EW,0.009379748721254648
0,2022-05-28,FULL_UNIVERSE_EW,0.0110763333348934
1,2022-08-31,AUR,0.0005119434568171522
1,2022-09-01,AUR,-0.009719011250205026
1,2022-09-02,AUR,0.0
1,2022-09-03,AUR,0.0
1,2022-09-06,AUR,-0.0072279441621483625
1,2022-09-07,AUR,-0.004475356751970232
1,2022-09-08,AUR,-0.013558904920780997
1,2022-09-09,AUR,-0.003050881322115788
1,2022-09-10,AUR,0.019680124267879504
1,2022-09-13,AUR,0.0010373193251929681
1,2022-09-14,AUR,0.0003352554697000132
1,2022-09-15,AUR,-0.0037462470317845722
1,2022-09-16,AUR,-0.0023708645813764412
1,2022-09-17,AUR,-0.006078750047337473
1,2022-09-20,AUR,0.00014855003237943627
1,2022-09-21,AUR,0.0060295265580987065
1,2022-09-22,AUR,-0.006448761715727076
1,2022-09-23,AUR,0.003449155663009125
1,2022-09-24,AUR,-0.006818846665028322
1,2022-09-27,AUR,-0.012586410168996543
1,2022-09-28,AUR,0.011220706485755027
1,2022-09-29,AUR,-0.009190956234739433
1,2022-08-31,QAUR,-0.0002721384887108733
1,2022-09-01,QAUR,-0.006937973091137136
1,2022-09-02,QAUR,0.0
1,2022-09-03,QAUR,0.0
1,2022-09-06,QAUR,-0.0006509629138540677
1,2022-09-07,QAUR,-0.0042290795269548966
1,2022-09-08,QAUR,-0.004031802202928759
1,2022-09-09,QAUR,0.008097747070498946
1,2022-09-10,QAUR,0.011639022428557338
1,2022-09-13,QAUR,0.005111277630565313
1,2022-09-14,QAUR,-0.0013114818956751584
1,2022-09-15,QAUR,-0.00511237327718806
1,2022-09-16,QAUR,-0.002150568957172782
1,2022-09-17,QAUR,0.001800159315956366
1,2022-09-20,QAUR,-0.005579119078417946
1,2022-09-21,QAUR,0.004447308533719984
1,2022-09-22,QAUR,-0.001791537675285783
1,2022-09-23,QAUR,0.009439175554801673
1,2022-09-24,QAUR,-0.001602432660051029
1,2022-09-27,QAUR,-0.0076914521677419875
1,2022-09-28,QAUR,0.0048319909390273546
1,2022-09-29,QAUR,-0.0041687480868910125
1,2022-08-31,FULL_UNIVERSE_EW,0.000136057465381396
1,2022-09-01,FULL_UNIVERSE_EW,0.006220729831465264
1,2022-09-02,FULL_UNIVERSE_EW,0.0
1,2022-09-03,FULL_UNIVERSE_EW,0.0
1,2022-09-06,FULL_UNIVERSE_EW,-0.00010932881571605065
1,2022-09-07,FULL_UNIVERSE_EW,-0.000845270522252597
1,2022-09-08,FULL_UNIVERSE_EW,-0.02591068045301051
1,2022-09-09,FULL_UNIVERSE_EW,-0.007575466772228233
1,2022-09-10,FULL_UNIVERSE_EW,0.011955314580666197
1,2022-09-13,FULL_UNIVERSE_EW,0.002599729319997771
1,2022-09-14,FULL_UNIVERSE_EW,0.0001832941590329504
1,2022-09-15,FULL_UNIVERSE_EW,-0.0024293531420195285
1,2022-09-16,FULL_UNIVERSE_EW,0.002598234716929718
1,2022-09-17,FULL_UNIVERSE_EW,-0.013341706943103458
1,2022-09-20,FULL_UNIVERSE_EW,-0.03170068425165234
1,2022-09-21,FULL_UNIVERSE_EW,0.011176829771989503
1,2022-09-22,FULL_UNIVERSE_EW,-0.0031456151870621414
1,2022-09-23,FULL_UNIVERSE_EW,0.00989308816393909
1,2022-09-24,FULL_UNIVERSE_EW,-0.00348228479121621
1,2022-09-27,FULL_UNIVERSE_EW,-0.03347048693187321
1,2022-09-28,FULL_UNIVERSE_EW,-0.0037280121807381863
1,2022-09-29,FULL_UNIVERSE_EW,-0.014807942472410978
2,2022-12-31,AUR,-0.0345668870672777
2,2023-01-03,AUR,0.0
2,2023-01-04,AUR,0.05266642233986824
2,2023-01-05,AUR,-0.02699940760862693
2,2023-01-06,AUR,-0.021202994235554048
2,2023-01-07,AUR,0.0044504242090660714
2,2023-01-10,AUR,0.03833112875264802
2,2023-01-11,AUR,0.028098226614640308
2,2023-01-12,AUR,0.02491565122244123
2,2023-01-13,AUR,-0.018244076993739554
2,2023-01-14,AUR,-0.02158723433469599
2,2023-01-17,AUR,-0.0284634066226399
2,2023-01-18,AUR,0.02575639339702905
2,2023-01-19,AUR,0.01263454956154957
2,2023-01-20,AUR,-0.0011195521659552617
2,2023-01-21,AUR,0.0
2,2023-01-24,AUR,0.0
2,2023-01-25,AUR,0.0
2,2023-01-26,AUR,0.0
2,2023-01-27,AUR,0.0
2,2023-01-28,AUR,-0.0070991990362284435
2,2022-12-31,QAUR,-0.0346918870672777
2,2023-01-03,QAUR,0.0
2,2023-01-04,QAUR,0.05266642233986824
2,2023-01-05,QAUR,-0.02699940760862693
2,2023-01-06,QAUR,-0.021202994235554048
2,2023-01-07,QAUR,0.0044504242090660714
2,2023-01-10,QAUR,0.03833112875264802
2,2023-01-11,QAUR,0.028098226614640308
2,2023-01-12,QAUR,0.02491565122244123
2,2023-01-13,QAUR,-0.018244076993739554
2,2023-01-14,QAUR,-0.02158723433469599
2,2023-01-17,QAUR,-0.0284634066226399
2,2023-01-18,QAUR,0.02575639339702905
2,2023-01-19,QAUR,0.01263454956154957
2,2023-01-20,QAUR,-0.0011195521659552617
2,2023-01-21,QAUR,0.0
2,2023-01-24,QAUR,0.0
2,2023-01-25,QAUR,0.0
2,2023-01-26,QAUR,0.0
2,2023-01-27,QAUR,0.0
2,2023-01-28,QAUR,-0.0070991990362284435
2,2022-12-31,FULL_UNIVERSE_EW,0.0030663514179872747
2,2023-01-03,FULL_UNIVERSE_EW,0.00023904367373476704
2,2023-01-04,FULL_UNIVERSE_EW,0.03078467117823197
2,2023-01-05,FULL_UNIVERSE_EW,0.0006729924151086826
2,2023-01-06,FULL_UNIVERSE_EW,0.005559168930076959
2,2023-01-07,FULL_UNIVERSE_EW,-0.008339548692219504
2,2023-01-10,FULL_UNIVERSE_EW,-0.0030937512625824485
2,2023-01-11,FULL_UNIVERSE_EW,0.002849686109896157
2,2023-01-12,FULL_UNIVERSE_EW,0.0049371326146391845
2,2023-01-13,FULL_UNIVERSE_EW,0.0008960803552698868
2,2023-01-14,FULL_UNIVERSE_EW,-0.00043608854944910774
2,2023-01-17,FULL_UNIVERSE_EW,-0.0008171303660388264
2,2023-01-18,FULL_UNIVERSE_EW,0.019127964781451363
2,2023-01-19,FULL_UNIVERSE_EW,0.0138816823194433
2,2023-01-20,FULL_UNIVERSE_EW,0.009835918555327903
2,2023-01-21,FULL_UNIVERSE_EW,0.0
2,2023-01-24,FULL_UNIVERSE_EW,0.0
2,2023-01-25,FULL_UNIVERSE_EW,0.0
2,2023-01-26,FULL_UNIVERSE_EW,0.0
2,2023-01-27,FULL_UNIVERSE_EW,0.0
2,2023-01-28,FULL_UNIVERSE_EW,0.010564120139532378
3,2023-05-02,AUR,-0.0024999999999999996
3,2023-05-03,AUR,0.0
3,2023-05-04,AUR,0.0
3,2023-05-05,AUR,-0.006218070917982343
3,2023-05-06,AUR,-0.006478821550468779
3,2023-05-09,AUR,0.0034290841383314
3,2023-05-10,AUR,0.005652829521397105
3,2023-05-11,AUR,-0.003489634057671108
3,2023-05-12,AUR,8.602576450460978e-05
3,2023-05-13,AUR,-0.000847423726264207
3,2023-05-16,AUR,0.009800880350974789
3,2023-05-17,AUR,-0.0023056052003575423
3,2023-05-18,AUR,-0.009578252853411108
3,2023-05-19,AUR,0.0055824222081400175
3,2023-05-20,AUR,0.003969599316004813
3,2023-05-23,AUR,0.0032795772554535963
3,2023-05-24,AUR,0.00229982199314193
3,2023-05-25,AUR,0.0
3,2023-05-26,AUR,-0.008229021251609818
3,2023-05-27,AUR,0.0032614654765717723
3,2023-05-02,QAUR,-0.002500000000000001
3,2023-05-03,QAUR,0.0
3,2023-05-04,QAUR,0.0
3,2023-05-05,QAUR,-0.00523119399117948
3,2023-05-06,QAUR,-0.005579250140217325
3,2023-05-09,QAUR,0.003165912561018189
3,2023-05-10,QAUR,0.005161311070529351
3,2023-05-11,QAUR,-0.0030373584292099757
3,2023-05-12,QAUR,0.000213145725493585
3,2023-05-13,QAUR,0.00035834983268646437
3,2023-05-16,QAUR,0.00942944553286593
3,2023-05-17,QAUR,-0.002357750650420617
3,2023-05-18,QAUR,-0.009156748758042055
3,2023-05-19,QAUR,0.0026503461751570794
3,2023-05-20,QAUR,0.004107487306465165
3,2023-05-23,QAUR,0.0051874815332450044
3,2023-05-24,QAUR,0.001074724760592449
3,2023-05-25,QAUR,0.0
3,2023-05-26,QAUR,-0.008711389449454088
3,2023-05-27,QAUR,0.005506633532133706
3,2023-05-02,FULL_UNIVERSE_EW,-6.972111553784877e-05
3,2023-05-03,FULL_UNIVERSE_EW,0.0
3,2023-05-04,FULL_UNIVERSE_EW,0.0
3,2023-05-05,FULL_UNIVERSE_EW,-0.0011158284236304457
3,2023-05-06,FULL_UNIVERSE_EW,0.0013256958856247328
3,2023-05-09,FULL_UNIVERSE_EW,0.008544668788226925
3,2023-05-10,FULL_UNIVERSE_EW,0.002313758487172838
3,2023-05-11,FULL_UNIVERSE_EW,0.012628405542070223
3,2023-05-12,FULL_UNIVERSE_EW,0.006473517864221569
3,2023-05-13,FULL_UNIVERSE_EW,0.0059615535314375785
3,2023-05-16,FULL_UNIVERSE_EW,-0.003957647000051356
3,2023-05-17,FULL_UNIVERSE_EW,0.00044266173487937687
3,2023-05-18,FULL_UNIVERSE_EW,-0.003439938026984892
3,2023-05-19,FULL_UNIVERSE_EW,0.0026020917824830865
3,2023-05-20,FULL_UNIVERSE_EW,0.0005674143243245601
3,2023-05-23,FULL_UNIVERSE_EW,0.008453691155965247
3,2023-05-24,FULL_UNIVERSE_EW,-0.000684920379277324
3,2023-05-25,FULL_UNIVERSE_EW,8.706879757687807e-06
3,2023-05-26,FULL_UNIVERSE_EW,0.0022354165066977116
3,2023-05-27,FULL_UNIVERSE_EW,0.008953355629415696
4,2023-08-31,AUR,0.001526414660203004
4,2023-09-01,AUR,0.002193410631044427
4,2023-09-02,AUR,0.0
4,2023-09-05,AUR,0.0
4,2023-09-06,AUR,0.00796594358235667
4,2023-09-07,AUR,0.00308032319104473
4,2023-09-08,AUR,-0.002070676420466988
4,2023-09-09,AUR,0.0012505749755798502
4,2023-09-12,AUR,-0.004570390398376669
4,2023-09-13,AUR,0.012349055316813079
4,2023-09-14,AUR,-0.001678680338696071
4,2023-09-15,AUR,-0.0021090390748799972
4,2023-09-16,AUR,0.009694990736939772
4,2023-09-19,AUR,-0.007249753648326161
4,2023-09-20,AUR,-0.0034236531686082598
4,2023-09-21,AUR,0.0030535099658523567
4,2023-09-22,AUR,-0.005214823542563135
4,2023-09-23,AUR,0.008515774776935589
4,2023-09-26,AUR,-0.0033982899844200113
4,2023-09-27,AUR,-0.009088844760677986
4,2023-09-28,AUR,0.004688259027061203
4,2023-09-29,AUR,0.005228752215018041
4,2023-08-31,QAUR,0.0009783307247998565
4,2023-09-01,QAUR,-0.015653286136742158
4,2023-09-02,QAUR,0.0
4,2023-09-05,QAUR,0.0
4,2023-09-06,QAUR,0.008914873822395166
4,2023-09-07,QAUR,0.004172532997378636
4,2023-09-08,QAUR,-0.0027904979929921116
4,2023-09-09,QAUR,0.002792877995123391
4,2023-09-12,QAUR,-0.003952170661212628
4,2023-09-13,QAUR,0.008357000328679795
4,2023-09-14,QAUR,0.00032043661019970186
4,2023-09-15,QAUR,-0.005982277278487639
4,2023-09-16,QAUR,0.008136099416409763
4,2023-09-19,QAUR,-0.0012420267465544223
4,2023-09-20,QAUR,0.0012951693626420838
4,2023-09-21,QAUR,0.005804462718285991
4,2023-09-22,QAUR,0.000881471169479388
4,2023-09-23,QAUR,0.00024406371261799032
4,2023-09-26,QAUR,-0.007200099294038668
4,2023-09-27,QAUR,0.005065955886484253
4,2023-09-28,QAUR,0.004819626781268924
4,2023-09-29,QAUR,0.00280427890309646
4,2023-08-31,FULL_UNIVERSE_EW,0.006990295429384344
4,2023-09-01,FULL_UNIVERSE_EW,0.011459923451019444
4,2023-09-02,FULL_UNIVERSE_EW,0.0
4,2023-09-05,FULL_UNIVERSE_EW,0.0
4,2023-09-06,FULL_UNIVERSE_EW,0.0099491412924795
4,2023-09-07,FULL_UNIVERSE_EW,0.01001670393791605
4,2023-09-08,FULL_UNIVERSE_EW,0.0023451678338088943
4,2023-09-09,FULL_UNIVERSE_EW,0.005235257328419107
4,2023-09-12,FULL_UNIVERSE_EW,-0.016477391408517297
4,2023-09-13,FULL_UNIVERSE_EW,0.013662225989710218
4,2023-09-14,FULL_UNIVERSE_EW,-0.0030261353144955664
4,2023-09-15,FULL_UNIVERSE_EW,-0.013378274105834568
4,2023-09-16,FULL_UNIVERSE_EW,0.00046366288366893186
4,2023-09-19,FULL_UNIVERSE_EW,-0.006403320649050718
4,2023-09-20,FULL_UNIVERSE_EW,0.0006022185047197807
4,2023-09-21,FULL_UNIVERSE_EW,0.018208569376493833
4,2023-09-22,FULL_UNIVERSE_EW,-0.004497972062496809
4,2023-09-23,FULL_UNIVERSE_EW,-0.022745606913105256
4,2023-09-26,FULL_UNIVERSE_EW,-0.03904384855939479
4,2023-09-27,FULL_UNIVERSE_EW,-0.01530515594807089
4,2023-09-28,FULL_UNIVERSE_EW,0.014346904476216055
4,2023-09-29,FULL_UNIVERSE_EW,-0.0008686824284430966
5,2024-01-02,AUR,-0.002323542334457364
5,2024-01-03,AUR,-0.003287989965286061
5,2024-01-04,AUR,0.004734618130032766
5,2024-01-05,AUR,-0.004465246618653575
5,2024-01-06,AUR,0.0018285668852624066
5,2024-01-09,AUR,0.00519236850848178
5,2024-01-10,AUR,-0.0016361607859205728
5,2024-01-11,AUR,-0.007930282525030287
5,2024-01-12,AUR,0.009482017696808242
5,2024-01-13,AUR,0.001759241455275026
5,2024-01-16,AUR,0.011365642973874105
5,2024-01-17,AUR,0.011838261389399921
5,2024-01-18,AUR,-0.005307870449342732
5,2024-01-19,AUR,0.009910540882867233
5,2024-01-20,AUR,0.004240255806957202
5,2024-01-23,AUR,0.014648807952858597
5,2024-01-24,AUR,0.00849820979549847
5,2024-01-25,AUR,0.0009736183509397858
5,2024-01-26,AUR,0.0
5,2024-01-27,AUR,-0.009107533069664324
5,2024-01-30,AUR,-0.005577824175215017
5,2024-01-02,QAUR,-0.002323542334457365
5,2024-01-03,QAUR,-0.003287989965286061
5,2024-01-04,QAUR,0.004734618130032766
5,2024-01-05,QAUR,-0.004465246618653575
5,2024-01-06,QAUR,0.0018285668852624066
5,2024-01-09,QAUR,0.00519236850848178
5,2024-01-10,QAUR,-0.0016361607859205728
5,2024-01-11,QAUR,-0.007930282525030287
5,2024-01-12,QAUR,0.009482017696808242
5,2024-01-13,QAUR,0.001759241455275026
5,2024-01-16,QAUR,0.011365642973874105
5,2024-01-17,QAUR,0.011838261389399921
5,2024-01-18,QAUR,-0.005307870449342732
5,2024-01-19,QAUR,0.009910540882867233
5,2024-01-20,QAUR,0.004240255806957202
5,2024-01-23,QAUR,0.014648807952858597
5,2024-01-24,QAUR,0.00849820979549847
5,2024-01-25,QAUR,0.0009736183509397858
5,2024-01-26,QAUR,0.0
