ticker,conflict,reference_only_unverified,unresolved_ex_date,verified_cross_source
SAM,2,0,1,0
SAV,6,5,0,1
SBA,1,0,0,6
SBG,1,1,1,0
SBT,1,1,8,2
SBV,1,0,0,5
SC5,0,0,0,5
SCD,0,0,1,1
SCR,0,0,0,1
SCS,1,2,0,9
SFC,1,1,0,4
SFG,0,0,0,5
SFI,0,0,0,14
SGN,0,0,0,8
SGR,1,0,0,4
SGT,0,0,1,0
SHA,0,0,0,5
SHB,2,2,1,5
SHI,1,1,1,3
SHP,2,0,0,10
SII,0,0,1,0
SIP,1,9,0,7
SJD,1,0,1,3
SJS,1,1,0,0
SKG,1,0,0,5
SMA,0,0,1,3
SMB,1,0,0,12
SMC,2,0,0,4
SPM,0,0,0,4
SRC,0,0,0,6
SRF,1,0,0,1
SSB,7,0,4,0
SSC,0,1,0,7
SSI,0,2,4,7
ST8,0,0,0,3
STK,1,1,1,4
SVC,0,2,1,7
SVD,0,0,1,1
SVT,1,0,0,5
SZC,0,1,3,5
SZL,0,2,0,8
TAC,0,0,0,3
TAL,0,2,0,0
TBC,0,0,1,12
TCB,0,1,0,2
TCH,0,0,9,0
TCI,1,1,0,0
TCL,3,0,0,5
TCM,0,6,1,3
TCO,2,1,0,3
TCT,2,0,0,4
TDC,0,0,0,3
TDG,0,0,0,2
TDH,0,1,0,0
TDM,0,0,1,6
TDP,1,0,1,4
TDW,0,0,0,12
TEG,0,0,2,2
THG,0,0,1,25
THI,0,0,0,4
TIP,1,0,2,8
TIX,7,0,1,4
TLD,2,0,1,1
TLG,1,0,0,13
TLH,1,2,0,2
TMP,0,10,1,3
TMS,0,1,0,9
TMT,0,0,0,1
TN1,4,0,1,7
TNA,3,1,0,0
TNC,0,0,0,6
TNH,0,1,2,4
TPB,0,3,1,6
TPC,1,0,0,2
TRA,0,3,0,11
TRC,0,0,0,8
TSA,0,2,0,0
TSC,0,0,1,0
TTA,0,0,0,4
TTB,0,0,0,1
TTE,0,0,0,1
TTP,0,5,0,0
TV1,0,2,0,0
TV2,3,2,0,4
TVB,1,1,3,1
TVS,0,4,2,5
TVT,0,0,0,8
TYA,2,0,1,3
UIC,0,1,1,3
VAB,0,2,0,0
VBB,0,3,0,0
VCA,0,1,0,2
VCB,1,0,0,5
VCF,0,0,0,4
VCG,0,1,0,8
VCI,2,2,0,7
VDP,0,1,1,9
VDS,4,0,3,2
VFG,0,3,0,14
VGC,0,0,0,8
VHC,0,3,0,4
VHM,1,0,0,2
VIB,6,0,3,5
VIC,1,1,0,0
VID,0,0,0,6
VIP,0,0,1,5
VIX,0,2,3,7
VMD,0,0,0,5
VNA,0,2,0,0
VND,1,2,2,4
VNL,0,0,2,13
VNM,0,1,0,15
VNS,1,0,0,5
VOS,0,0,0,1
VPB,1,2,0,3
VPD,0,0,0,10
VPG,0,2,2,6
VPH,0,0,0,3
VPI,2,0,0,3
VPS,0,0,0,5
VSC,0,1,4,9
VSH,0,0,1,8
VSI,2,0,0,9
VTB,2,0,1,3
VTO,0,0,0,6
VTP,0,8,0,2
VVS,0,1,0,0
YBM,0,0,1,5
YEG,0,1,1,0
