fold,return_definition,gross_cumulative_return,net_cumulative_return,transaction_cost_fraction,missing_asset_day_returns_marked_zero
0,raw_close,-0.03698896767186388,-0.03848467242542586,0.0015531543288199,0
0,source_adjusted,-0.03698896855728162,-0.038484673309468254,0.0015531543288199,0
0,research_total_return_candidate,-0.03698896767186388,-0.03848467242542586,0.0015531543288199,0
1,raw_close,-0.11111443515723718,-0.11494163162063953,0.0043056121223874,0
1,source_adjusted,-0.11111443184290881,-0.11494162832058086,0.0043056121223874,0
1,research_total_return_candidate,-0.11111443515723718,-0.11494163162063953,0.0043056121223874,0
2,raw_close,0.054258463154231995,0.04967946184695338,0.0043433384386391,0
2,source_adjusted,0.054258463154231995,0.04967946184695338,0.0043433384386391,0
2,research_total_return_candidate,0.054258463154231995,0.04967946184695338,0.0043433384386391,0
3,raw_close,0.07302600170142504,0.06832311149530224,0.0043828296785599,0
3,source_adjusted,0.08780149351617639,0.08303384484601217,0.0043828296785599,0
3,research_total_return_candidate,0.09791048321883866,0.09309852856858569,0.0043828296785599,0
4,raw_close,0.02298630831703674,0.01829900021141939,0.0045819851815306,0
4,source_adjusted,0.022986263320505573,0.01829895542106197,0.0045819851815306,0
4,research_total_return_candidate,0.02298630831703674,0.01829900021141939,0.0045819851815306,0
5,raw_close,0.028361055483597797,0.023906891980327583,0.0043313226220681,0
5,source_adjusted,0.028361051832613837,0.023906888345157418,0.0043313226220681,0
5,research_total_return_candidate,0.028361055483597797,0.023906891980327583,0.0043313226220681,0
6,raw_close,-0.18209500544610657,-0.18563686329467655,0.0043304025188177,5
6,source_adjusted,-0.18209500544610657,-0.18563686329467655,0.0043304025188177,5
6,research_total_return_candidate,-0.18209500544610657,-0.18563686329467655,0.0043304025188177,5
7,raw_close,-0.010038993341343616,-0.0143624793078162,0.0043673295588327,0
7,source_adjusted,-0.01003900683039094,-0.01436249273795187,0.0043673295588327,0
7,research_total_return_candidate,-0.010038993341343616,-0.0143624793078162,0.0043673295588327,0
8,raw_close,0.008380587169090958,0.00404592716056329,0.0042986349238403,0
8,source_adjusted,0.008380574401748442,0.004045914448102872,0.0042986349238403,0
8,research_total_return_candidate,0.03781650542872894,0.03335531115395485,0.0042986349238403,0
9,raw_close,-0.08810234065587674,-0.09066667872792666,0.0028120897622375,4
9,source_adjusted,-0.08810235987006954,-0.09066669788808757,0.0028120897622375,4
9,research_total_return_candidate,-0.08810234065587674,-0.09066667872792666,0.0028120897622375,4
10,raw_close,0.06748420736189731,0.06287395594365441,0.0043188005840727,0
10,source_adjusted,0.06748420630187657,0.06287395488821179,0.0043188005840727,0
10,research_total_return_candidate,0.06748420736189731,0.06287395594365441,0.0043188005840727,0
11,raw_close,0.013935783595217632,0.009382211724122902,0.0044909864557185,0
11,source_adjusted,0.013935774366701459,0.009382202537052464,0.0044909864557185,0
11,research_total_return_candidate,0.013935783595217632,0.009382211724122902,0.0044909864557185,0
