fold,date,return_definition,gross_return,net_return
0,2022-05-02,raw_close,0.04150894789424528,0.03989132376331872
0,2022-05-03,raw_close,0.0,0.0
0,2022-05-04,raw_close,0.0,0.0
0,2022-05-05,raw_close,0.008776077709867753,0.008776077709867753
0,2022-05-06,raw_close,-0.014165908668280915,-0.014165908668280915
0,2022-05-09,raw_close,-0.06220752848212083,-0.06220752848212083
0,2022-05-10,raw_close,-0.06885708611644548,-0.06885708611644548
0,2022-05-11,raw_close,0.002306771586629598,0.002306771586629598
0,2022-05-12,raw_close,0.008636455324682678,0.008636455324682678
0,2022-05-13,raw_close,-0.06075068313179437,-0.06075068313179437
0,2022-05-16,raw_close,-0.05211099031605575,-0.05211099031605575
0,2022-05-17,raw_close,0.021578673169295966,0.021578673169295966
0,2022-05-18,raw_close,0.06717107882804287,0.06717107882804287
0,2022-05-19,raw_close,0.012878435426614366,0.012878435426614366
0,2022-05-20,raw_close,0.0023473734237328936,0.0023473734237328936
0,2022-05-23,raw_close,0.004911262803704704,0.004911262803704704
0,2022-05-24,raw_close,-0.010491582229963282,-0.010491582229963282
0,2022-05-25,raw_close,-0.009267334594572438,-0.009267334594572438
0,2022-05-26,raw_close,0.04903433638162927,0.04903433638162927
0,2022-05-27,raw_close,0.023369001035247056,0.023369001035247056
0,2022-05-30,raw_close,0.010568524446569416,0.010568524446569416
0,2022-05-02,source_adjusted,0.04150893595911933,0.03989131184672989
0,2022-05-03,source_adjusted,0.0,0.0
0,2022-05-04,source_adjusted,0.0,0.0
0,2022-05-05,source_adjusted,0.008776084951283146,0.008776084951283146
0,2022-05-06,source_adjusted,-0.014165908728925723,-0.014165908728925723
0,2022-05-09,source_adjusted,-0.062207525059532164,-0.062207525059532164
0,2022-05-10,source_adjusted,-0.06885709286077664,-0.06885709286077664
0,2022-05-11,source_adjusted,0.00230677451571896,0.00230677451571896
0,2022-05-12,source_adjusted,0.00863645536798286,0.00863645536798286
0,2022-05-13,source_adjusted,-0.06075069054760518,-0.06075069054760518
0,2022-05-16,source_adjusted,-0.052110977873079674,-0.052110977873079674
0,2022-05-17,source_adjusted,0.02157867519405304,0.02157867519405304
0,2022-05-18,source_adjusted,0.06717106550406744,0.06717106550406744
0,2022-05-19,source_adjusted,0.012878442136379991,0.012878442136379991
0,2022-05-20,source_adjusted,0.002347365211185666,0.002347365211185666
0,2022-05-23,source_adjusted,0.004911262861713327,0.004911262861713327
0,2022-05-24,source_adjusted,-0.010491573057357798,-0.010491573057357798
0,2022-05-25,source_adjusted,-0.009267333174736216,-0.009267333174736216
0,2022-05-26,source_adjusted,0.04903433246980371,0.04903433246980371
0,2022-05-27,source_adjusted,0.02336899698878318,0.02336899698878318
0,2022-05-30,source_adjusted,0.01056853234340948,0.01056853234340948
0,2022-05-02,research_total_return_candidate,0.04150894789424528,0.03989132376331872
0,2022-05-03,research_total_return_candidate,0.0,0.0
0,2022-05-04,research_total_return_candidate,0.0,0.0
0,2022-05-05,research_total_return_candidate,0.008776077709867753,0.008776077709867753
0,2022-05-06,research_total_return_candidate,-0.014165908668280915,-0.014165908668280915
0,2022-05-09,research_total_return_candidate,-0.06220752848212083,-0.06220752848212083
0,2022-05-10,research_total_return_candidate,-0.06885708611644548,-0.06885708611644548
0,2022-05-11,research_total_return_candidate,0.002306771586629598,0.002306771586629598
0,2022-05-12,research_total_return_candidate,0.008636455324682678,0.008636455324682678
0,2022-05-13,research_total_return_candidate,-0.06075068313179437,-0.06075068313179437
0,2022-05-16,research_total_return_candidate,-0.05211099031605575,-0.05211099031605575
0,2022-05-17,research_total_return_candidate,0.021578673169295966,0.021578673169295966
0,2022-05-18,research_total_return_candidate,0.06717107882804287,0.06717107882804287
0,2022-05-19,research_total_return_candidate,0.012878435426614366,0.012878435426614366
0,2022-05-20,research_total_return_candidate,0.0023473734237328936,0.0023473734237328936
0,2022-05-23,research_total_return_candidate,0.004911262803704704,0.004911262803704704
0,2022-05-24,research_total_return_candidate,-0.010491582229963282,-0.010491582229963282
0,2022-05-25,research_total_return_candidate,-0.009267334594572438,-0.009267334594572438
0,2022-05-26,research_total_return_candidate,0.04903433638162927,0.04903433638162927
0,2022-05-27,research_total_return_candidate,0.023369001035247056,0.023369001035247056
0,2022-05-30,research_total_return_candidate,0.010568524446569416,0.010568524446569416
1,2022-09-01,raw_close,0.012244212548335564,0.007885881595970812
1,2022-09-02,raw_close,0.0,0.0
1,2022-09-05,raw_close,0.0,0.0
1,2022-09-06,raw_close,0.0016332225902625872,0.0016332225902625872
1,2022-09-07,raw_close,0.0004225359573134333,0.0004225359573134333
1,2022-09-08,raw_close,-0.0317136778708362,-0.0317136778708362
1,2022-09-09,raw_close,-0.012838401853258692,-0.012838401853258692
1,2022-09-12,raw_close,0.0049595248073871995,0.0049595248073871995
1,2022-09-13,raw_close,-0.0031351916250906176,-0.0031351916250906176
1,2022-09-14,raw_close,0.0008214870688067788,0.0008214870688067788
1,2022-09-15,raw_close,-0.009801947616823202,-0.009801947616823202
1,2022-09-16,raw_close,-0.0035583365936124873,-0.0035583365936124873
1,2022-09-19,raw_close,-0.011526990505874624,-0.011526990505874624
1,2022-09-20,raw_close,-0.038299415788341125,-0.038299415788341125
1,2022-09-21,raw_close,0.018448786360271308,0.018448786360271308
1,2022-09-22,raw_close,0.0010293377860296966,0.0010293377860296966
1,2022-09-23,raw_close,0.001586224328237624,0.001586224328237624
