return_definition,gross_cumulative_return,net_cumulative_return
raw_close,-0.1790563734409376,-0.21770120271528026
research_total_return_candidate,-0.13549776852320983,-0.1761930611862862
source_adjusted,-0.16775212306190368,-0.20692908488693396
