ticker,year,source,data_class,records,start,end,missing_close
AGG,2020,finance_datareader_yahoo_hose,real,254,2020-01-10,2020-12-31,0
AGG,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
AGG,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
AGG,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
AGG,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
AGG,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
AGR,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
AGR,2021,finance_datareader_yahoo_hose,real,260,2021-01-01,2021-12-31,0
AGR,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
AGR,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
AGR,2024,finance_datareader_yahoo_hose,real,255,2024-01-01,2024-12-31,0
AGR,2025,finance_datareader_yahoo_hose,real,259,2025-01-01,2025-12-31,0
ANV,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
ANV,2021,finance_datareader_yahoo_hose,real,261,2021-01-01,2021-12-31,0
ANV,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
ANV,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
ANV,2024,fdr_segment_scaled_by_cafef_crosscheck,real,45,2024-10-30,2024-12-31,0
ANV,2024,finance_datareader_yahoo_hose,real,210,2024-01-01,2024-10-29,0
ANV,2025,fdr_segment_scaled_by_cafef_crosscheck,real,259,2025-01-01,2025-12-31,0
APG,2020,finance_datareader_yahoo_hose,real,260,2020-01-02,2020-12-31,0
APG,2021,finance_datareader_yahoo_hose,real,261,2021-01-01,2021-12-31,0
APG,2022,finance_datareader_yahoo_hose,real,260,2022-01-03,2022-12-30,0
APG,2023,finance_datareader_yahoo_hose,real,260,2023-01-02,2023-12-29,0
